Gene = fy
index = 1711
Annotated 5SS: [ 277 1450]
Annotated 3SS: [ 334 1508]
SMsplice 5SS: [277]
SMsplice 3SS: [334]
top_k =  500
Partition function (log Z): -5.388724361032372

Sorted 5' Splice Sites (High to Low Probability):
Position 277: 0.9894827222281258
Position 1450: 0.2702045996293797
Position 57: 0.2273903674833956
Position 65: 0.04573075347437981
Position 652: 0.00820873617818354
Position 1555: 0.0017157218196269034
Position 529: 0.001341079551450994
Position 696: 0.0012466275950730275
Position 1551: 0.001219624760165799
Position 283: 0.0009189238431891989
Position 1336: 0.0006721931193938133
Position 1145: 0.0006576983946671675
Position 1235: 0.00042595612852493176
Position 844: 0.00042464589454778613
Position 997: 0.00033337496850940163
Position 80: 0.00027914475778204186
Position 511: 0.00027219389069041276
Position 1603: 0.0002599576875637693
Position 1430: 0.00025854074925534237
Position 509: 0.00022169587054743267
Position 759: 0.00021045370214666716
Position 1563: 0.00020620201528009747
Position 155: 0.000196316309093741
Position 1482: 0.00019302312046179168
Position 522: 0.00010666357562685874
Position 1185: 9.640282292455013e-05
Position 175: 9.105455553392599e-05
Position 1270: 7.58748272045987e-05
Position 1417: 6.338494580423051e-05
Position 1559: 5.679917190096466e-05
Position 923: 5.048330729923908e-05
Position 524: 4.9607221688564805e-05
Position 246: 2.749449386253908e-05
Position 244: 2.3564668107894214e-05
Position 895: 2.2271708910142774e-05
Position 1627: 2.2020172854349848e-05
Position 218: 1.704858049809972e-05
Position 965: 1.3997147132025301e-05
Position 1414: 1.3611005345465389e-05
Position 310: 1.0360648990934416e-05
Position 1113: 9.187002934179138e-06
Position 935: 8.453889098021084e-06
Position 213: 4.373274615645544e-06
Position 942: 3.6917181691203256e-06
Position 108: 3.3185222327462854e-06
Position 917: 2.891463663076173e-06
Position 583: 2.708690880084263e-06
Position 982: 2.230469426145326e-06
Position 563: 1.0202716716884619e-06
Position 1372: 3.550229338131425e-08
Position 466: 1.6788591064764775e-08
Position 201: 4.34253181791015e-09
Position 690: 3.624897120054601e-09
Position 168: 2.811921585576875e-09
Position 385: 8.205161156416278e-10
Position 350: 5.819223861285332e-10
Position 723: 3.195532148294911e-10
Position 376: 1.4877876311729914e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 334: 0.9864650352995079
Position 1508: 0.27212655695288523
Position 108: 0.23942417885433498
Position 159: 0.015213887416659999
Position 174: 0.009575891711973317
Position 385: 0.006505967585655514
Position 1664: 0.004810668724379392
Position 171: 0.0045516600661610895
Position 1315: 0.003704646658664013
Position 1249: 0.0018310757385737813
Position 990: 0.0011408946246382462
Position 602: 0.0010738844091010892
Position 1545: 0.0009046598968457432
Position 1210: 0.0008937100569695304
Position 1088: 0.0008617725347905865
Position 1685: 0.0005543359298335859
Position 630: 0.0005019417622729648
Position 1197: 0.0003793816624065627
Position 1295: 0.00031416754452479316
Position 953: 0.0002825130370061065
Position 774: 0.0002678756283210524
Position 578: 0.00024239708305193332
Position 969: 0.00022522684153075627
Position 1056: 0.00018313474471522674
Position 1551: 0.00011542375757815325
Position 1690: 0.00011419723297327413
Position 310: 9.413895158803153e-05
Position 1585: 7.38747021233896e-05
Position 1353: 6.360725672977693e-05
Position 1323: 5.9015280829737506e-05
Position 1494: 5.775338262708091e-05
Position 188: 4.460473982080577e-05
Position 1340: 4.104361836441042e-05
Position 1113: 3.4562872296543176e-05
Position 1073: 3.1220800130608446e-05
Position 757: 2.7616774703716425e-05
Position 406: 2.088837575576261e-05
Position 1548: 1.969778989134548e-05
Position 191: 1.219049458853604e-05
Position 244: 1.741354145253184e-06
Position 185: 1.0723594140456467e-06
Position 261: 7.903446722084083e-07
Position 258: 1.9509970632125976e-07
Position 445: 1.2262217440039915e-08
Position 439: 7.701468587840378e-09
Position 427: 6.511762332816267e-09
Position 420: 3.10520803591325e-09
Position 193: 1.6749211577432435e-09
Position 430: 5.48559268237809e-10
Position 265: 4.864975289587439e-10
Position 281: 2.5366320430593024e-11
Position 283: 7.231034725558636e-14
