Gene = l(2)35Be
index = 1744
Annotated 5SS: [226]
Annotated 3SS: [274]
SMsplice 5SS: [226]
SMsplice 3SS: [274]
top_k =  500
Partition function (log Z): -5.013867006486072

Sorted 5' Splice Sites (High to Low Probability):
Position 226: 0.9993904937271272
Position 44: 0.0075302313343838636
Position 164: 0.0002343852296513291
Position 168: 0.0001293424966940245
Position 230: 9.677393797095609e-05
Position 17: 7.248309005461973e-05
Position 559: 3.971284384445196e-05
Position 700: 3.557853934371268e-05
Position 435: 2.3038748499570073e-05
Position 328: 1.907762489962264e-05
Position 52: 1.561839033968996e-05
Position 447: 4.523123149200709e-06
Position 361: 4.459026090776303e-06
Position 741: 1.9683801854145092e-06
Position 304: 1.918254129062805e-06
Position 510: 1.4163209241428074e-06
Position 713: 1.3780007713583683e-06
Position 297: 8.533685423581908e-07
Position 421: 8.07595395976778e-07
Position 710: 7.051738486269507e-07
Position 126: 6.352239431521388e-07
Position 253: 5.976624962088441e-07
Position 150: 5.712228937283863e-07
Position 725: 1.2880809748787134e-07
Position 637: 1.1047292709242133e-07
Position 546: 7.783684059858231e-08
Position 612: 6.274680646768955e-09
Position 620: 4.753642384908812e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.6069030615814408
Position 278: 0.37169648023081947
Position 355: 0.011741916474638861
Position 125: 0.007590336653538626
Position 323: 0.004027900589516524
Position 546: 0.002128654962954444
Position 447: 0.0017280119391245054
Position 820: 0.0005750696071155983
Position 327: 0.0003438622248137964
Position 312: 0.0002246287513591479
Position 435: 0.00019888115036500233
Position 510: 0.0001675485235775927
Position 585: 9.058717391616312e-05
Position 797: 3.823251389234737e-05
Position 372: 3.6122101221785013e-05
Position 477: 3.442736982702156e-05
Position 663: 3.2909794784292354e-05
Position 134: 1.0288902053058358e-05
Position 672: 8.9937099632691e-06
Position 150: 7.201649857306402e-06
Position 582: 6.5453116428501106e-06
Position 245: 4.973402706177494e-06
Position 403: 4.185206345331662e-06
Position 675: 2.104405263062398e-06
Position 741: 1.5012599192012308e-06
Position 253: 1.3167612094977666e-06
Position 131: 8.289651753152752e-07
Position 781: 1.340655544686555e-07
Position 247: 8.441574691507024e-08
Position 725: 6.932416091513678e-08
Position 687: 2.148759256016581e-08
Position 207: 1.0286684191158998e-08
Position 215: 6.648177952405411e-09
Position 172: 1.1451258052032393e-11
Position 226: 2.2491950412207256e-12
Position 209: 1.7945590550525168e-12
Position 233: 6.416226280602089e-13
Position 230: 2.7348682539307943e-13
