Gene = Mnn1
index = 1281
Annotated 5SS: [ 856 1374 2025 2898]
Annotated 3SS: [ 922 1562 2091 4664]
SMsplice 5SS: [ 856 1374 2025 2898 4419 4608]
SMsplice 3SS: [1046 1562 2091 4261 4497 4664]
top_k =  500
Partition function (log Z): 2.4755783421222293

Sorted 5' Splice Sites (High to Low Probability):
Position 2898: 0.9956548672661772
Position 2025: 0.9923094458420643
Position 856: 0.9701494551828214
Position 1374: 0.8893630261029949
Position 4419: 0.6832598968246508
Position 4608: 0.5500139717270864
Position 5217: 0.34183061450191055
Position 2543: 0.3096378014149634
Position 4452: 0.18447178759624192
Position 5417: 0.15607744410097582
Position 236: 0.13710287561045534
Position 5464: 0.0917165960150521
Position 5480: 0.0781167372786823
Position 1350: 0.06587657764071529
Position 2683: 0.0416962247118709
Position 644: 0.035359519005910105
Position 3448: 0.028545895988092134
Position 4963: 0.025727414837217612
Position 4410: 0.01585374705113112
Position 2373: 0.01521106100683377
Position 2604: 0.0110465306294977
Position 2311: 0.010055091745233937
Position 6771: 0.005593766743033662
Position 1491: 0.004447842984044342
Position 2547: 0.004433875280420729
Position 1715: 0.004147989248925352
Position 1378: 0.00396013046566829
Position 1703: 0.0036349582286860672
Position 2584: 0.0032024002992963527
Position 4423: 0.0025174833634150546
Position 4110: 0.00250077229434465
Position 2467: 0.0023197976333293145
Position 825: 0.0022278016323059356
Position 4762: 0.0019802568980033576
Position 5483: 0.0018919030621933704
Position 1724: 0.0018875023753496588
Position 2569: 0.0018295289626001497
Position 2563: 0.0018057024422340516
Position 2187: 0.0016905532732977646
Position 4612: 0.0015679894100509206
Position 3739: 0.0015137811684440311
Position 2342: 0.0012607853989157318
Position 5410: 0.0011319143922671048
Position 2173: 0.0010466021265440413
Position 2321: 0.0010228297106479453
Position 3270: 0.0009674147156836702
Position 1005: 0.0008997141369776168
Position 91: 0.0008700588156721179
Position 43: 0.0007634790517716579
Position 1512: 0.0007564376431570458
Position 2381: 0.0006495785548120769
Position 5429: 0.0005044896073759575
Position 3792: 0.000445865306549757
Position 3927: 0.00043495913190096894
