Gene = CarT
index = 1054
Annotated 5SS: [ 123  406  800 1207 1854 2315]
Annotated 3SS: [ 180  616  947 1261 1915 2389]
SMsplice 5SS: [ 545  851 1207 1854 2315]
SMsplice 3SS: [ 616  947 1261 1915 2389]
top_k =  500
Partition function (log Z): 1.5730365562650266

Sorted 5' Splice Sites (High to Low Probability):
Position 2315: 0.9815062725242188
Position 1854: 0.9046616641235912
Position 545: 0.7379473558166829
Position 1207: 0.6772669301637252
Position 851: 0.6029075437504507
Position 406: 0.39155377246763573
Position 133: 0.21562099373303165
Position 1161: 0.14990298159539506
Position 117: 0.14022437215453049
Position 791: 0.060598562152675915
Position 2686: 0.04690697863476806
Position 123: 0.028415158859092533
Position 1211: 0.027425750567909527
Position 800: 0.016912479627569286
Position 884: 0.013164598622292214
Position 2927: 0.00779779957635532
Position 2960: 0.0072768576425236205
Position 2058: 0.004308906086468141
Position 2524: 0.003824253223037137
Position 2335: 0.0037064533282342225
Position 760: 0.003446068964970303
Position 2326: 0.0033656721019696915
Position 2077: 0.0033287074112265456
Position 1513: 0.0031175124468318218
Position 1858: 0.0030752212000950156
Position 2669: 0.0030571081466281014
Position 479: 0.0028654537977634547
Position 510: 0.0028092866862720212
Position 501: 0.0027559378287931977
Position 2911: 0.0025362329141706942
Position 842: 0.002456243896738128
Position 2554: 0.0023205848207406587
Position 1609: 0.002113685400319414
Position 1375: 0.0020193094831917552
Position 2332: 0.0017185312326126944
Position 465: 0.0016881263517825925
Position 290: 0.0015331816115563418
Position 498: 0.0012679071382898002
Position 2645: 0.001262883684735852
Position 857: 0.0011268512928574578
Position 781: 0.0011166131457851494
Position 1797: 0.0010989515866029265
Position 2296: 0.001038935223133843
Position 742: 0.0010049327827605676
Position 410: 0.0009681528463659251
Position 773: 0.0008843269536840465
Position 1986: 0.0006209178182450082
Position 2592: 0.0005352632674423906
Position 2493: 0.0005020372943418748
Position 247: 0.0004188626919541424
Position 2065: 0.00032780420259297506
Position 2104: 0.00024919949146835844
Position 2463: 0.00021252313831832118
Position 450: 0.00020567995035148095
Position 1273: 0.00017571094961078002
Position 2319: 0.00016781920417225063
Position 143: 0.00012941731098707658
Position 1740: 0.00011979162122065866
Position 2760: 0.0001186082179722498
Position 2086: 0.00011805393236224124
Position 2607: 0.00010276678894440591
Position 726: 9.968269210518437e-05
Position 776: 7.57253325447112e-05
Position 1979: 6.549676863025936e-05
Position 284: 6.167232014040995e-05
Position 1182: 6.001417520036234e-05
Position 1017: 5.549811961177486e-05
Position 1051: 5.0133384632251e-05
Position 32: 4.8300176128282086e-05
Position 959: 4.750916525374797e-05
Position 2950: 4.0903024318746044e-05
Position 279: 3.980380933988293e-05
Position 1150: 3.75414283463518e-05
Position 1155: 3.343847866190713e-05
Position 1081: 3.2577979782850586e-05
Position 2348: 3.2388178798022424e-05
Position 486: 8.978085300019892e-06
Position 469: 2.3837816579695666e-06
Position 303: 1.50055237557873e-06
Position 2282: 1.1616990216593563e-06
Position 294: 1.0947771911879615e-06
Position 428: 1.067082487465351e-06
Position 2264: 9.729669414335626e-07
Position 336: 9.521730999799633e-07
Position 14: 8.380582516825535e-07
Position 306: 3.481256834633224e-07
Position 1428: 1.7503676034095894e-07
Position 1938: 1.7285536749202326e-07
Position 168: 9.156539755834596e-08
Position 1054: 8.85653903980099e-08
Position 1077: 1.3822364121805995e-08
Position 1860: 1.3498345385985723e-08
Position 387: 6.936470454713085e-09
Position 338: 1.3060649067592682e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2389: 0.9931314306174939
Position 1261: 0.8665599883702032
Position 947: 0.8487396224879118
Position 1915: 0.8457690997369013
Position 616: 0.7866134726543353
Position 180: 0.3755353948993548
Position 478: 0.16356845274034487
Position 3057: 0.03502151044063179
Position 2057: 0.025616932603606733
Position 2760: 0.020531205610270848
Position 639: 0.02046501928050771
Position 2904: 0.014631354875636195
Position 2141: 0.013256862324398176
Position 2086: 0.011236474563690608
Position 2243: 0.010985655780058253
Position 1709: 0.0078777929883393
Position 1900: 0.006688512230746555
Position 3022: 0.004454952749755971
Position 183: 0.004214461032944322
Position 673: 0.0037917437350072723
Position 303: 0.002879919795603033
Position 1986: 0.0022929735423215815
Position 3060: 0.002132497571090603
Position 1653: 0.0019845227885441946
Position 2831: 0.0019709791607865124
Position 900: 0.0016454836486912163
Position 1673: 0.0013699081711262655
Position 957: 0.001234143017642264
Position 1017: 0.0009787609778489457
Position 854: 0.0009224935096031108
Position 160: 0.0009111937155246686
Position 375: 0.0005143295580613094
Position 2725: 0.0003651890142411747
Position 878: 0.000334072335596795
Position 454: 0.00028002418488290323
Position 968: 0.0002157422917471463
Position 1723: 0.0002126932440274544
Position 1995: 0.00019568941630679435
Position 484: 0.00017889440395336373
Position 419: 0.00017184813971931104
Position 1105: 0.0001478990914479014
Position 751: 0.00011766325780133859
Position 2811: 0.0001113970882810699
Position 2978: 0.00010207858483273887
Position 692: 9.947727931614344e-05
Position 812: 8.866968473345577e-05
Position 3080: 8.036392787956603e-05
Position 399: 7.940108618623978e-05
Position 908: 6.495441620683954e-05
Position 726: 5.085263096248552e-05
Position 372: 4.967155313732922e-05
Position 240: 3.8236644210953264e-05
Position 694: 3.1587021734674974e-05
Position 715: 2.948939077667971e-05
Position 2585: 2.792461866775831e-05
Position 2737: 2.4018233948099414e-05
Position 2843: 2.3177223279472404e-05
Position 450: 1.3405121241784927e-05
Position 237: 1.2086674865068967e-05
Position 351: 1.0451888574499256e-05
Position 742: 9.035394128427071e-06
