Gene = TfAP-2
index = 1552
Annotated 5SS: [12511 22822 23059 24523 25357 25682 25953]
Annotated 3SS: [22590 22872 24314 25166 25416 25784 26015]
SMsplice 5SS: [   69 22822 23059 24523 25357 25682 25953]
SMsplice 3SS: [22590 22890 24314 25166 25416 25784 26015]
top_k =  500
Partition function (log Z): 15.905625300128884

Sorted 5' Splice Sites (High to Low Probability):
Position 69: 0.9999999999999982
Position 25357: 0.9994502758268627
Position 23059: 0.9987320657743993
Position 25953: 0.9984285706249223
Position 25682: 0.9957462763758761
Position 22822: 0.9928440274148241
Position 24523: 0.9926167698267068
Position 25009: 0.5017443511749132
Position 24234: 0.12354528992811213
Position 24768: 0.10830479775595722
Position 26101: 0.010085432507570973
Position 26420: 0.00879511618362402
Position 24789: 0.00858684366737553
Position 26226: 0.007083924131034945
Position 25529: 0.006333139670201835
Position 24001: 0.005568716131128432
Position 24957: 0.005007133602152545
Position 25110: 0.004335374721201923
Position 25488: 0.004046112157043372
Position 25048: 0.003811042154798361
Position 24134: 0.0037847618810915896
Position 26283: 0.0033421276389987652
Position 25108: 0.003068942600974141
Position 24677: 0.0026791230733729295
Position 25701: 0.0024730432434114775
Position 26250: 0.001585449816936027
Position 23328: 0.0015605222239762349
Position 24970: 0.0010361433783906207
Position 25031: 0.0008009002920669424
Position 26138: 0.0007465415740269838
Position 25964: 0.0006804473949167606
Position 25967: 0.00028392442259071206
Position 24961: 0.0002781396411063084
Position 25645: 0.00027560106793721173
Position 26269: 0.0002440075183097117
Position 25707: 0.00022180948917598225
Position 24817: 0.00021957790409780006
Position 25650: 0.0002166663632938276
Position 24685: 0.00019715078525248472
Position 24500: 0.00018887811290907233
Position 24757: 0.0001515623581820324
Position 26165: 0.00014366748858983509
Position 26243: 8.68389287519511e-05
Position 24963: 8.198956832357055e-05
Position 25361: 7.026744332357346e-05
Position 25609: 6.27193729180642e-05
Position 25616: 5.943296163465335e-05
Position 26424: 5.477798775462742e-05
