Gene = CAH2
index = 58
Annotated 5SS: [2555 4548 4837]
Annotated 3SS: [4074 4608 4897]
SMsplice 5SS: [  69 4548 4837]
SMsplice 3SS: [4074 4608 4897]
top_k =  500
Partition function (log Z): 5.926832411430178

Sorted 5' Splice Sites (High to Low Probability):
Position 4837: 0.9998451339366706
Position 4548: 0.9992669152675742
Position 69: 0.8686755260898021
Position 278: 0.0701823356750872
Position 1932: 0.06727320502214337
Position 2555: 0.05438526738729483
Position 1580: 0.032817610418108434
Position 4191: 0.025983853863951092
Position 140: 0.015083682444039142
Position 319: 0.014254779243183606
Position 381: 0.012956831856929559
Position 4326: 0.012788166536810733
Position 388: 0.012684516706600724
Position 1671: 0.010791669181537351
Position 2308: 0.008881260240252322
Position 5163: 0.00745829448660818
Position 999: 0.006545968568429919
Position 5283: 0.005344100082831443
Position 2321: 0.004892076339689861
Position 2473: 0.0046714925634484036
Position 4728: 0.0037796703685198507
Position 834: 0.003581657979159506
Position 872: 0.0034964921498515673
Position 1518: 0.0021993800886203124
Position 3617: 0.0011994718127371217
Position 809: 0.0011332942676697223
Position 272: 0.000914964020104883
Position 4716: 0.000690451837573306
Position 5174: 0.0006536398132925914
Position 5398: 0.0005674349705135771
Position 1239: 0.00020887178750281278
Position 5646: 0.00018280823662882235
Position 1601: 0.0001827774619811536
Position 5139: 0.00012886864446399432
Position 5160: 0.00012452086416432106
Position 4684: 0.00010478271902961672
Position 5062: 9.897420733224654e-05
Position 618: 7.653743363821781e-05
Position 1141: 7.380035500143105e-05
Position 4984: 6.277638501649325e-05
Position 1562: 5.206451070699417e-05
Position 144: 4.878670721950643e-05
Position 1380: 4.806812837726672e-05
Position 1226: 3.4919418768776656e-05
Position 152: 3.4895614258991745e-05
Position 5313: 3.121801538172901e-05
Position 5223: 3.104553056710159e-05
Position 361: 3.062380080216155e-05
Position 4739: 2.7729059566058427e-05
Position 4609: 2.5356950285777713e-05
Position 5116: 2.004055023959145e-05
Position 5152: 1.6506061118293593e-05
Position 5507: 1.6435346852670745e-05
Position 343: 1.5643306891202466e-05
Position 188: 1.367049152153939e-05
Position 4781: 1.3477405805475196e-05
Position 3445: 1.2019707326505255e-05
Position 3500: 1.141104019827907e-05
Position 657: 1.1276929537974045e-05
Position 942: 1.1237331707964172e-05
Position 121: 9.385024425888808e-06
Position 957: 8.017335852739533e-06
Position 67: 7.826288253165328e-06
Position 39: 6.252803579818716e-06
Position 4853: 6.00768532804205e-06
Position 425: 5.860179862354045e-06
Position 5549: 5.858506629216374e-06
