Gene = Hmgcl
index = 1213
Annotated 5SS: [111]
Annotated 3SS: [169]
SMsplice 5SS: [111]
SMsplice 3SS: [169]
top_k =  500
Partition function (log Z): -6.581114817852714

Sorted 5' Splice Sites (High to Low Probability):
Position 111: 0.9982393973379878
Position 41: 0.0025796675623036345
Position 332: 0.0014926293492413757
Position 1088: 0.0012266601205088976
Position 1055: 0.0010737108414851297
Position 46: 0.0006171989270584394
Position 1093: 0.0004401725972476754
Position 518: 0.0004377891995329379
Position 402: 0.00037791544332764157
Position 1015: 0.00031640235586845696
Position 200: 0.0002533444262703634
Position 473: 0.00020851570854406656
Position 215: 0.0001715910936041298
Position 764: 0.00016586890959056262
Position 819: 0.00012057346945476198
Position 395: 0.00010661894601743803
Position 1007: 6.794568669687265e-05
Position 73: 5.160743849536811e-05
Position 231: 5.089713778063716e-05
Position 665: 3.84105641028926e-05
Position 502: 3.3196003829246875e-05
Position 628: 3.0150788133596855e-05
Position 347: 2.7474912158706337e-05
Position 374: 2.1714622832217247e-05
Position 679: 1.3258863753736723e-05
Position 947: 1.3068898383503866e-05
Position 668: 1.2915579728945492e-05
Position 773: 1.2183859626870485e-05
Position 585: 1.0464882100835838e-05
Position 292: 8.46543042271322e-06
Position 636: 7.451896448997692e-06
Position 479: 7.1939776646330525e-06
Position 723: 5.661104266151974e-06
Position 614: 4.772311941719991e-06
Position 1149: 4.33828494831606e-06
Position 1194: 4.209589268966956e-06
Position 1199: 3.192224169566056e-06
Position 1048: 3.1654633131733527e-06
Position 617: 2.8026639573214027e-06
Position 866: 2.312019401892656e-06
Position 944: 1.8353830915191283e-06
Position 1171: 1.7852346595721724e-06
Position 919: 1.6256276068393183e-06
Position 983: 1.3029130506161726e-06
Position 1066: 1.1097656028641207e-06
Position 869: 7.381832115169773e-07
Position 10: 7.189201160487802e-07
Position 209: 1.9378596614923103e-10
Position 179: 1.509554587844774e-10
Position 447: 6.4011475312852255e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 169: 0.9971179754836014
Position 1184: 0.0034762485136702586
Position 105: 0.002960589348376099
Position 572: 0.0010401917030898567
Position 1247: 0.0008478526109119772
Position 302: 0.0007267799357038901
Position 199: 0.0005955998380910285
Position 395: 0.0004241165820859504
Position 436: 0.0003454331487888533
Position 533: 0.0001338139480971016
Position 737: 9.396927981322261e-05
Position 823: 8.515561268648434e-05
Position 263: 7.181331605666765e-05
Position 383: 4.520917540446431e-05
Position 569: 3.931467018447118e-05
Position 186: 3.662095694198143e-05
Position 514: 3.0189138593661438e-05
Position 457: 2.275927340968274e-05
Position 416: 2.2488381826830494e-05
Position 355: 2.188066635941312e-05
Position 1149: 2.1347366158742006e-05
Position 317: 1.803488269124624e-05
Position 700: 1.66210288473027e-05
Position 1143: 1.6007087060071396e-05
Position 1132: 1.1605303996768618e-05
Position 1038: 9.3152699453381e-06
Position 327: 7.501484820143884e-06
Position 788: 5.691834438484412e-06
Position 1189: 5.21541633669718e-06
Position 408: 4.85765126960258e-06
Position 992: 4.342717995934802e-06
Position 445: 3.4924035125200116e-06
Position 110: 3.403376764427564e-06
Position 1081: 2.234485542839507e-06
Position 320: 1.9299343774888765e-06
Position 1007: 1.861300949745417e-06
Position 214: 1.75278424713556e-06
Position 63: 5.871841577822234e-07
Position 1273: 2.2367026580192296e-07
Position 73: 8.31177149167574e-11
Position 244: 1.1753004157585243e-11
Position 271: 7.287853476487018e-12
Position 374: 6.401566986586941e-13
Position 277: 8.164915735007141e-14
Position 336: 2.749966895057214e-19
