Gene = ND-B17.2
index = 1301
Annotated 5SS: [ 33 313 554 690]
Annotated 3SS: [101 375 604 745]
SMsplice 5SS: [158 313 554 690]
SMsplice 3SS: [216 375 604 745]
top_k =  500
Partition function (log Z): 16.286290757762718

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9997150870216105
Position 690: 0.9979948421879788
Position 554: 0.9768862338978441
Position 158: 0.911614370876854
Position 33: 0.40825192677202976
Position 532: 0.02262913947921931
Position 37: 0.0025771483547542234
Position 4: 0.0010110455237080835
Position 529: 0.00014700122124319397
Position 558: 0.00010333159612020394
Position 317: 5.741021186924564e-05
Position 643: 4.631203377928301e-05
Position 418: 3.0266901190985027e-05
Position 813: 2.8654795441313075e-05
Position 649: 2.397626837238509e-05
Position 151: 1.9339682152425345e-05
Position 105: 1.6591954814844673e-05
Position 295: 1.5664659789730837e-05
Position 850: 1.4830717048334773e-05
Position 714: 1.209292761130584e-05
Position 887: 9.209252831018877e-06
Position 781: 8.435222570155057e-06
Position 145: 5.291092484800941e-06
Position 162: 4.006556459458987e-06
Position 92: 2.5353104417682968e-06
Position 430: 2.5298819773652477e-06
Position 816: 1.8334297462955268e-06
Position 404: 1.8028708968615282e-06
Position 491: 1.6742372651676998e-06
Position 52: 1.3531410748173533e-06
Position 445: 9.328841455045961e-07
Position 478: 8.793489192849831e-07
Position 266: 4.2900462987555853e-07
Position 818: 3.2595675274552437e-07
Position 187: 5.70505023762391e-09
Position 204: 4.439159489634081e-09
Position 583: 2.598967309232405e-09
Position 226: 1.2728496239983768e-09
Position 256: 1.5529795132252166e-10
Position 574: 4.375793325027892e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 604: 0.9997624787295049
Position 375: 0.9996540058523212
Position 745: 0.9981028371687457
Position 216: 0.9141943069749693
Position 92: 0.23982227012122725
Position 101: 0.16786340828901553
Position 71: 0.0005175480199410425
Position 158: 0.0004573833241526063
Position 135: 0.0003383266347701172
Position 226: 0.00015346948810687086
Position 391: 0.0001384464379585378
Position 262: 0.00010520978952712035
Position 923: 3.907676860040257e-05
Position 934: 2.313753407299998e-05
Position 850: 2.001892661792516e-05
Position 781: 1.676654006409261e-05
Position 253: 7.476286822441753e-06
Position 430: 6.546287392590422e-06
Position 944: 3.1197547991623434e-06
Position 714: 3.082672861465716e-06
Position 643: 2.7561542387236137e-06
Position 688: 1.1737657404011966e-06
Position 418: 1.128072774785235e-06
Position 747: 6.019145117537197e-07
Position 168: 5.461934265752505e-07
Position 666: 3.128496665197407e-07
Position 887: 1.4551722662505996e-07
Position 949: 1.1369274991952207e-07
Position 275: 1.1240648613378156e-07
Position 281: 9.879522876779807e-08
Position 304: 8.658261815121744e-08
Position 439: 7.826877120569244e-08
Position 801: 7.69540117523973e-08
Position 786: 7.665089768470124e-08
Position 529: 7.379846943120554e-08
Position 718: 6.70165376439799e-08
Position 649: 3.506932321456287e-08
Position 873: 3.1415131834992294e-08
Position 334: 2.111728408852913e-08
Position 656: 1.9990682655349978e-08
Position 810: 1.2025278844958523e-08
Position 813: 1.058278403106497e-08
Position 478: 6.974612738645328e-09
Position 312: 5.152706186691294e-09
Position 807: 4.297848408619024e-09
Position 954: 4.215112955664305e-09
Position 553: 1.1043658442039619e-09
Position 293: 9.180022543854231e-10
Position 826: 9.125469632515491e-10
Position 816: 4.969138576525573e-10
Position 289: 4.965075802847496e-10
Position 670: 2.0172048176739496e-10
Position 563: 1.6609250525581404e-10
Position 162: 7.321072874388003e-11
