Gene = Wbp2
index = 1601
Annotated 5SS: [ 167  633  989 1558 2552]
Annotated 3SS: [ 332  749 1143 2450 2615]
SMsplice 5SS: [ 167  633  989 1558 2357 2552]
SMsplice 3SS: [ 332  749 1143 2066 2450 2615]
top_k =  500
Partition function (log Z): 14.067677088531925

Sorted 5' Splice Sites (High to Low Probability):
Position 2552: 0.9946565567140557
Position 1558: 0.9924800664141338
Position 633: 0.9912095178482848
Position 989: 0.9856974801756461
Position 167: 0.908907893550342
Position 2357: 0.4202709155255638
Position 2379: 0.17947555831909273
Position 2364: 0.17418004989476416
Position 2113: 0.07866821753755676
Position 1384: 0.04772676683779094
Position 1301: 0.03285751651444596
Position 1964: 0.031737561833029004
Position 2377: 0.028054161088462166
Position 2344: 0.024516672709036087
Position 2314: 0.022600223246556007
Position 1361: 0.016513714261538574
Position 407: 0.01630209322219216
Position 1917: 0.016203120677037625
Position 1340: 0.014442546140996534
Position 2173: 0.01128020191368063
Position 1369: 0.009658619937212938
Position 25: 0.009577228752330538
Position 164: 0.009194919191652827
Position 231: 0.008545707090224647
Position 1780: 0.007077656957463334
Position 1398: 0.005696617383111692
Position 1900: 0.004972147756068637
Position 983: 0.0022408189462846005
Position 2176: 0.0017753505725112129
Position 2395: 0.0017486329585878165
Position 556: 0.001144249919732406
Position 1208: 0.0011180442237442808
Position 49: 0.0010837256524767903
Position 2318: 0.0009753368367118296
Position 1877: 0.000883383657106556
Position 1898: 0.0008606005610509083
Position 1744: 0.000798751573413933
Position 637: 0.0007898858640243804
Position 1279: 0.0006933253449970041
Position 171: 0.0006286021695651302
Position 685: 0.0006229045395918769
Position 2068: 0.0005759247777973873
Position 1823: 0.0005696190718029335
Position 2213: 0.0005377500982095555
Position 2181: 0.00046681558747489987
Position 975: 0.0004306287678049578
Position 374: 0.00034226808208105865
Position 2327: 0.00032245110216322045
Position 183: 0.0003016012386288922
Position 1562: 0.00029586062959207764
Position 55: 0.00025506560885969873
Position 2783: 0.0002451927043136005
Position 2571: 0.0002444177644130142
Position 949: 0.00015844472346055786
Position 2709: 0.00014523702473938667
Position 489: 0.00014363137844775647
Position 597: 0.00014332429721505277
Position 1723: 0.0001380021791367059
Position 2261: 0.0001364320770830869
Position 592: 0.0001335359062032569
Position 2776: 0.00011753387301457194
Position 117: 0.00010263984661329625
Position 222: 7.158599316431446e-05
Position 243: 6.760737547870938e-05
Position 583: 6.059368119850694e-05
Position 1698: 5.8274805434955064e-05
Position 644: 5.8102329437187376e-05
Position 2561: 5.639920608892227e-05
Position 2321: 5.372341804407384e-05
Position 1312: 5.133159677742025e-05
Position 1213: 4.732983883596171e-05
Position 456: 4.460621874873836e-05
Position 2754: 4.3331899031831764e-05
Position 2316: 4.280362013897597e-05
Position 277: 4.084345979673695e-05
