Gene = tctn
index = 1909
Annotated 5SS: [189 612]
Annotated 3SS: [259 670]
SMsplice 5SS: [189 612]
SMsplice 3SS: [259 670]
top_k =  500
Partition function (log Z): -4.86224421977922

Sorted 5' Splice Sites (High to Low Probability):
Position 612: 0.9948439972808709
Position 189: 0.6931308631113391
Position 1016: 0.04645387629428567
Position 959: 0.01905787875332461
Position 411: 0.01842996435362789
Position 1300: 0.012008865448230748
Position 1070: 0.010937634599382151
Position 2148: 0.004778968177998714
Position 424: 0.0027872406317771404
Position 1293: 0.001918053603356577
Position 1447: 0.0011656852821725113
Position 1976: 0.0010045932771158054
Position 2354: 0.000986711202496866
Position 1688: 0.000983269364908355
Position 1084: 0.0009009937602288514
Position 1906: 0.0008484835192015374
Position 761: 0.0005231464682672457
Position 409: 0.0004523552730334785
Position 702: 0.0003129073643357565
Position 256: 0.0002927673169695418
Position 1088: 0.0002773510560197408
Position 1709: 0.0002442164433530414
Position 616: 0.00017118301100042726
Position 1546: 0.00015182071182303646
Position 172: 0.00012479406837183558
Position 1369: 8.648759546905994e-05
Position 604: 7.197124953478587e-05
Position 926: 7.07033018427512e-05
Position 296: 6.839557524082538e-05
Position 677: 6.283303500854734e-05
Position 602: 6.064454141138032e-05
Position 418: 5.0517265539275726e-05
Position 110: 4.2135500564495794e-05
Position 652: 2.9267616896146175e-05
Position 163: 2.678628932223016e-05
Position 403: 2.0934069924969298e-05
Position 193: 1.8888425554697464e-05
Position 312: 1.8365633268304167e-05
Position 177: 1.807271455956491e-05
Position 82: 1.7221645256244645e-05
Position 289: 9.415079047577182e-06
Position 514: 8.711284773734206e-06
Position 46: 6.534737761568328e-06
Position 435: 2.7567935266772355e-06
Position 466: 2.4672134578580896e-06
Position 734: 2.0241469904196974e-06
Position 776: 2.006357255587134e-06
Position 906: 1.3522065998918938e-06
Position 545: 1.3456011382840874e-06
Position 89: 1.1861018001885969e-06
Position 640: 1.1654063899697361e-06
Position 219: 1.0796107596553773e-06
Position 379: 9.472133102966548e-07
Position 277: 7.659133581602002e-07
Position 755: 7.365639763751515e-07
Position 750: 5.260466676494749e-07
Position 998: 3.413301424403846e-07
Position 1173: 2.651287334355699e-07
Position 708: 2.565457631600317e-07
Position 29: 2.5236408606524003e-07
Position 996: 2.423327452765485e-07
Position 796: 1.1764981910456688e-07
Position 307: 1.0380823809367533e-07
Position 1122: 9.829133471454836e-08
Position 670: 6.914414195920321e-08
Position 460: 3.4105795200165326e-08
Position 140: 3.3112926840310844e-08
Position 1255: 3.199968978841546e-08
Position 471: 1.726876560584314e-08
Position 445: 1.712574201489093e-08
Position 1304: 1.2947965519340168e-08
Position 691: 8.940748299089905e-10
Position 551: 4.6278233175465734e-11
Position 537: 5.6674432107260607e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 670: 0.8040256485360997
Position 259: 0.6382408746876644
Position 734: 0.059768988172994184
Position 1132: 0.05367380429912248
Position 1989: 0.043826038734949904
Position 481: 0.038709129785797325
Position 2088: 0.03825783112575045
Position 435: 0.03161765294839371
Position 1228: 0.02949193308446763
Position 1369: 0.017005124506768565
Position 701: 0.007845620323047912
Position 2451: 0.0058464442952285796
Position 1708: 0.005294124298348894
Position 2322: 0.005074265438306146
Position 1136: 0.00387840572049138
Position 1564: 0.003282149227726409
Position 2200: 0.0031962324096370008
Position 282: 0.003032639630882353
Position 2060: 0.0024823202144759254
Position 2239: 0.0024130312845108944
Position 1502: 0.0019793971837357258
Position 1314: 0.0015320981211014964
Position 1374: 0.001525066050571686
Position 1420: 0.0012762854520717091
Position 1070: 0.0011909037350356598
Position 677: 0.0010814716149000329
Position 1537: 0.0007423824367626855
Position 1006: 0.0007199639891274022
Position 327: 0.0005707254133764729
Position 1584: 0.000462744522093741
Position 1847: 0.00041196731388286247
Position 1832: 0.0004066064385009815
Position 2002: 0.0003903092225594912
Position 1282: 0.00038459923541186156
Position 1433: 0.0003573174196436949
Position 384: 0.0003304368752951616
Position 537: 0.0003234385087294789
Position 2092: 0.0002725638286750804
Position 348: 0.00025455655376399816
Position 918: 0.00022784289927967654
Position 896: 0.00021069931488670193
Position 294: 0.00020540930828958292
Position 1193: 0.00015740831980161013
Position 2740: 0.00015320061245445858
Position 2524: 0.00014724051292749747
Position 1603: 0.0001469196107725928
Position 2281: 0.00013703024001143567
Position 332: 0.0001284379483393344
Position 2062: 0.00012108270840306878
Position 1676: 8.92785331040459e-05
Position 1837: 7.619997996465266e-05
Position 1719: 7.31925994368897e-05
Position 403: 6.760228503087639e-05
Position 1403: 6.46314885649924e-05
Position 1009: 6.352348121672057e-05
Position 691: 5.303705155550335e-05
Position 939: 3.663850451843381e-05
Position 513: 3.125707951095931e-05
Position 890: 2.896737597013904e-05
Position 1140: 2.3320333464982292e-05
Position 300: 1.815440280651853e-05
Position 565: 1.3060700658724669e-05
Position 498: 1.038345511963476e-05
Position 288: 1.0064774665713357e-05
Position 329: 6.8372715296961824e-06
Position 559: 5.0095193960438514e-06
Position 210: 4.2788007082629e-06
Position 127: 3.549058934543831e-06
Position 207: 1.8285070711605302e-06
Position 764: 1.3071175936036183e-06
Position 915: 7.269340697506173e-07
Position 930: 6.463369731776493e-07
Position 137: 4.5448629378193946e-07
Position 788: 3.2335994584643485e-07
Position 89: 2.927747075062689e-07
Position 409: 2.861635851003058e-07
Position 87: 1.7203331064253204e-07
Position 172: 1.4594530407385245e-07
Position 184: 5.9522260316774565e-08
Position 302: 4.912221624583985e-08
Position 177: 4.882197213576133e-08
Position 578: 1.5461105369625255e-08
Position 109: 1.4809276714845813e-08
Position 82: 1.3296399297643856e-08
Position 368: 1.0569855590569577e-08
Position 761: 9.112690125994132e-09
Position 154: 2.2069283621792016e-09
Position 755: 1.8129865011040883e-09
Position 186: 2.1432799336451776e-13
Position 193: 1.1439525744949179e-14
