Gene = Culd
index = 1112
Annotated 5SS: [ 292  685 1153 2055 2818]
Annotated 3SS: [ 353  747 1685 2112 2883]
SMsplice 5SS: [ 292 1153 1519 2055 2818]
SMsplice 3SS: [ 353 1348 1685 2112 2883]
top_k =  500
Partition function (log Z): 5.369937081412113

Sorted 5' Splice Sites (High to Low Probability):
Position 2055: 0.9931290821511336
Position 292: 0.9813169516779594
Position 1153: 0.9706469863497709
Position 2818: 0.9384189069824781
Position 1519: 0.6688359833926547
Position 2998: 0.45820146377746807
Position 685: 0.39577131340193067
Position 909: 0.31629076051991234
Position 2544: 0.14155217939503403
Position 1615: 0.13612204581130896
Position 1000: 0.06907536080547835
Position 705: 0.04093474299878015
Position 2264: 0.02652353573260455
Position 1591: 0.020763364428919066
Position 594: 0.014606054304326335
Position 3197: 0.009269057002414347
Position 868: 0.007949100383913728
Position 1550: 0.006651683124390343
Position 437: 0.005762380255357977
Position 1265: 0.005467379169245872
Position 1495: 0.004731747395577583
Position 1216: 0.00360482882147623
Position 1430: 0.0027483535750863868
Position 3213: 0.002485307629201369
Position 1255: 0.002304946373811457
Position 1555: 0.002217929106449814
Position 1026: 0.0021549521541317854
Position 481: 0.002100773503349036
Position 1514: 0.0020314090890184637
Position 1504: 0.0017575152980930447
Position 1098: 0.0012784893593863753
Position 2406: 0.0011445585952766487
Position 3002: 0.0009716563586075535
Position 1558: 0.0005897441716670103
Position 3822: 0.0005624914124470158
Position 1509: 0.0005292495950033579
Position 2822: 0.0005214767959813988
Position 271: 0.00048325489525093086
Position 256: 0.0003777875957526274
Position 1157: 0.00028370958811773473
Position 822: 0.0002636210713166348
Position 2385: 0.00022685841879911895
Position 762: 0.00022147704992773136
Position 1433: 0.00021123000571759528
Position 2455: 0.00016894443147314717
Position 2425: 0.00016676995640538215
Position 298: 0.00015689980270411428
Position 709: 0.00014667390979393314
Position 2059: 0.00014601776557100302
Position 701: 0.00012991459350197184
Position 2000: 0.00011623069910692763
Position 836: 0.00010490043007896338
Position 1442: 9.914681586027408e-05
Position 3833: 9.797926171086596e-05
Position 802: 9.045972866404476e-05
Position 2815: 8.771232177258402e-05
Position 1572: 8.54114310988615e-05
Position 296: 8.131725671957402e-05
Position 1437: 8.012474667586208e-05
Position 401: 7.600257944675206e-05
Position 3809: 6.594899072367562e-05
Position 1080: 6.578650054917636e-05
Position 789: 5.344190656966825e-05
Position 503: 4.857285448764594e-05
Position 2393: 4.688478761983951e-05
Position 2030: 3.9909588982380574e-05
