Gene = pr
index = 1848
Annotated 5SS: [  75  501  688 1268]
Annotated 3SS: [ 138  607 1121 1329]
SMsplice 5SS: [  75  501  688 1268]
SMsplice 3SS: [ 138  607 1121 1329]
top_k =  500
Partition function (log Z): 3.364890258969994

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9878315999578966
Position 1268: 0.954683607161724
Position 688: 0.936146340495901
Position 501: 0.9158525685258215
Position 799: 0.04177012150922637
Position 1650: 0.029716050782099435
Position 326: 0.010933994531298558
Position 340: 0.010040540716544845
Position 1682: 0.006139174473063588
Position 42: 0.004902451855876843
Position 1069: 0.004583253411239223
Position 415: 0.0018500274501996785
Position 213: 0.0014421850873125727
Position 1665: 0.0013771131179904548
Position 1411: 0.0013494629804788754
Position 294: 0.0011636064129540867
Position 1205: 0.0010954013401344262
Position 1071: 0.0008013194979125482
Position 936: 0.000565892077654604
Position 1247: 0.0005170389312971063
Position 1001: 0.0003668179056544845
Position 963: 0.0003306304058567954
Position 954: 0.0002882788631174607
Position 815: 0.0002682902621016081
Position 875: 0.00024283110061716005
Position 818: 0.00022781072098145802
Position 1686: 0.00020134669796825687
Position 227: 0.00018255510935824435
Position 1404: 0.00013765585773881263
Position 1458: 7.7097275721208e-05
Position 740: 5.687129324112882e-05
Position 464: 5.597735985421566e-05
Position 650: 4.6101118095367766e-05
Position 1629: 4.032974263744945e-05
Position 32: 3.7235722600056775e-05
Position 236: 3.299263189588769e-05
Position 238: 2.415526246707713e-05
Position 262: 1.620429179981444e-05
Position 1166: 1.3278015604859766e-05
Position 1556: 1.247460257982156e-05
Position 1300: 1.2320087790063741e-05
Position 1527: 1.0725708869127083e-05
Position 639: 7.613993270856576e-06
Position 956: 5.622340176112824e-06
Position 79: 4.259365076267235e-06
Position 250: 3.419951996259629e-06
Position 96: 2.903732341127307e-06
Position 901: 2.5437313365715474e-06
Position 491: 2.125659076466061e-06
Position 279: 9.043363775496652e-07
Position 1512: 8.172277382762863e-07
Position 3: 5.183496708736457e-07
Position 435: 5.055222998899925e-07
Position 19: 3.2024435882179136e-07
Position 720: 4.6687236237881476e-08
Position 448: 2.6249965307610072e-08
Position 129: 9.999511362593798e-10
Position 100: 7.728874581726914e-10
Position 1133: 6.36145750086862e-10
Position 568: 4.878407860755269e-10
Position 1121: 1.585739679313291e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 138: 0.984040059945781
Position 1121: 0.9706346934720633
Position 1329: 0.9570646502865622
Position 607: 0.807057213064029
Position 568: 0.10259571953053574
Position 1732: 0.03868455111420621
Position 395: 0.01857276356715457
Position 777: 0.01625086608025702
Position 1078: 0.0024706077525916002
Position 1334: 0.0024057606105041276
Position 875: 0.0022531034116656723
Position 1342: 0.0018230408874590131
Position 1383: 0.0017603316733336332
Position 479: 0.0017578464130742779
Position 831: 0.0014273890527663063
Position 147: 0.0013724195900555564
Position 356: 0.0010598296313686533
Position 740: 0.0007658937156822781
Position 294: 0.0004543577047849342
Position 1008: 0.0004236798064949909
Position 160: 0.0004054908543845054
Position 997: 0.00039775744529768256
Position 401: 0.00039266495150650703
Position 1552: 0.0003366475872950438
Position 189: 0.00014038051588424115
Position 115: 0.00012523979088920227
Position 889: 8.966770085754284e-05
Position 500: 7.522757879583593e-05
Position 363: 6.414622619489351e-05
Position 815: 5.803533920121038e-05
Position 1597: 4.964110926901878e-05
Position 1445: 4.47352459593415e-05
Position 1268: 4.267203654464996e-05
Position 1682: 4.111915573644091e-05
Position 325: 3.265917864318152e-05
Position 1088: 3.1093120520880726e-05
Position 1028: 2.978162052975561e-05
Position 720: 2.7538953807460642e-05
Position 407: 2.704077237206288e-05
Position 1389: 2.5754803609138822e-05
Position 441: 2.555354063137888e-05
Position 213: 1.9114817289470882e-05
Position 415: 1.802104544267246e-05
Position 250: 1.763683501021644e-05
Position 850: 1.7217188910614593e-05
Position 1632: 9.547993815023208e-06
Position 1621: 9.524697754694693e-06
Position 199: 7.10553565216939e-06
Position 309: 5.958242498908928e-06
Position 1020: 4.968377307326028e-06
Position 619: 3.5276942027930766e-06
Position 629: 3.1606598493441084e-06
Position 1216: 3.0976659749613244e-06
Position 1392: 3.087753468930143e-06
Position 508: 2.8195897903211882e-06
Position 218: 2.62297143010646e-06
Position 1126: 2.4347247370504277e-06
Position 322: 2.2708490017885704e-06
Position 1434: 2.1021715343531795e-06
Position 220: 1.2551030129146998e-06
Position 65: 7.297597765583567e-07
Position 371: 4.97170825840025e-07
Position 639: 3.508330459764381e-07
Position 650: 3.3787385542684203e-07
Position 227: 2.583111729379009e-07
Position 74: 4.0218561237078315e-08
Position 96: 1.7570586173378548e-08
Position 234: 1.3652512667124517e-08
Position 168: 9.777137187046894e-09
Position 687: 6.7288808576782894e-09
Position 79: 5.438151258173754e-12
