Gene = Akh
index = 17
Annotated 5SS: [188]
Annotated 3SS: [255]
SMsplice 5SS: [188]
SMsplice 3SS: [255]
top_k =  500
Partition function (log Z): -2.6410203408231827

Sorted 5' Splice Sites (High to Low Probability):
Position 188: 0.9994468724386957
Position 192: 0.0005357865665712761
Position 534: 0.0002618183153032714
Position 433: 5.4061166004565837e-05
Position 74: 5.1523106081557656e-05
Position 452: 4.6377762406418e-05
Position 289: 1.8682435433616046e-05
Position 423: 1.8205896678860035e-05
Position 183: 1.3797482542616479e-05
Position 470: 3.4589960873170048e-06
Position 512: 1.5700047669941756e-06
Position 525: 8.410196165658383e-07
Position 176: 6.503189544165782e-07
Position 181: 5.350803182490271e-07
Position 34: 3.4549450655843156e-07
Position 97: 2.8957122010727026e-07
Position 32: 1.8892179545008327e-07
Position 137: 1.473742750975294e-07
Position 302: 1.2754307035009056e-07
Position 27: 8.143258860050452e-08
Position 540: 6.103093262834833e-08
Position 152: 4.745315326635747e-08
Position 537: 2.8361022656814046e-08
Position 379: 1.8359979889092382e-08
Position 284: 1.3420328695023218e-08
Position 543: 1.268702144039531e-08
Position 52: 1.2531802608010595e-08
Position 255: 4.431545707518121e-09
Position 230: 5.128936338013693e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.997653545049932
Position 390: 0.0009456434614321281
Position 327: 0.00078372735562316
Position 590: 0.00028639729471690087
Position 330: 0.00024082299636134772
Position 521: 0.0001516187217607009
Position 396: 0.00014914774074914881
Position 321: 8.348567116360456e-05
Position 282: 7.448568839795923e-05
Position 149: 2.9400277984218933e-05
Position 554: 1.793413087340343e-05
Position 130: 1.7813668317579067e-05
Position 533: 4.919912466410371e-06
Position 137: 3.593435770514316e-06
Position 298: 3.200921016537617e-06
Position 414: 2.6523129546122026e-06
Position 366: 2.255902438530841e-06
Position 475: 1.946342370838292e-06
Position 342: 5.877980651008754e-07
Position 537: 5.814730492071569e-07
Position 426: 4.458202523880659e-07
Position 445: 4.2701062849470955e-07
Position 97: 2.5605549631108487e-07
Position 543: 2.371754940170941e-07
Position 213: 1.418775947594525e-07
Position 82: 9.115446145903766e-08
Position 105: 7.80170985339504e-08
Position 110: 6.05523856633118e-08
Position 117: 2.2999543289778234e-08
Position 436: 1.919309920903644e-08
Position 181: 7.450153429786137e-09
Position 430: 7.337674541846054e-09
Position 423: 4.7749637483400336e-09
Position 132: 1.409184334467813e-10
Position 188: 3.898061215590052e-13
Position 192: 1.211296371443038e-16
