Gene = tow
index = 1915
Annotated 5SS: [ 151 1914 3592 3703 5060 5254]
Annotated 3SS: [1575 3407 3644 4391 5114 5421]
SMsplice 5SS: [ 246 3592 3703 5060 5254]
SMsplice 3SS: [3407 3644 4391 5129 5421]
top_k =  500
Partition function (log Z): 4.94463104641224

Sorted 5' Splice Sites (High to Low Probability):
Position 5254: 0.9995203257512418
Position 5060: 0.9859095355129108
Position 3592: 0.9739779333029132
Position 3703: 0.8492710807798504
Position 1914: 0.3394825350297189
Position 246: 0.2526977912587622
Position 3114: 0.1576520871463562
Position 324: 0.15587460086035834
Position 151: 0.13243173940150257
Position 4042: 0.09696805934247704
Position 6091: 0.06961246797362815
Position 990: 0.029978475007180302
Position 6265: 0.02922791072767466
Position 688: 0.028300814900035158
Position 652: 0.02283037744057168
Position 2371: 0.0211160928853711
Position 3845: 0.01786856680047315
Position 2519: 0.015096776111927947
Position 969: 0.011529060118125753
Position 4296: 0.011411927373449402
Position 1187: 0.008101666794155566
Position 4998: 0.007993921851852348
Position 1985: 0.0074186793987921435
Position 4213: 0.006759589571267599
Position 218: 0.005752178586890509
Position 3880: 0.005700782950145631
Position 2685: 0.00543859470060168
Position 949: 0.004525296528353498
Position 1272: 0.004445971774407636
Position 1299: 0.0043385742595043915
Position 2393: 0.004122987829722314
Position 633: 0.004120539400106865
Position 6050: 0.003970049507760808
Position 4258: 0.0038180548987714674
Position 2403: 0.00338769149110583
Position 5805: 0.00314921675389356
Position 5485: 0.003004065639174041
Position 5064: 0.002163750904286164
Position 5541: 0.0021312079973163
Position 4: 0.0019154813406182841
Position 2397: 0.0018133793680324235
Position 2399: 0.001752571375823514
Position 2395: 0.0017133538771124254
Position 2359: 0.0017130312215123732
Position 1192: 0.0016566620376888051
Position 1315: 0.0015512984712309583
Position 1884: 0.001499160455030984
Position 1413: 0.0013841318732264385
Position 5661: 0.0013694751596811353
Position 128: 0.0013301859166648443
Position 2017: 0.001239646034777153
Position 1918: 0.0012137856181479961
Position 106: 0.0012095853542550962
Position 3596: 0.001095181917846937
Position 3772: 0.0008633770125615609
Position 1135: 0.0007661944208101408
Position 4132: 0.0007447414236476036
Position 216: 0.0007008195867604904
Position 645: 0.000688779693574252
Position 1232: 0.000645584991130086
Position 342: 0.0005798117064648582
Position 234: 0.0005349213915277159
Position 3108: 0.0005070580971015868
Position 1662: 0.0004989390420469443
Position 258: 0.0004972276136715718
