Gene = CTPsyn
index = 1048
Annotated 5SS: [  603 13073 13675]
Annotated 3SS: [12901 13172 13738]
SMsplice 5SS: [  216   603 11574 12678 12803 13073 13675]
SMsplice 3SS: [  309 11423 11629 12730 12901 13172 13738]
top_k =  500
Partition function (log Z): 10.175335835615291

Sorted 5' Splice Sites (High to Low Probability):
Position 13675: 0.996561918195996
Position 13073: 0.9953465255951348
Position 11574: 0.9510028820267619
Position 603: 0.8927940574604118
Position 216: 0.7726160673778881
Position 11045: 0.5716257789138517
Position 12678: 0.506938848582229
Position 12803: 0.4274158076204714
Position 12612: 0.11460314188402493
Position 11872: 0.06850551074787832
Position 10650: 0.05074159499283114
Position 2742: 0.01549006123217748
Position 12653: 0.011800033112949516
Position 13553: 0.01074756067665795
Position 12328: 0.009908496471583178
Position 40: 0.006728433071425003
Position 13256: 0.0052550179571792385
Position 14795: 0.0051242969536182395
Position 13077: 0.004281174609604647
Position 248: 0.004039638159578236
Position 267: 0.003905073482727121
Position 18: 0.003399294128457549
Position 14780: 0.002388374654570722
Position 12121: 0.002280895361793155
Position 13817: 0.00216301701712568
Position 1666: 0.0018251500718209058
Position 227: 0.0015057064960464729
Position 13340: 0.0014751035993974678
Position 13685: 0.001355478001018682
Position 12100: 0.0013085996718984964
Position 729: 0.001161495516650905
Position 2771: 0.0010732068436758112
Position 14224: 0.0010515712472793845
Position 12055: 0.0010027191409450393
Position 13838: 0.0009717599638148968
Position 2694: 0.0009166617924107056
Position 11505: 0.0008175739360940989
Position 14743: 0.0007391173428728937
Position 14349: 0.0007203384614050257
Position 14101: 0.0007127590341803776
Position 251: 0.000626710083181479
Position 13323: 0.000576487622508269
Position 13679: 0.0005586534799200464
Position 13287: 0.00047656922079911937
Position 14115: 0.000397112111510517
Position 2379: 0.00036087854562727987
Position 6728: 0.00031953431585582685
Position 2485: 0.00020488628996532886
Position 13066: 0.0001418387248966603
Position 3407: 0.00013658810514483944
Position 13020: 0.00013404872234967527
Position 13826: 0.00013344664941406474
Position 14904: 0.0001239863230324173
Position 101: 0.00010653469234216862
Position 14890: 9.95802399647298e-05
Position 13706: 7.039186489216566e-05
Position 452: 6.60997248148834e-05
Position 13538: 5.918342993717754e-05
Position 13794: 4.400613115024029e-05
Position 13310: 4.314383361877227e-05
Position 190: 4.2550214879202936e-05
Position 13050: 3.920035325707894e-05
Position 1331: 3.700297873362708e-05
Position 14812: 2.9524258814360165e-05
Position 14397: 2.4640958831423277e-05
Position 2157: 2.0013037535400948e-05
Position 911: 1.9081355884194014e-05
Position 13333: 1.9039725068269726e-05
Position 404: 1.8126644485213724e-05
Position 357: 1.7893206802710705e-05
Position 13327: 1.5286607652561023e-05
Position 304: 1.3061101107325018e-05
Position 648: 1.2720488932664324e-05
Position 359: 1.2683833932071895e-05
Position 996: 1.2604318263752085e-05
Position 220: 1.0641584290571205e-05
Position 13265: 8.825817475851882e-06
Position 196: 6.348378428878203e-06
Position 85: 6.033748462312582e-06
Position 2360: 3.926330744385619e-06
Position 333: 3.770901780969589e-06
Position 823: 3.3537755702041304e-06
Position 201: 3.2003051774464322e-06
Position 13881: 2.941497587969024e-06
Position 750: 2.628881331466662e-06
Position 528: 2.4030328607847115e-06
Position 14483: 2.3539277943412393e-06
Position 488: 2.1351188009298327e-06
Position 536: 2.0853521758123137e-06
Position 746: 1.5813823642801009e-06
Position 108: 1.194324626214881e-06
Position 618: 1.1372578563795994e-06
Position 768: 1.1101601570708869e-06
Position 2063: 8.352501118565746e-07
Position 816: 7.991992354281959e-07
