Gene = da
index = 1663
Annotated 5SS: [423]
Annotated 3SS: [1943]
SMsplice 5SS: [423]
SMsplice 3SS: [1943]
top_k =  500
Partition function (log Z): -8.898750038791384

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.9168302933452841
Position 1752: 0.1044156274696976
Position 1887: 0.09941644045027435
Position 2402: 0.07033169557547826
Position 1783: 0.06910087316691334
Position 4864: 0.05083137144522143
Position 3307: 0.03696587773328965
Position 1585: 0.021307042550135758
Position 852: 0.020184696365220106
Position 4777: 0.01580728619126682
Position 2786: 0.013885125772064633
Position 463: 0.013273674585385016
Position 2088: 0.01281039294747104
Position 1143: 0.012224664093810551
Position 588: 0.010365103961138614
Position 269: 0.00976822320858277
Position 980: 0.009460843187494152
Position 2231: 0.007231507750698139
Position 2047: 0.0054446151410179515
Position 2512: 0.004894432793628529
Position 629: 0.004040380036257299
Position 1186: 0.003635686407890163
Position 3904: 0.0036093700317751673
Position 1266: 0.002872080089933588
Position 633: 0.0027288109403588745
Position 1170: 0.002367667877220449
Position 1745: 0.0021564970765992134
Position 1138: 0.0021022880141807754
Position 533: 0.0018330195481063487
Position 1494: 0.0017708186030151783
Position 835: 0.0015503137212480524
Position 732: 0.0013611627534511242
Position 2506: 0.001300146589707374
Position 565: 0.0011593243982506898
Position 926: 0.0009484233775084391
Position 919: 0.0008998246199499024
Position 310: 0.0007636118076584171
Position 174: 0.0007085112172011058
Position 1353: 0.0007025816301598614
Position 1588: 0.0006963789881912132
Position 1554: 0.000667200623920729
Position 1460: 0.0006279204626505224
Position 1080: 0.0005359799493025181
Position 2118: 0.0005288303558728309
Position 756: 0.0004984758575165215
Position 264: 0.0004922906307403888
Position 116: 0.00046048115036450204
Position 1534: 0.00040524037321063396
Position 1379: 0.00034963502852874506
Position 896: 0.00032784120064730074
Position 2126: 0.000251512423601933
Position 2480: 0.00023290041276600909
Position 1323: 0.00021065770213634546
Position 700: 0.00019780664831474306
Position 547: 0.00018872346470425732
Position 148: 0.00013273028573056433
Position 443: 0.00011776878308656979
Position 1428: 0.00011683486721251252
Position 668: 9.168398573970118e-05
Position 752: 8.392146292332103e-05
Position 930: 7.976340327036923e-05
Position 750: 7.831875748908623e-05
Position 82: 4.852258673865955e-05
Position 748: 3.6684831970719886e-05
Position 746: 3.46087775901133e-05
Position 884: 3.153209018437924e-05
Position 1075: 3.0369335520147524e-05
Position 159: 3.0166196865757144e-05
Position 690: 2.55840370914823e-05
Position 770: 2.054221956685012e-05
Position 103: 1.5258470157537534e-05
Position 126: 1.2009412336695808e-05
Position 2072: 1.0052421600701939e-05
Position 537: 8.244515398039076e-06
Position 146: 7.94474577458683e-06
Position 887: 7.727355349502686e-06
Position 1350: 7.255752246883571e-06
Position 744: 6.756997630781703e-06
Position 427: 3.17355659625807e-06
Position 637: 3.1060337926949166e-06
Position 411: 2.922420079658826e-06
Position 337: 2.5654125907399165e-06
Position 331: 1.0309584688228555e-06
Position 708: 9.88876172275005e-07
Position 934: 8.879915463834349e-07
Position 659: 4.986973540435252e-07
Position 128: 4.7334097553098374e-07
Position 551: 4.2778628569777057e-07
Position 235: 3.741352636845866e-07
Position 229: 3.553044634157483e-07
Position 187: 2.960104352177302e-07
Position 220: 1.7810628531176474e-07
