Gene = Hpd
index = 1214
Annotated 5SS: [ 101  345  796 1508]
Annotated 3SS: [ 317  411  853 1571]
SMsplice 5SS: [ 345  796 1508]
SMsplice 3SS: [ 411  853 1571]
top_k =  500
Partition function (log Z): 2.4007481250096743

Sorted 5' Splice Sites (High to Low Probability):
Position 796: 0.9973906484720942
Position 1508: 0.9540559275796335
Position 345: 0.9486630184899847
Position 101: 0.11977880807182949
Position 270: 0.05706092969901811
Position 1268: 0.03880532417379217
Position 25: 0.00812433359425312
Position 359: 0.007928289732851451
Position 1033: 0.0062924756208074415
Position 141: 0.0038966216735010547
Position 133: 0.0031613302989881614
Position 1198: 0.0031499336145795046
Position 125: 0.0011923870107123295
Position 122: 0.0008638559223090175
Position 136: 0.0007432806303242694
Position 155: 0.0005447464097910681
Position 180: 0.0005079009982883365
Position 1066: 0.00039975583826096293
Position 1382: 0.0003666075616735025
Position 349: 0.0003582542657094866
Position 989: 0.000252479309248274
Position 800: 0.00024353531781860029
Position 892: 0.00020891583794440554
Position 209: 0.00019428338582949944
Position 86: 0.00014718086746938458
Position 772: 0.0001325190813019038
Position 92: 0.00012482272545338022
Position 1484: 0.00012218904601406935
Position 1142: 0.0001141348744336445
Position 1207: 7.388583802180341e-05
Position 58: 3.416691554993602e-05
Position 986: 2.458375103678855e-05
Position 457: 2.0538900513542328e-05
Position 1221: 1.506168735176053e-05
Position 1118: 1.256014241265476e-05
Position 1393: 1.0137324786204344e-05
Position 679: 8.151552856622994e-06
Position 377: 6.501947004934505e-06
Position 591: 3.855482447838598e-06
Position 656: 2.957488207843675e-06
Position 23: 2.4062392110836928e-06
Position 1224: 2.3370521254899483e-06
Position 1183: 1.5294040912532434e-06
Position 1202: 1.39485251414236e-06
Position 1546: 1.3349908167275935e-06
Position 804: 7.738239778175601e-07
Position 667: 5.832576519112853e-07
Position 1318: 5.044723267447431e-07
Position 1051: 4.2043779698972843e-07
Position 1070: 4.1473974598831116e-07
Position 658: 1.9258998055901434e-07
Position 1297: 1.6852940201405915e-07
Position 1111: 1.5829538133126612e-07
Position 733: 1.0779343648427248e-07
Position 1022: 3.123905010270038e-08
Position 938: 2.5940438066448074e-08
Position 925: 2.166203955326732e-08
Position 730: 7.45018760071286e-09
Position 853: 1.5090607449854092e-09
Position 565: 5.180572684280475e-10
Position 878: 2.4051355700896393e-10
Position 719: 2.337009408783702e-10
Position 583: 7.453794703489019e-13
Position 712: 5.297281231517227e-13
Position 595: 3.039816891609092e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 853: 0.9844376382766582
Position 411: 0.9682079487344456
Position 1571: 0.9596435950014666
Position 317: 0.13120089379328626
Position 1336: 0.03332777983468873
Position 246: 0.022947448164835214
Position 191: 0.01738798060474129
Position 1342: 0.00868722176540513
Position 922: 0.007301166926464626
Position 178: 0.003881343387034796
Position 525: 0.00258763529696079
Position 1084: 0.002308205406229811
Position 155: 0.0020451306775054958
Position 147: 0.0020055205809125128
Position 1438: 0.0012644382309501588
Position 269: 0.0011738124190846075
Position 1339: 0.0008016746531882015
Position 220: 0.0007009506230036692
Position 1327: 0.0006750319012410592
Position 1051: 0.000589728989292292
Position 967: 0.0004457341487143437
Position 1189: 0.00040864711056762753
Position 1012: 0.00040033679892398594
Position 1000: 0.00034704761341298605
Position 256: 0.00031204365573590315
Position 322: 0.00029364620650524926
Position 1363: 0.0002654954224355045
Position 1264: 0.0002034544388576743
Position 474: 0.0001950930835965309
Position 573: 0.00017945099561688396
Position 935: 0.00010610532184056295
Position 1393: 0.0001020743953121337
Position 1353: 8.706534131824108e-05
Position 1282: 8.185832120964226e-05
Position 336: 5.3774630105066794e-05
Position 92: 5.1478704939019956e-05
Position 579: 3.3557043916583997e-05
Position 1138: 3.0268880106086512e-05
Position 345: 2.7580621366760098e-05
Position 902: 2.623135066465401e-05
Position 1459: 2.443943105274299e-05
Position 1183: 2.412622388989836e-05
Position 1595: 2.4048012736289004e-05
Position 471: 2.0943000394354904e-05
Position 730: 1.5997976762280202e-05
Position 434: 1.4513035854559303e-05
Position 1180: 1.364416777264408e-05
Position 1450: 1.3108366634553914e-05
Position 829: 1.2394365339165853e-05
Position 1464: 1.1041754189123349e-05
Position 418: 1.0375418370334768e-05
Position 1540: 8.680886170544197e-06
Position 1484: 4.038901417181766e-06
Position 532: 4.004641417163048e-06
Position 180: 3.851002986213005e-06
Position 1195: 3.7632215120387928e-06
Position 1166: 3.622505912230718e-06
Position 684: 2.917510891836259e-06
Position 558: 1.4036269913588798e-06
Position 663: 1.1786901975321408e-06
Position 1626: 1.1772532775413031e-06
Position 357: 9.995965555079703e-07
Position 750: 9.071800536604604e-07
Position 1631: 5.948505074429452e-07
Position 1546: 5.07591301502636e-07
Position 375: 2.8166814115558755e-07
Position 1135: 1.6481994791452663e-07
Position 792: 1.5422336216473227e-07
Position 670: 1.4553650670484375e-07
Position 349: 1.3422910431789394e-07
Position 482: 3.957752819974743e-08
Position 1018: 9.132856504551737e-09
Position 109: 4.265745433605436e-09
Position 67: 2.9480341905067003e-09
Position 86: 1.1134687360480917e-09
Position 69: 3.277711967234592e-10
