Gene = Adhr
index = 13
Annotated 5SS: [  92  886 1356 2092 2923]
Annotated 3SS: [ 750  950 1425 2517 2973]
SMsplice 5SS: [  92  886 1356 2923]
SMsplice 3SS: [ 226  950 2517 2973]
top_k =  500
Partition function (log Z): 1.61379721403533

Sorted 5' Splice Sites (High to Low Probability):
Position 1356: 0.9971264469333937
Position 2923: 0.9874562048262228
Position 886: 0.7883314670055395
Position 92: 0.7330658101077903
Position 2092: 0.3028580698407764
Position 1696: 0.1341351989031904
Position 428: 0.10940095966256078
Position 2096: 0.0833698207277561
Position 633: 0.05070492470478061
Position 325: 0.030620513069542044
Position 2187: 0.029435900919583032
Position 672: 0.01433231514217236
Position 182: 0.0135059962604826
Position 1020: 0.011408768189165013
Position 172: 0.010909679567897535
Position 2068: 0.009009340146905343
Position 153: 0.005837343983273011
Position 2112: 0.005832018482413769
Position 926: 0.004825124512564603
Position 2462: 0.004227290283067293
Position 1512: 0.002885076334586321
Position 2417: 0.0024183841696084896
Position 1246: 0.0017699506471410896
Position 2813: 0.0017007597932501397
Position 627: 0.0014879013065222505
Position 1249: 0.0012542000266329938
Position 514: 0.0010629125795017728
Position 2706: 0.0008470817972876491
Position 2896: 0.0007905900070585633
Position 2915: 0.0004661867759126239
Position 2170: 0.00045862154033028744
Position 1135: 0.00040613564153193664
Position 1531: 0.000334527762873293
Position 391: 0.0003285265049451812
Position 25: 0.00028850319372438
Position 654: 0.00027090818109570033
Position 957: 0.0002227749650442751
Position 415: 0.00021662802219742615
Position 2656: 0.00020934995980889613
Position 609: 0.00017020411078962072
Position 96: 0.00014277886518910705
Position 193: 0.00013227979697612476
Position 2696: 0.0001300450274818972
Position 248: 0.00012246754847654022
Position 3127: 0.00011730841387920095
Position 56: 0.00011445744869462305
Position 329: 8.886654304096307e-05
Position 1741: 6.764247215378272e-05
Position 130: 6.650089920347979e-05
Position 1240: 5.3517186248208746e-05
Position 3207: 4.547239969745897e-05
Position 1732: 4.3280030945779914e-05
Position 541: 4.17788313116352e-05
Position 3246: 3.0927700827052035e-05
Position 1492: 2.7422810512776137e-05
Position 814: 1.972827421740081e-05
Position 295: 1.9419477656238566e-05
Position 1662: 1.732715705527336e-05
Position 370: 1.7022101562463992e-05
Position 35: 1.505997277968763e-05
Position 3225: 1.3987485830143864e-05
Position 3173: 1.0996438717532647e-05
Position 1519: 9.599826747151344e-06
Position 1360: 4.2305186443855235e-06
Position 1500: 2.4760417624592847e-06
Position 17: 8.562068795930049e-07
Position 845: 4.946861720740542e-07
Position 1998: 3.89442533303707e-07
Position 1299: 2.2225131398622634e-07
