Gene = mfr
index = 1789
Annotated 5SS: [ 794 1225 1407 1650 2148 3459 3684 4950 5148 5607 5853 6254 6413]
Annotated 3SS: [ 865 1282 1471 1698 2199 3511 3736 5010 5424 5731 5962 6311 6476]
SMsplice 5SS: [ 348  794 1225 1650 2148 3459 3684 4950 5148 5607 5883 6254 6413]
SMsplice 3SS: [ 460  865 1282 1698 2199 3511 3736 5010 5424 5731 5962 6311 6528]
top_k =  500
Partition function (log Z): 15.738995170052334

Sorted 5' Splice Sites (High to Low Probability):
Position 6254: 0.9819282935123163
Position 1225: 0.9414226498641156
Position 3684: 0.9274118777796592
Position 794: 0.9267439105873111
Position 5148: 0.9066701763094208
Position 4950: 0.8960410001144903
Position 5607: 0.8471939552064728
Position 3459: 0.8371669663676145
Position 1650: 0.7454109808419074
Position 6413: 0.7256058576792415
Position 2148: 0.6239210741874501
Position 5883: 0.5951992372441296
Position 348: 0.575561261515283
Position 5853: 0.3842911360102971
Position 1407: 0.27921216897661577
Position 4772: 0.15550752040535587
Position 4461: 0.14296584533798506
Position 5518: 0.09624595689188623
Position 291: 0.08702929687160532
Position 282: 0.08129481149364191
Position 4481: 0.07280812753355512
Position 5167: 0.04804965783765887
Position 1196: 0.041625863004407126
Position 1386: 0.03872070949992193
Position 359: 0.037541383942291826
Position 3923: 0.036241410700178674
Position 715: 0.030869777933111037
Position 199: 0.027078808340083867
Position 248: 0.02607142584919949
Position 3468: 0.022062633673659297
Position 362: 0.020114272671470815
Position 295: 0.018837386941497523
Position 6132: 0.01571111693140791
Position 1318: 0.014690854222448825
Position 2105: 0.014684172542631005
Position 3194: 0.013527984008711
Position 6103: 0.013398413355275645
Position 2594: 0.012879521914580168
Position 3705: 0.010725035393296545
Position 1846: 0.010639419196462697
Position 4270: 0.009730624659152438
Position 4533: 0.008390873834313648
Position 796: 0.00681265662728975
Position 93: 0.006765508635201373
Position 2113: 0.006133619102668398
Position 2602: 0.005314220707718334
Position 4274: 0.005176842495049561
Position 415: 0.004307248790887573
Position 5877: 0.004179673494529159
Position 6112: 0.004098566973142435
Position 1930: 0.0038122846455780597
Position 5301: 0.00352694032044207
Position 1351: 0.0033197993046728005
Position 1391: 0.002740599969949318
Position 5735: 0.002386062437856467
Position 5171: 0.0022964082386118623
Position 6210: 0.001742063198194714
Position 3571: 0.0016868795381986483
Position 692: 0.0016308661283443678
Position 2914: 0.001624387469502355
Position 5688: 0.001551226190607066
Position 5619: 0.001434668590829998
Position 2136: 0.0012059917613414404
Position 4893: 0.0011910463678557006
Position 965: 0.001189633347984607
Position 2278: 0.001151381899635626
Position 6260: 0.0010716006872704574
Position 184: 0.0010693081579652773
Position 6035: 0.000950828198178528
Position 719: 0.0007878516014256595
Position 888: 0.0007227462213567808
Position 3681: 0.0006721027765741225
Position 5599: 0.0006353960653530637
