Gene = mthl15
index = 1804
Annotated 5SS: [1391 1943 2287 2591 2833 3290]
Annotated 3SS: [1769 2030 2511 2653 2902 3366]
SMsplice 5SS: [1391 1943 2591 2833 3290]
SMsplice 3SS: [1769 2025 2653 2902 3366]
top_k =  500
Partition function (log Z): 10.563011869211994

Sorted 5' Splice Sites (High to Low Probability):
Position 2591: 0.9962164038606794
Position 2833: 0.9943380350693698
Position 1943: 0.9920020005809377
Position 3290: 0.9327535352711979
Position 1391: 0.4517100607477164
Position 1210: 0.41159429099779565
Position 3478: 0.38049800700634634
Position 2287: 0.229686397433983
Position 2307: 0.1731547444535747
Position 779: 0.12923956441551476
Position 2438: 0.06869096100427427
Position 655: 0.05335999321295696
Position 343: 0.030122443870821376
Position 770: 0.025903196884461188
Position 395: 0.02179470258606684
Position 1277: 0.017004049457386837
Position 3519: 0.01602772465479326
Position 156: 0.01589671354734587
Position 3535: 0.015271542227673218
Position 764: 0.014213730716720125
Position 132: 0.013302204419435006
Position 3010: 0.013237200088455693
Position 1184: 0.012742065666828813
Position 3654: 0.009213878122217111
Position 352: 0.009023646159733157
Position 449: 0.008875702565742077
Position 1562: 0.008630675988428909
Position 2348: 0.00843950788658061
Position 1284: 0.007802497189256534
Position 359: 0.006549650268877774
Position 1699: 0.005842022535207124
Position 2291: 0.004920158508408789
Position 892: 0.0045507552977121085
Position 1925: 0.004331750290775448
Position 316: 0.003974322190644766
Position 2793: 0.003747639693799765
Position 2145: 0.003421459408367645
Position 2468: 0.003314345374021711
Position 3320: 0.0033102272162785127
Position 350: 0.0031172084352745124
Position 1462: 0.003020181534232035
Position 1732: 0.0026648929220357337
Position 2406: 0.00248385672639762
Position 488: 0.001955529210655067
Position 758: 0.0018816956636528849
Position 31: 0.001845243841008917
Position 3121: 0.0017796660941631034
Position 212: 0.0016773186347678732
Position 2420: 0.0016521502555423304
Position 1426: 0.0015958835666803057
Position 3151: 0.0013615028976020826
Position 38: 0.0012202730478641367
Position 741: 0.001189340606093629
Position 1203: 0.0009473261916686529
Position 1687: 0.0009394931488945005
Position 465: 0.0009235392905251715
Position 1981: 0.0008932667864593415
Position 1627: 0.0008439956415503666
Position 851: 0.0007950310377091179
Position 441: 0.0007930776649038314
Position 186: 0.000783378547771405
Position 18: 0.0007575514732736365
Position 154: 0.0006588328371564833
Position 311: 0.0005212116074583535
Position 87: 0.0005210639292380779
Position 632: 0.00047476869440019867
Position 606: 0.00045364906170265414
Position 55: 0.0004374619131855466
Position 2595: 0.000418701556143383
Position 3497: 0.00041810949708524184
Position 3114: 0.0004147441363887896
Position 2997: 0.00037735995595695646
Position 881: 0.0003699866612740724
Position 73: 0.0003675429992526542
Position 117: 0.00032651095392579547
Position 883: 0.0003132037459635885
Position 3214: 0.0002933091490974987
Position 115: 0.0002863868088658792
Position 2430: 0.000256284251533199
Position 1220: 0.0002540709098792067
Position 1478: 0.00025212069250173433
Position 900: 0.00024465815094142356
Position 1481: 0.00023878212572127052
Position 3568: 0.00022987126478073223
Position 320: 0.0002272005656570444
Position 925: 0.00021026809210942564
Position 493: 0.00020551330228405732
Position 1776: 0.00019599612502555673
Position 970: 0.00019500019300229042
Position 53: 0.00018196373292375464
Position 3285: 0.00015163598097201107
Position 1072: 0.0001422485448093979
Position 247: 0.00013640387967745588
Position 2837: 0.0001316678467536448
Position 1559: 0.00012609076940858348
Position 2093: 0.00012249353823208886
Position 3294: 0.00011727761228407074
Position 3116: 0.000112571539184001
Position 237: 0.00011206825426361372
Position 2415: 9.861117715094625e-05
Position 3482: 9.235474322099719e-05
Position 873: 8.302197427940316e-05
Position 495: 7.561794133381551e-05
Position 245: 7.408103926062766e-05
Position 1056: 6.901813843045926e-05
Position 1346: 6.13448253629756e-05
Position 241: 6.0999255121960704e-05
Position 3207: 6.004366675110147e-05
Position 2202: 5.882526462416921e-05
Position 2825: 5.8489859846359216e-05
Position 2314: 5.8386981698792e-05
Position 2061: 5.757316607389819e-05
Position 1214: 5.704815865810576e-05
Position 833: 4.868582681424565e-05
Position 2974: 4.371919357595103e-05
Position 868: 4.245580588434474e-05
Position 2831: 3.287237357120108e-05
Position 1991: 3.0580059348955704e-05
Position 2708: 1.9829140310902836e-05
Position 2815: 1.910718873142648e-05
Position 3595: 1.3924039080980115e-05
Position 3183: 1.1646119943080892e-05
Position 3247: 1.0698390767845536e-05
Position 1909: 1.0619065635530822e-05
Position 2512: 8.4359651343203e-06
Position 3141: 7.781991862931276e-06
Position 3340: 7.209044261217516e-06
Position 2915: 5.3360711208328145e-06
Position 2064: 4.9936178962763424e-06
Position 227: 4.206361500651815e-06
Position 3249: 3.882520146486002e-06
Position 2983: 3.644683649437104e-06
Position 2818: 3.089161567471203e-06
Position 2874: 2.984761893984611e-06
Position 3162: 2.2941133678978444e-06
Position 3279: 1.9975017030064924e-06
Position 2699: 1.5509214890183694e-06
Position 71: 1.2226768418100378e-06
Position 3367: 1.2132738120102205e-06
Position 3058: 9.294054357774551e-07
Position 29: 7.523253693049848e-07
Position 2522: 6.201241335391951e-07
Position 1804: 4.494788760205708e-07
