Gene = Fitm
index = 1170
Annotated 5SS: [191 869]
Annotated 3SS: [264 927]
SMsplice 5SS: [191 869]
SMsplice 3SS: [264 927]
top_k =  500
Partition function (log Z): -3.4886796979002

Sorted 5' Splice Sites (High to Low Probability):
Position 191: 0.9745012898661202
Position 869: 0.8978407639704828
Position 873: 0.016738881077694404
Position 562: 0.016654827488541177
Position 195: 0.015104216890628677
Position 570: 0.004929813682839782
Position 377: 0.004116985744424762
Position 447: 0.002817077532061653
Position 1908: 0.002806293226669873
Position 1731: 0.0016408323780203351
Position 1736: 0.0014828429067710086
Position 581: 0.0013577589659557094
Position 1254: 0.00131589126717245
Position 1293: 0.001267088003780821
Position 888: 0.0007192290119498019
Position 353: 0.000645550735264954
Position 585: 0.0005854492125486215
Position 505: 0.0005610220380325551
Position 598: 0.00042738206210884625
Position 1250: 0.00026480332905390823
Position 1325: 0.0002143722610892768
Position 525: 0.00017266923528267447
Position 362: 0.00014742638071936698
Position 514: 0.00011237954833047199
Position 109: 0.00011197117275644995
Position 1268: 0.00011070264182815075
Position 58: 7.704990301022061e-05
Position 1175: 4.872201443722218e-05
Position 1238: 4.2501577478025893e-05
Position 1346: 4.2453499440378447e-05
Position 179: 3.927842106105927e-05
Position 741: 3.780696524887988e-05
Position 302: 3.4522162863908116e-05
Position 706: 3.1858280379619043e-05
Position 1360: 3.002733039880254e-05
Position 1686: 2.9409478381137596e-05
Position 807: 2.9190544062458402e-05
Position 832: 2.5110639287826257e-05
Position 928: 2.170095535218209e-05
Position 404: 2.0580714638485713e-05
Position 1681: 1.84784860886572e-05
Position 718: 1.6604031864039946e-05
Position 210: 1.4762172310667013e-05
Position 589: 1.0992087512083149e-05
Position 1912: 1.0905687326572845e-05
Position 961: 1.0726580606962672e-05
Position 1453: 7.697760494311238e-06
Position 389: 7.546723277013458e-06
Position 1042: 6.325301496042339e-06
Position 199: 2.9413059270594216e-06
Position 630: 2.6919782723480757e-06
Position 7: 2.490662521730175e-06
Position 703: 1.7727118149033488e-06
Position 151: 1.3609287695818477e-06
Position 113: 1.06780145448506e-06
Position 184: 7.14413313423796e-07
Position 613: 3.467926041378605e-07
Position 14: 2.636903480136645e-07
Position 294: 8.794991652085834e-08
Position 33: 7.268220997077474e-08
Position 949: 3.447443583684008e-08
Position 886: 3.4463031753795745e-08
Position 835: 3.3998438148781e-08
Position 916: 5.645761206887504e-09
Position 914: 3.889848241445848e-09
Position 968: 3.3114908469635986e-09
Position 825: 2.0729054432587198e-09
Position 670: 1.6367611145029459e-09
Position 1023: 1.2475505457372635e-09
Position 787: 6.05736553392096e-10
Position 663: 5.024738488970806e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 264: 0.9571472831366623
Position 927: 0.8775180020386711
Position 627: 0.03597913161731013
Position 1018: 0.03149615840369363
Position 422: 0.02145725905992227
Position 956: 0.00625976846229441
Position 1775: 0.003911382597815618
Position 1964: 0.002136877705081401
Position 1810: 0.0015147859298018642
Position 282: 0.001333450958037575
Position 1430: 0.0012377609326274745
Position 663: 0.0012012073047539995
Position 581: 0.0008221827433497885
Position 1970: 0.000797949447541694
Position 1817: 0.0007975888603654698
Position 328: 0.0005752868167555238
Position 675: 0.0005254190842100419
Position 302: 0.00045432038196176286
Position 1814: 0.00043560696347921346
Position 793: 0.00034243649175934695
Position 1483: 0.00016689577762030183
Position 1622: 0.0001539839997696879
Position 1625: 0.0001494698715915346
Position 946: 0.00012746967404760588
Position 565: 0.0001137802539750272
Position 294: 0.00010530913444272463
Position 1232: 6.94214456712901e-05
Position 974: 6.88495906449097e-05
Position 1102: 6.522886986569578e-05
Position 534: 6.127497601954058e-05
Position 446: 4.525654053439596e-05
Position 109: 4.34187890037905e-05
Position 1396: 3.496032786316673e-05
Position 488: 2.9840021776677476e-05
Position 430: 1.9579351497393898e-05
Position 822: 1.6179650079250652e-05
Position 1292: 1.554683614353399e-05
Position 151: 8.313465952073468e-06
Position 334: 7.904164138733918e-06
Position 1169: 7.54843904254594e-06
Position 322: 5.904387433154339e-06
Position 1070: 5.4000669875455485e-06
Position 562: 2.6122913769539798e-06
Position 122: 1.9705193325245983e-06
Position 190: 1.8269027195765663e-06
Position 78: 1.36929330028647e-06
Position 531: 8.733619431352059e-07
Position 348: 6.72986209107091e-07
Position 867: 6.079712112474484e-07
Position 135: 1.8909211529191506e-07
Position 454: 1.8182351561584355e-07
Position 99: 5.377232095983236e-09
Position 389: 3.930643894675514e-11
Position 195: 3.20492981533186e-11
