Gene = dsx-c73A
index = 1679
Annotated 5SS: [ 1812 25192 25382 27791]
Annotated 3SS: [25042 25302 27639 27858]
SMsplice 5SS: [ 1812 18024 25192 25382 27791]
SMsplice 3SS: [17822 25042 25256 27639 27858]
top_k =  500
Partition function (log Z): -1.8194291270766647

Sorted 5' Splice Sites (High to Low Probability):
Position 27791: 0.9999990016200764
Position 1812: 0.9892495170587107
Position 18024: 0.4423335824015311
Position 450: 0.4080755361003393
Position 13055: 0.3242740605616189
Position 13499: 0.19029312454186428
Position 228: 0.17437426379299434
Position 13297: 0.1650586287200435
Position 147: 0.15665962066350514
Position 28026: 0.13216913757391455
Position 17932: 0.12102082142246107
Position 18043: 0.11438795764709908
Position 1308: 0.09151267519314829
Position 5742: 0.02616473353425684
Position 6448: 0.01862662996520569
Position 206: 0.0171631006114814
Position 28702: 0.013679933728783266
Position 6753: 0.011723559096563656
Position 27980: 0.011362779588648918
Position 114: 0.010836865297138152
Position 108: 0.010408099114090144
Position 577: 0.010230822610406224
Position 6010: 0.009048841365376462
Position 28718: 0.008811213942115623
Position 523: 0.0085810515952172
Position 110: 0.007848612059606262
Position 1291: 0.005766801412600087
Position 27926: 0.005499049117825349
Position 28147: 0.004346376837153579
Position 28740: 0.0036885396799824894
Position 28730: 0.0035994828258586946
Position 5544: 0.0035905371506530876
Position 2121: 0.0031561428530448295
Position 5103: 0.0030903056986276776
Position 7946: 0.00250082410016301
Position 399: 0.002418759798527339
Position 27948: 0.002323608076754765
Position 28014: 0.0022506240939157234
Position 28180: 0.0019888162553409693
Position 28735: 0.0013697589977892447
Position 996: 0.0012204138089319503
Position 6001: 0.0011748122892002435
Position 118: 0.001156821838709596
Position 126: 0.0010828889516301086
Position 736: 0.0010610272020691106
Position 395: 0.0009620674025979655
Position 1480: 0.0008349822015884531
Position 28144: 0.0008193868244022422
Position 28707: 0.0008057010836490894
Position 348: 0.0006927178687462232
Position 21: 0.0006662630777200289
Position 6454: 0.000611934215651884
Position 28182: 0.0006011090799615972
Position 1458: 0.000570285206411821
Position 28723: 0.000478172465658432
Position 454: 0.0004362480676090786
Position 5167: 0.00032189818274971715
Position 739: 0.00031861385301634943
Position 6425: 0.000273486777855577
Position 1195: 0.00026114330109718297
Position 973: 0.00023752454922514624
Position 141: 0.0002264278424716584
Position 1063: 0.00022430257502123674
Position 4552: 0.00021925447254624118
Position 2692: 0.00021415497292526936
Position 4107: 0.00019789275643682458
Position 6433: 0.00019511491954948251
Position 28151: 0.00018613893730992737
Position 561: 0.00016610246500460427
Position 1477: 0.0001495981048193125
Position 28066: 0.00013497528950999607
Position 353: 0.00012280607378679494
Position 3860: 0.00010792406769783243
Position 11: 0.0001038717490194348
Position 286: 0.00010374845306515326
Position 173: 0.00010063616016194428
Position 4411: 9.458567357248986e-05
Position 4388: 9.121935894972598e-05
Position 28157: 7.845825932532058e-05
Position 1957: 4.645774841779216e-05
Position 5595: 3.789617812756573e-05
Position 2492: 3.661096469941122e-05
Position 2366: 2.2961818567012288e-05
Position 4432: 1.6070309142155458e-05
Position 2341: 1.4958136258797717e-05
Position 219: 1.0089179168030553e-05
Position 2508: 9.251641951113303e-06
Position 1704: 1.1037507859398123e-06
Position 589: 4.272080677252692e-07
Position 112: 3.669104790308301e-07
Position 124: 3.2491678841075584e-07
Position 28: 3.1908111797925145e-07
Position 1895: 3.016826457314245e-07
Position 151: 2.7581859157014853e-07
Position 599: 2.1935906518784742e-07
Position 55: 4.9561203988440034e-08
Position 70: 4.874031847962425e-08
Position 57: 1.85832591164415e-08
Position 39: 1.4452324605254875e-08
Position 358: 1.1268733444877287e-08
Position 436: 4.340642604472924e-09
Position 339: 4.7606568067048e-10
Position 438: 2.172414935632617e-10
Position 336: 1.4652957982387645e-10
Position 1327: 1.3149857014996022e-10
Position 376: 8.92298934147233e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 27639: 0.9999990016200762
Position 27858: 0.9996989880672205
Position 17822: 0.6777423617252074
Position 1580: 0.5324241864348496
Position 13109: 0.35535175326371765
Position 12896: 0.3242740605616189
Position 28243: 0.1257100075398214
Position 1599: 0.11208948369758516
Position 1602: 0.06278597849565967
Position 1635: 0.061337685527568395
Position 286: 0.03687678888020167
Position 28781: 0.035719854096216364
Position 1605: 0.03218853002956198
Position 4959: 0.026054980315579325
Position 6074: 0.019527028945716295
Position 518: 0.01610853391094577
Position 597: 0.012063862456512187
Position 5884: 0.011613376821903615
Position 28075: 0.009442618810267828
Position 1110: 0.00828459336319776
Position 28941: 0.006710029278137825
Position 1536: 0.006389941793120537
Position 28217: 0.005443257868203824
Position 646: 0.005126339009171142
Position 6101: 0.0049309644878606194
Position 1632: 0.004439187381222061
Position 5548: 0.003974113671082064
Position 5602: 0.0037275552561081
Position 28807: 0.0035916184799508187
Position 783: 0.0028477064572760813
Position 6495: 0.002463497914565322
Position 1556: 0.0023686400090729134
Position 28994: 0.002220385093122542
