Gene = BtbVII
index = 56
Annotated 5SS: [  42 1508 2197 2527 2727 8496]
Annotated 3SS: [ 981 1568 2281 2617 7311 8553]
SMsplice 5SS: [1508 2197 2527 2727 8496]
SMsplice 3SS: [1568 2281 2617 7311 8553]
top_k =  500
Partition function (log Z): 9.316508434464549

Sorted 5' Splice Sites (High to Low Probability):
Position 8496: 0.9994003673135469
Position 1508: 0.9983538554147274
Position 2727: 0.9855582269201467
Position 2197: 0.9560379652803976
Position 6098: 0.6185846011821868
Position 2527: 0.48650790982184705
Position 42: 0.19594666761933485
Position 5103: 0.09061289146082536
Position 5371: 0.08147865719275926
Position 924: 0.06789501375042446
Position 8865: 0.06400026636017697
Position 515: 0.05895127696414731
Position 5142: 0.04931228561250784
Position 7447: 0.045386683670474
Position 4799: 0.03983399813383716
Position 2212: 0.036560569885013744
Position 4372: 0.03294317573887374
Position 702: 0.02764102398934205
Position 722: 0.02350661811715867
Position 743: 0.016091944057463767
Position 2553: 0.016086382787805678
Position 749: 0.01507460801428874
Position 6115: 0.014453068018314162
Position 1671: 0.013766860210249816
Position 747: 0.013469820686364709
Position 745: 0.013194905802636419
Position 2544: 0.010758213277562604
Position 585: 0.009900324933965785
Position 35: 0.009359243830633673
Position 910: 0.008756524671973027
Position 8203: 0.0087043836583348
Position 7512: 0.008627905660552547
Position 741: 0.008438290275877171
Position 3745: 0.007554000783033612
Position 123: 0.007460838733817497
Position 523: 0.007426796835017849
Position 2789: 0.00727906721243684
Position 6559: 0.006601335197029125
Position 511: 0.005568771296387012
Position 8903: 0.005384733050129161
Position 834: 0.004621028266943424
Position 1115: 0.004590876495174301
Position 2809: 0.00458926714663286
Position 555: 0.003669391486703772
Position 3758: 0.0035847258574455113
Position 922: 0.003432017399918589
Position 488: 0.0033357627713690445
Position 907: 0.00331637662159722
Position 276: 0.0032628911660426483
Position 102: 0.003113174992908829
Position 623: 0.0030520247436043014
Position 4385: 0.002823471797519989
Position 4834: 0.0027996271467087153
Position 9001: 0.002621369204395678
Position 4327: 0.002477797115660185
Position 4306: 0.002229956088585538
Position 3019: 0.002045457661384885
Position 1283: 0.0019378177821601193
Position 1625: 0.0015869666264358546
