Gene = Strip
index = 1528
Annotated 5SS: [ 173 4172 5962]
Annotated 3SS: [3269 4234 6028]
SMsplice 5SS: [ 173 4172]
SMsplice 3SS: [3269 4234]
top_k =  500
Partition function (log Z): -6.1355570837199735

Sorted 5' Splice Sites (High to Low Probability):
Position 4172: 0.9398613826612633
Position 173: 0.9342430843728049
Position 5962: 0.39408985576043876
Position 4509: 0.3689921994579689
Position 2985: 0.04333812890366116
Position 6385: 0.03926234244920571
Position 240: 0.033749376122674646
Position 211: 0.028140959587195525
Position 2932: 0.02748058749858123
Position 4053: 0.022185649215821338
Position 2715: 0.016115849188327584
Position 5152: 0.011166713164030746
Position 2960: 0.009678191724844978
Position 6404: 0.009405051600271387
Position 5346: 0.009349971497041858
Position 5463: 0.008529561639360967
Position 1045: 0.006913449809166601
Position 5369: 0.006663952080365713
Position 2138: 0.005889383963992637
Position 4473: 0.005783320202661547
Position 4749: 0.005535012793405849
Position 4950: 0.004702365900516692
Position 6392: 0.0038026624738885582
Position 251: 0.0034071619931674802
Position 6076: 0.003389677847471657
Position 6007: 0.0031303718500709475
Position 6481: 0.0029907406880868327
Position 5096: 0.0026579376831116844
Position 1605: 0.0024276107885597745
Position 1991: 0.00193362107578691
Position 4565: 0.0018385023286194714
Position 1723: 0.0017237706827702218
Position 4649: 0.0016845969243161707
Position 4930: 0.001484524180471903
Position 4306: 0.0013707706748281715
Position 5839: 0.0013356709994374204
Position 1028: 0.0011863250748571626
Position 6082: 0.001163424530022804
Position 1126: 0.0011566567265182102
Position 2151: 0.001028894168845501
Position 6252: 0.0010233746740852738
Position 3320: 0.0008879370609932616
Position 5402: 0.000649859050656299
Position 2744: 0.0006088699783010354
Position 299: 0.0002421679613097483
Position 4367: 0.00021508371680272145
Position 579: 6.84949788651657e-05
Position 4579: 5.82781196396969e-05
Position 4556: 4.360691181156384e-05
Position 2558: 3.774126223345356e-05
Position 863: 3.413662487545676e-05
Position 1784: 3.372796659827907e-05
Position 3966: 2.4867462233417155e-05
Position 5770: 2.1376527169010014e-05
Position 850: 1.9617335968885232e-05
Position 944: 1.5877139165550063e-05
Position 793: 1.3642941208955593e-05
Position 1034: 1.0231723204972524e-05
Position 283: 6.478649250824822e-06
Position 2147: 4.939183069984513e-06
Position 839: 4.024754114554731e-06
Position 4668: 2.914642586806942e-06
Position 526: 2.896357268661063e-06
Position 629: 2.6490822099671773e-06
Position 4532: 1.8697740636050538e-06
Position 853: 1.7618364394219767e-06
