Gene = ND-B14.5B
index = 1299
Annotated 5SS: [321 544]
Annotated 3SS: [399 598]
SMsplice 5SS: [321 544]
SMsplice 3SS: [399 598]
top_k =  500
Partition function (log Z): 2.8249102765275116

Sorted 5' Splice Sites (High to Low Probability):
Position 544: 0.998286469787841
Position 321: 0.9593665136410168
Position 303: 0.038140813472791794
Position 10: 0.0011931091665139549
Position 126: 0.0011776685454852197
Position 710: 0.0005556946314738018
Position 349: 0.00035969080378350765
Position 8: 0.0003086737148800647
Position 537: 0.00023233835358680004
Position 344: 0.0002025417851893298
Position 686: 0.0001867076855582475
Position 817: 0.00014665272987201097
Position 823: 0.00013865558155980946
Position 689: 6.286886849265763e-05
Position 548: 6.162042785712416e-05
Position 759: 4.319866083231566e-05
Position 258: 2.6289239932191077e-05
Position 311: 2.2025198722980644e-05
Position 629: 2.047051543266669e-05
Position 14: 1.7571099513674467e-05
Position 640: 1.4259563929867215e-05
Position 146: 1.1251350682247638e-05
Position 269: 1.0531252980249384e-05
Position 649: 9.378999835855448e-06
Position 634: 7.3968450395552365e-06
Position 325: 5.17564509693969e-06
Position 70: 5.036449882270395e-06
Position 45: 3.817801894641244e-06
Position 130: 2.147331750143198e-06
Position 109: 1.6838511722609247e-06
Position 75: 1.1010794968924628e-06
Position 100: 9.674042473147794e-07
Position 619: 5.733798915865911e-07
Position 668: 4.0246726907899834e-07
Position 473: 3.939227651374402e-07
Position 313: 3.9155142956700664e-07
Position 665: 3.609766692527076e-07
Position 495: 1.565396617722462e-07
Position 173: 1.108899587873494e-07
Position 168: 7.89743230907725e-08
Position 58: 3.5923146078363065e-08
Position 391: 8.013027714499536e-09
Position 358: 7.817914140924903e-09
Position 435: 3.9985687725474486e-09
Position 260: 2.023573883586836e-09
Position 582: 1.5721941794190307e-09
Position 364: 1.0801920534749103e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.9978280060132508
Position 399: 0.9968199646819974
Position 70: 0.0012117219409174716
Position 407: 0.0010648510834658225
Position 205: 0.0009744711811806471
Position 774: 0.0006784335978976186
Position 802: 0.0006546134328288539
Position 873: 0.00048544871790889935
Position 93: 0.0002416251794808094
Position 444: 0.00017109670865013662
Position 410: 0.00016206793465750025
Position 606: 0.00010128352424433903
Position 464: 6.311929161479231e-05
Position 168: 3.821463786144875e-05
Position 75: 2.8901528837265757e-05
Position 461: 2.8889684487530204e-05
Position 130: 2.355672674291321e-05
Position 847: 2.090122992229725e-05
Position 736: 9.193662112493525e-06
Position 619: 5.643469520791612e-06
Position 487: 4.4811443195045366e-06
Position 701: 4.342767280987576e-06
Position 542: 1.4254921380563478e-06
Position 109: 1.2863518166382012e-06
Position 689: 7.54425629802189e-07
Position 640: 1.756970184868742e-07
Position 426: 1.0836625048869496e-07
Position 649: 8.020154690100214e-08
Position 447: 6.051265983935777e-08
Position 307: 5.957158663115506e-08
Position 627: 4.194814772391405e-08
Position 686: 1.0144496242418072e-08
Position 325: 9.586683019261898e-09
Position 629: 3.316035223961462e-09
Position 548: 2.494094322588644e-09
Position 473: 2.0024328900068217e-09
Position 466: 6.455590905191942e-10
Position 98: 4.681594700455898e-10
Position 217: 1.715574442080953e-10
Position 100: 1.7441680000453252e-12
