Gene = Sec61alpha
index = 1480
Annotated 5SS: [ 252  542 2605]
Annotated 3SS: [ 473 1512 2677]
SMsplice 5SS: [ 252  542 2605]
SMsplice 3SS: [ 473 1512 2677]
top_k =  500
Partition function (log Z): 2.2086508432450676

Sorted 5' Splice Sites (High to Low Probability):
Position 2605: 0.9976402114207118
Position 542: 0.815543085464726
Position 252: 0.5989834368315898
Position 1337: 0.09317993682143452
Position 2841: 0.08634842695126355
Position 1290: 0.07650223369647241
Position 2116: 0.06790014921513739
Position 2340: 0.06511739714227363
Position 1741: 0.054679765329825436
Position 161: 0.052750754173108316
Position 1658: 0.037689626023342915
Position 2402: 0.02477938971539431
Position 556: 0.01993601445989307
Position 3074: 0.015488435642050154
Position 2262: 0.012593486727620893
Position 1676: 0.01172791931478087
Position 1198: 0.005411501573456494
Position 1845: 0.005347668539798324
Position 399: 0.0049568522794824505
Position 1655: 0.0035660509210123513
Position 2847: 0.0035133892739809807
Position 1913: 0.002934356322561203
Position 1745: 0.002223313184210343
Position 780: 0.0021090647030121033
Position 124: 0.0020283102976251005
Position 1388: 0.001752480619617094
Position 256: 0.0016275741283483722
Position 3080: 0.0011011266277304724
Position 566: 0.0010163248224374726
Position 546: 0.000902923527537437
Position 1306: 0.0006251828037376596
Position 1177: 0.0006074733197325904
Position 363: 0.0005585341807450993
Position 48: 0.0005107213624105999
Position 2609: 0.0004879407997421445
Position 1294: 0.0004512737368008443
Position 3087: 0.00045068926414514125
Position 609: 0.0004414848812379334
Position 438: 0.00042766615273553407
Position 1233: 0.00041806859252529316
Position 1592: 0.0003864737516433702
Position 383: 0.0003625076805953219
Position 575: 0.00034251958625741724
Position 106: 0.00031148963145452064
Position 657: 0.0002612990985083859
Position 1266: 0.00024582073663614813
Position 507: 0.00020925423233925423
Position 303: 0.00019642640586214536
Position 37: 0.00019536553589023748
Position 115: 0.0001940196170981849
Position 235: 0.00018634476306281583
Position 2622: 0.00017787721251851072
Position 154: 0.00012183638686803071
Position 295: 0.00010467001856834505
Position 394: 9.775673741164615e-05
Position 743: 9.563978899218304e-05
Position 142: 9.47111109406219e-05
Position 189: 8.964973853188876e-05
Position 2803: 8.590331685735685e-05
Position 2611: 7.500111216469857e-05
Position 98: 6.185608417826115e-05
Position 176: 6.0983185344361084e-05
Position 577: 5.8832667454611344e-05
Position 2456: 5.719241200549378e-05
Position 182: 5.676608883362992e-05
Position 60: 5.240709753185994e-05
Position 309: 4.611382683599182e-05
Position 3191: 4.160825207982898e-05
Position 311: 3.953011419007084e-05
Position 316: 3.2389206220130955e-05
Position 89: 2.5875322413797807e-05
Position 95: 2.14140841403389e-05
Position 149: 1.7721856526536307e-05
Position 923: 1.5741567734100103e-05
Position 838: 1.3904565330758888e-05
Position 2781: 1.2866511320748981e-05
Position 397: 1.2369534603851245e-05
Position 3055: 1.1912861887285887e-05
Position 614: 1.1211045121411004e-05
Position 2054: 9.030347096320991e-06
Position 937: 9.01003812303626e-06
Position 1168: 6.5469511062225355e-06
Position 262: 5.6498067130924475e-06
Position 214: 5.58755478912703e-06
Position 17: 5.531886993440233e-06
Position 721: 5.4481691461822776e-06
Position 783: 4.690005598812613e-06
Position 3331: 4.180162282824382e-06
Position 450: 4.128855202477779e-06
Position 764: 2.7849966916322245e-06
Position 836: 2.0396902162093186e-06
Position 544: 1.990902972053099e-06
Position 19: 1.0444338153185164e-06
Position 11: 8.48913429910808e-07
Position 26: 4.904668256751772e-07
Position 2807: 4.113031175137137e-07
Position 1801: 3.0423617226967175e-07
Position 1778: 2.7609485471291387e-07
Position 1814: 2.708044660184801e-07
Position 29: 2.6948636783358886e-07
Position 1634: 2.17619628657791e-07
Position 478: 2.1524577086601533e-07
Position 2319: 1.4543974425736861e-07
Position 2074: 1.1204668603008579e-07
Position 2453: 8.63940374669138e-08
Position 1831: 8.38795160188621e-08
Position 1690: 6.932601142763155e-08
Position 1567: 6.88090647990658e-08
Position 347: 5.903775208245046e-08
Position 2905: 5.662050037843746e-08
Position 2708: 5.2709583077722204e-08
Position 1857: 3.7063317071518576e-08
Position 2784: 2.9153380673940866e-08
Position 2061: 1.7446520057160695e-08
Position 2011: 1.3485108325608841e-08
Position 1876: 1.1276804497375172e-08
Position 1921: 1.115472387759409e-08
Position 2854: 9.72422494214603e-09
Position 1636: 8.379905388206945e-09
Position 602: 5.003522521897049e-09
Position 3133: 1.6690378770301797e-11
Position 488: 1.1203146792401653e-11
Position 584: 8.444377002213353e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2677: 0.9998239607149639
Position 1512: 0.9505818899318692
Position 473: 0.5263138863372355
Position 2482: 0.21679287266052572
Position 2899: 0.06710988597946925
Position 2319: 0.06628405061283056
Position 1081: 0.03747171703236365
Position 1197: 0.028809649961324398
Position 696: 0.026006617354492407
Position 994: 0.024977331437463657
Position 1713: 0.024185260070024986
Position 214: 0.02031751452897018
Position 3128: 0.018426211351677046
Position 2902: 0.01177459244895897
Position 2355: 0.010883209705879023
Position 903: 0.004935149542253165
Position 1523: 0.0044532288648393694
Position 2905: 0.0040659925426205215
Position 507: 0.0034645233725535307
Position 1818: 0.0034047310946829297
Position 316: 0.002766646577483939
Position 937: 0.0026891568566150795
Position 221: 0.002299436136532321
Position 375: 0.0020503466194876116
Position 3131: 0.001921041922412811
Position 185: 0.0016472299796860602
Position 2105: 0.0015472194476972465
Position 3171: 0.00106174362969203
Position 783: 0.001059439338657404
Position 1899: 0.0010158432067304043
Position 300: 0.0009792765278565515
Position 3074: 0.0009697367807378792
Position 847: 0.0009489930354666436
Position 272: 0.0009416334967240039
Position 1785: 0.0009226391782251064
Position 1578: 0.0008192432858147487
Position 743: 0.0006563520384831662
Position 3178: 0.0006002803590918347
Position 2215: 0.00041243504711657513
Position 764: 0.0002954949440227025
Position 1788: 0.0002827862767326747
Position 705: 0.0002528126327837706
Position 2887: 0.0002317475210486198
Position 2027: 0.00022721297979540892
Position 2945: 0.0002230226051661937
Position 671: 0.00019269683854646126
Position 3382: 0.00018249018581709258
Position 3143: 0.00017254549156705932
Position 1020: 0.00017223549226322963
Position 226: 0.00017212502051656945
Position 478: 0.0001655866633067999
Position 1157: 0.00014348789494625364
Position 2973: 0.00013101241411324615
Position 1419: 0.00011620413851122022
Position 1391: 0.00010858429088320132
Position 3323: 0.00010728421780858982
Position 2689: 8.561009779685232e-05
Position 563: 7.462074131952516e-05
Position 154: 6.57926875587812e-05
Position 2942: 3.962609517537796e-05
Position 3328: 3.583130848340911e-05
Position 3305: 6.19487374707308e-06
Position 295: 4.19561832774453e-06
Position 2686: 3.795561608253108e-06
Position 202: 9.383970560259789e-07
Position 139: 7.592355174703565e-07
Position 161: 4.829862699741763e-07
Position 580: 3.4012677691879466e-07
Position 189: 2.836606874805508e-07
Position 488: 1.6399934315226948e-07
Position 235: 1.2529140572136544e-07
Position 256: 1.252401816052094e-07
Position 433: 1.0992967480313924e-07
Position 252: 2.932249693174334e-08
Position 2701: 1.7564356293511255e-08
Position 535: 7.193200021945788e-09
Position 165: 4.207759084310358e-15
