Gene = c(2)M
index = 1639
Annotated 5SS: [ 219  462  799 1042 1481 1841 2034]
Annotated 3SS: [ 297  517  857 1095 1532 1898 2090]
SMsplice 5SS: [ 219  462  799 1042 1841]
SMsplice 3SS: [ 297  517  857 1095 1898]
top_k =  500
Partition function (log Z): 16.956644026271682

Sorted 5' Splice Sites (High to Low Probability):
Position 462: 0.9988732116675625
Position 1841: 0.9968792533316713
Position 219: 0.9967892176088373
Position 799: 0.9896548213361981
Position 1042: 0.977190532955142
Position 2034: 0.5074674895759324
Position 1481: 0.3502484254649809
Position 1465: 0.10868839270106354
Position 1472: 0.09233768305938937
Position 1233: 0.05118804568314952
Position 19: 0.03899938138776892
Position 2202: 0.01649022038696078
Position 529: 0.010774275294291794
Position 2057: 0.008474327867968923
Position 1534: 0.00531792934296312
Position 1245: 0.004787996046980811
Position 3: 0.00251381225783675
Position 205: 0.0020257162425816556
Position 658: 0.0019752839330872537
Position 8: 0.0019025704344152843
Position 1691: 0.0018624198586567942
Position 1413: 0.0018282845377740422
Position 1777: 0.0009476510690116494
Position 2170: 0.0006616527031339234
Position 637: 0.0005677343039085075
Position 2011: 0.0004894984988681816
Position 1823: 0.0004747721824720776
Position 2073: 0.00046512604344664017
Position 2387: 0.0004564851353746303
Position 466: 0.0004525129121698925
Position 1368: 0.0003405550985864698
Position 778: 0.00031644418677690095
Position 2029: 0.00030006816846225544
Position 446: 0.0002961647887312582
Position 2212: 0.00028891602659979605
Position 22: 0.00021264857153833666
Position 2146: 0.0001860201215173659
Position 1069: 0.0001836474046202881
Position 199: 0.0001664293689019066
Position 1249: 0.0001607339300183852
Position 49: 0.00015661462992801864
Position 1269: 0.0001480823882812436
Position 2038: 0.00013938998220187093
Position 1938: 0.00012654397204009407
Position 2595: 0.00012439228529715536
Position 2032: 0.00012421797155256657
Position 2257: 9.546428304490677e-05
Position 589: 8.513798369264948e-05
Position 2282: 7.60349757691545e-05
Position 2285: 7.434522298778969e-05
Position 545: 7.378294489951018e-05
Position 1845: 6.910740780495929e-05
Position 664: 6.848886599540516e-05
Position 1332: 5.638756276828341e-05
Position 781: 2.6283677843617874e-05
Position 595: 2.070361160222419e-05
Position 568: 1.8649721770963073e-05
Position 2478: 1.805704348904884e-05
Position 806: 1.7055543365821614e-05
Position 2580: 1.3128539735748735e-05
Position 1095: 1.2708207483069324e-05
Position 674: 1.1929996384293183e-05
Position 551: 1.1521729303742721e-05
Position 803: 1.0903450485436628e-05
Position 413: 1.047131076963796e-05
Position 857: 1.0226385782002306e-05
Position 386: 9.666860459691058e-06
Position 2452: 9.545017662176566e-06
Position 2419: 9.003324007991537e-06
Position 1769: 8.479410492314092e-06
Position 817: 7.884596255379856e-06
Position 208: 6.227098274070709e-06
Position 893: 5.567176262747669e-06
Position 422: 4.399367461355609e-06
Position 967: 3.953780330615897e-06
Position 1745: 2.8533862970883856e-06
Position 1256: 2.5863558707139735e-06
Position 896: 2.3307238150701602e-06
Position 1910: 2.24128481890983e-06
Position 79: 2.119078743804264e-06
Position 1087: 1.859971998799264e-06
Position 1873: 1.2773614306928803e-06
Position 472: 1.163516574231453e-06
Position 67: 1.018690957381573e-06
Position 887: 1.0077092861311746e-06
Position 82: 9.261139474440784e-07
Position 592: 7.958918962783957e-07
Position 877: 7.073117279399135e-07
Position 1735: 5.628901633790435e-07
Position 765: 5.379290468663039e-07
Position 1666: 4.7254581943797925e-07
Position 1987: 4.0353670179187514e-07
Position 359: 2.870851857721275e-07
Position 485: 1.3721550298763933e-07
Position 2061: 1.2663093871158076e-07
Position 2059: 1.2170016312337527e-07
Position 1920: 1.1709602296820209e-07
Position 76: 1.131419479377441e-07
Position 1419: 8.099641014260182e-08
Position 1577: 1.4826370912295482e-09
Position 1259: 1.4534931424784224e-09
Position 1170: 1.2190291210940862e-09
Position 272: 2.7420251077511674e-10
Position 753: 1.3741412908360212e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 517: 0.9986201403525984
Position 1898: 0.9974736142812592
Position 297: 0.9959169639151697
Position 857: 0.9541890771415671
Position 1095: 0.7874036219749133
Position 2090: 0.44883852056915385
Position 1532: 0.2970774213880763
Position 1546: 0.2613679695066061
Position 1113: 0.14109776201281515
Position 82: 0.043361719133846115
Position 1680: 0.033455169708612634
Position 2114: 0.03206253232608045
Position 1300: 0.031235750907567496
Position 1100: 0.02590188524401097
Position 2349: 0.02068477134527448
Position 2260: 0.015358356388711313
Position 921: 0.01309213134193237
Position 1572: 0.010506870926085193
Position 592: 0.010478603332671973
Position 939: 0.009159173862637038
Position 2225: 0.008055647063540063
Position 301: 0.0028208423073428825
Position 1694: 0.0027898293508696785
Position 1364: 0.0026995304687716794
Position 1153: 0.0026536088583850458
Position 887: 0.0026075826097263885
Position 2431: 0.00255419712290586
Position 2557: 0.0022543056584670308
Position 2501: 0.0022290148687192806
Position 1764: 0.001566546946785195
Position 1538: 0.0014266744871015995
Position 732: 0.0014200504886757858
Position 2328: 0.0012834731895347222
Position 2078: 0.0011532580490724198
Position 1179: 0.0009873705572914816
Position 628: 0.0009772015927095189
Position 1657: 0.0008379352237820063
Position 750: 0.0008314047307529498
Position 2668: 0.0008040722540564448
Position 946: 0.0007703199329410805
Position 1908: 0.0006615286206889528
Position 1719: 0.0005507827858448717
Position 1287: 0.00048100765859312696
Position 2240: 0.0004408062698511394
Position 1118: 0.00043513563279357694
Position 680: 0.0004118120676936161
Position 2449: 0.00022437260426781826
Position 1008: 0.00020205100632491517
Position 1995: 0.00018997642172347045
Position 1408: 0.00018817952079740514
Position 1577: 0.0001844147158009203
Position 2102: 0.00018127480721966818
Position 1227: 0.00017657537189029647
Position 2521: 0.0001711928678016976
Position 346: 0.00015064198257771618
Position 687: 0.0001368695687950088
Position 877: 0.0001338209198679534
Position 1741: 0.0001310806286278314
Position 136: 0.00011888605650734206
Position 108: 0.00011880810521735666
Position 1335: 0.00010970212581609059
Position 1785: 0.00010564835093450673
Position 2654: 0.00010034622367378389
Position 777: 9.723370242330306e-05
Position 2168: 8.810303036055181e-05
Position 322: 8.764454320118462e-05
Position 978: 8.013379697724613e-05
Position 729: 7.712355819800206e-05
Position 923: 7.198851713743833e-05
Position 1325: 7.091668848633657e-05
Position 893: 6.97624505335046e-05
Position 1603: 6.912726134680652e-05
Position 372: 5.771136666052081e-05
Position 336: 5.2983340446936156e-05
Position 1735: 5.1402505859804254e-05
Position 664: 5.1348800205232165e-05
Position 607: 4.2045725165614834e-05
Position 528: 4.1856315650726626e-05
Position 2580: 4.024657424490466e-05
Position 1023: 3.791853211469111e-05
Position 397: 3.234219320253641e-05
Position 1590: 3.168641788511888e-05
Position 2478: 2.815436789670757e-05
Position 2186: 2.6197888578298347e-05
Position 2116: 2.454955858190933e-05
Position 49: 2.1978779033861673e-05
Position 1321: 1.280639570304999e-05
Position 1929: 1.0881905061909642e-05
