Gene = bur
index = 1636
Annotated 5SS: [ 354 2113 2479 3013 3175 3677 3943 4404 4651]
Annotated 3SS: [2004 2173 2711 3077 3306 3749 4001 4458 4707]
SMsplice 5SS: [ 354 2113 2479 3013 3175 3677 3943 4404 4651]
SMsplice 3SS: [1723 2173 2711 3077 3306 3749 4001 4458 4707]
top_k =  500
Partition function (log Z): 25.820577797099222

Sorted 5' Splice Sites (High to Low Probability):
Position 4651: 0.9981708259718376
Position 4404: 0.9974878859014754
Position 2113: 0.9940590786771115
Position 3677: 0.9846670378685721
Position 3013: 0.9845391047990122
Position 2479: 0.9671120430297029
Position 3175: 0.8602921931595952
Position 354: 0.6998525136640362
Position 3947: 0.5264147105689722
Position 1782: 0.45426371290842327
Position 3970: 0.2604076031159895
Position 1501: 0.23420208561201583
Position 2767: 0.17057512734976532
Position 1647: 0.13298930968683118
Position 3246: 0.06764246399518561
Position 203: 0.05267007349981961
Position 592: 0.0432773469517128
Position 1786: 0.03954095477604516
Position 1614: 0.032687169948897296
Position 1953: 0.024222405499479457
Position 3165: 0.019859037204384564
Position 3519: 0.019613463454927628
Position 3502: 0.016334440425948463
Position 199: 0.0161899730744096
Position 2833: 0.01591045919250241
Position 5106: 0.011869779836019558
Position 1035: 0.010318428870185836
Position 3621: 0.009495941775280702
Position 5134: 0.007312498597058997
Position 1488: 0.006200576066163141
Position 1955: 0.005991572050852263
Position 3007: 0.005678910719293815
Position 4174: 0.005605910242633319
Position 207: 0.0052530914002203825
Position 3183: 0.004742062138803157
Position 2607: 0.0045396317756540485
Position 3531: 0.004534513821380996
Position 4290: 0.0035368664040697
Position 3691: 0.003141588873495439
Position 2595: 0.003106334480368145
Position 2189: 0.002893015060259737
Position 3964: 0.002754959912885306
Position 2184: 0.0025155261139195727
Position 598: 0.0021234697558754046
Position 2103: 0.0020123057425188236
Position 3998: 0.0020034183220954656
Position 286: 0.0018963080433133123
Position 2992: 0.001879917755108137
Position 2984: 0.001705132385207718
Position 3137: 0.0015877274725727224
Position 5390: 0.001517185379087089
Position 666: 0.0014510555981010356
Position 4655: 0.001416135144518178
Position 4764: 0.001403183754426168
Position 2913: 0.0013030341412164099
Position 1268: 0.001206223313490506
Position 1907: 0.0011696094772833962
Position 1121: 0.0011691394883269976
Position 1433: 0.001143578582737133
Position 5084: 0.0010515096276519718
Position 2851: 0.001001876801996144
Position 891: 0.0009020858906861456
Position 588: 0.0008443051260548977
Position 201: 0.0008349083775778405
Position 3463: 0.0008179037790882735
Position 2600: 0.0006886077723771653
Position 1278: 0.0006863682759125796
Position 2869: 0.0006346768143638065
Position 3108: 0.0006046500088287874
Position 1797: 0.000588527111191564
Position 4068: 0.0005557087897391544
Position 4813: 0.0005436031715664381
