Gene = Reps
index = 1419
Annotated 5SS: [ 579 1039 1441 2294 2802 3323]
Annotated 3SS: [ 633 1120 1508 2364 3235 3475]
SMsplice 5SS: [ 579 1039 1441 2294 2802 3323]
SMsplice 3SS: [ 633 1120 1508 2364 3235 3475]
top_k =  500
Partition function (log Z): 18.571985096971858

Sorted 5' Splice Sites (High to Low Probability):
Position 1441: 0.9998432591693631
Position 2294: 0.999086046831108
Position 579: 0.951397295771628
Position 3323: 0.9039555126044649
Position 1039: 0.8870177198188867
Position 2802: 0.8645529387659289
Position 4808: 0.2214573834550553
Position 5172: 0.17843674122115383
Position 2638: 0.09814103616811988
Position 4046: 0.08985917479592692
Position 5368: 0.0695755591781732
Position 989: 0.06430330005542062
Position 3341: 0.040195807202862144
Position 3669: 0.019642352700140264
Position 3687: 0.01824427180917825
Position 4646: 0.014180558401235641
Position 1043: 0.013097450744187437
Position 4092: 0.011803730246800091
Position 4036: 0.009555157549648086
Position 4090: 0.007002546464676368
Position 600: 0.006720615108358458
Position 1595: 0.006444798437985507
Position 5372: 0.006104748918501904
Position 472: 0.005780666523734089
Position 3593: 0.0050000368110920445
Position 1853: 0.004291795408562567
Position 4227: 0.004290653095184415
Position 2078: 0.004239909895627409
Position 3352: 0.003288724749682535
Position 802: 0.0030337770218436017
Position 570: 0.0025164738258494877
Position 3665: 0.0023011426591896048
Position 4966: 0.00214194389187734
Position 5028: 0.0017407660026292635
Position 1599: 0.0015042211119657496
Position 1952: 0.0014709106710827716
Position 4968: 0.0014361892484099728
Position 4812: 0.0013589675620135802
Position 1070: 0.001177081517790445
Position 3115: 0.0011749692854419217
Position 3722: 0.0011378281684103137
Position 1033: 0.0010705949772913989
Position 4096: 0.001069770366643065
Position 1242: 0.0009766484596157674
Position 419: 0.0009037954851768209
Position 4818: 0.0008133697267906023
Position 3768: 0.000692816487676379
Position 1871: 0.0006572473501632163
Position 393: 0.0006544743778330269
Position 3788: 0.0005401440777787823
Position 4515: 0.0005357864621972807
Position 3377: 0.00048307194937396265
Position 3987: 0.0004815394070630166
Position 2895: 0.00046841033435698643
Position 3409: 0.0004447520049696822
Position 2298: 0.0004378148178341016
Position 513: 0.0004328397618517356
Position 1009: 0.00042059397814960453
Position 1001: 0.00039427920488476224
Position 175: 0.0003807845645307414
Position 3320: 0.0003553823638750333
Position 4711: 0.00030853890777485834
Position 814: 0.0003027360837012986
Position 5218: 0.00028475984532917487
Position 1605: 0.00023015500576387634
Position 3092: 0.00022163266401218948
Position 324: 0.00022127090998879558
Position 135: 0.00020365137534767325
Position 2972: 0.00018889636499773348
Position 1061: 0.00018378481676240894
Position 2125: 0.00017855537369653544
Position 2762: 0.0001771279578186959
Position 3005: 0.00017075246614985676
Position 1627: 0.00016177266192558715
Position 153: 0.00012878152133059465
Position 2785: 0.00012345983610626219
Position 943: 0.00011697859177081134
Position 4479: 0.00011361797554352853
Position 4073: 0.0001118525682781822
Position 3921: 0.00010791794179391264
Position 1288: 0.00010404202397052029
Position 2281: 0.00010220448818097015
Position 1726: 0.0001015794723449187
Position 4523: 9.763328290463306e-05
Position 3888: 9.197737638669285e-05
Position 1630: 8.871282298757634e-05
Position 3956: 8.540362435657159e-05
