Gene = geko
index = 1714
Annotated 5SS: [ 619 4302]
Annotated 3SS: [4099 5519]
SMsplice 5SS: [ 619 4302]
SMsplice 3SS: [4099 5519]
top_k =  500
Partition function (log Z): -1.6504573659973727

Sorted 5' Splice Sites (High to Low Probability):
Position 4302: 0.9949143984332064
Position 619: 0.980051181397528
Position 5266: 0.07351209580910757
Position 5737: 0.07044806341541734
Position 1721: 0.05423861853957595
Position 5695: 0.05078910574697423
Position 5022: 0.04633247827867734
Position 1989: 0.030048711816065773
Position 1870: 0.014281916682376508
Position 2724: 0.012579104936921494
Position 4700: 0.01147114955915699
Position 513: 0.01145922556658087
Position 289: 0.009755150715476842
Position 5727: 0.009525478853477806
Position 1006: 0.00854252468556724
Position 4479: 0.00808821688358124
Position 1145: 0.0057810815761750066
Position 3463: 0.005230090703544401
Position 79: 0.00476879472129499
Position 1071: 0.003995256672058544
Position 2419: 0.0036933448904920736
Position 5032: 0.0035534547690602063
Position 2006: 0.003517511840723363
Position 5701: 0.0032755863663613987
Position 3998: 0.0031136194316276045
Position 5760: 0.002867869146027092
Position 5380: 0.0028626785706849346
Position 1503: 0.0026233844816774213
Position 1552: 0.002414877423131707
Position 5315: 0.002327028753159814
Position 1573: 0.002291069372300229
Position 33: 0.0021065531381033297
Position 5345: 0.00208922754087474
Position 1301: 0.0019418401169612254
Position 51: 0.0019082487168410754
Position 1872: 0.0017524302887593933
Position 5167: 0.001747569638091978
Position 3222: 0.0017291078056469276
Position 1104: 0.001721152150942534
Position 167: 0.0014294363884648365
Position 767: 0.001377755108773183
Position 5282: 0.0011885173523865716
Position 62: 0.0011696417761880434
Position 5896: 0.0010982420127742492
Position 48: 0.0009739510480372053
Position 4751: 0.0008950958811193528
Position 1256: 0.0008577666249677256
Position 4735: 0.000723464128939999
Position 1125: 0.0007033226474353639
Position 197: 0.000695859760741845
Position 5565: 0.0006291681288615523
Position 5288: 0.0005546723579351411
Position 3540: 0.00051132822269192
Position 5798: 0.0004386557564898599
Position 2769: 0.000436013483130311
Position 5112: 0.000433471797303192
Position 90: 0.00041544915639349275
Position 96: 0.000326630130374818
Position 4828: 0.00030755698308496804
Position 2303: 0.0002506236162316145
Position 4367: 0.00019922481149515977
