Gene = ND-MLRQ
index = 1304
Annotated 5SS: [ 151  355 2277]
Annotated 3SS: [ 207 2130 6516]
SMsplice 5SS: [ 151  355 1742]
SMsplice 3SS: [ 207 1431 2130]
top_k =  500
Partition function (log Z): -7.599644116086911

Sorted 5' Splice Sites (High to Low Probability):
Position 355: 0.9655662592657416
Position 151: 0.8401812422140673
Position 1742: 0.4556705363245188
Position 44: 0.16805084512833607
Position 2277: 0.14165339747469383
Position 1961: 0.08465370834717688
Position 2227: 0.059143775918137825
Position 579: 0.03561077224697373
Position 1198: 0.023065758621803198
Position 1847: 0.01982448236684214
Position 39: 0.019267293273883827
Position 1863: 0.019064544070179122
Position 2580: 0.017794078672748057
Position 791: 0.015970363737426472
Position 746: 0.015513848539995382
Position 1494: 0.011440431300826353
Position 1521: 0.011373134339770696
Position 2554: 0.008898203513794363
Position 4947: 0.008617171404904181
Position 608: 0.0074625181920896415
Position 706: 0.006809315256670204
Position 1954: 0.0066168929644522135
Position 1206: 0.006233339561128997
Position 968: 0.005336900756363432
Position 2756: 0.004902797279041204
Position 1189: 0.004747544554179399
Position 1305: 0.003700919488646811
Position 34: 0.003197880300118089
Position 4677: 0.0031515129175265968
Position 1897: 0.002921251155005628
Position 1789: 0.002712693362611985
Position 1578: 0.002484535788856225
Position 1697: 0.001570971274749536
Position 1058: 0.0014808248507995104
Position 1530: 0.0012838393707125765
Position 2690: 0.0011755235006732899
Position 333: 0.0011326555103785836
Position 1167: 0.000851953270957367
Position 1004: 0.0006205442746272639
Position 1100: 0.0005928415215166326
Position 2713: 0.0005243048603463881
Position 2744: 0.0004856600507779407
Position 1665: 0.0004541703368017248
Position 999: 0.00040043558693363183
Position 619: 0.00038143632255484365
Position 2722: 0.0002793315994645395
Position 1724: 0.00027373779891034307
Position 978: 0.00026640813838352116
Position 3063: 0.0002591216648932499
Position 1605: 0.00019663192126478154
Position 1736: 0.00016847553419042203
Position 694: 0.00015568063958511152
Position 131: 9.752892125967544e-05
Position 2263: 8.879051739191585e-05
Position 555: 8.551120401206132e-05
Position 423: 6.977163065490306e-05
Position 549: 4.9294923312609894e-05
Position 612: 3.854454192049636e-05
Position 155: 3.448347254087515e-05
Position 116: 3.135704767873511e-05
Position 1478: 3.084010096356243e-05
Position 859: 2.7542770844114005e-05
Position 558: 2.1570677897055993e-05
Position 574: 2.0379961146939306e-05
Position 9: 1.4238800033408926e-05
Position 60: 1.1574441340297529e-05
Position 552: 1.1301563665324826e-05
