Gene = corn
index = 1655
Annotated 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
Annotated 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
SMsplice 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
SMsplice 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
top_k =  500
Partition function (log Z): 20.022806180352614

Sorted 5' Splice Sites (High to Low Probability):
Position 13014: 0.9946559732109761
Position 12111: 0.9901319842887558
Position 11843: 0.9883209753104927
Position 11107: 0.9781326536711225
Position 11483: 0.9334875978160113
Position 1138: 0.8919428189533183
Position 12337: 0.8460861055206391
Position 696: 0.2501704498242624
Position 12664: 0.17063786282391358
Position 8990: 0.12678782457175503
Position 180: 0.1229199110104688
Position 356: 0.10681656487993749
Position 12342: 0.06200028967433159
Position 11488: 0.05960935006010035
Position 700: 0.04855516590914183
Position 495: 0.03710769092101969
Position 1651: 0.025543524795036018
Position 6861: 0.024572023740308226
Position 515: 0.018769045276983094
Position 501: 0.014320318502958798
Position 1640: 0.014262194191742588
Position 702: 0.013578498001942677
Position 3586: 0.013373107992300385
Position 732: 0.013072136673788386
Position 1776: 0.011892473867112353
Position 13313: 0.011850724635753651
Position 704: 0.010150080919636956
Position 11847: 0.009410182721905257
Position 12103: 0.007586302026035281
Position 206: 0.005744928016698293
Position 505: 0.005130136546166827
Position 13303: 0.004671681346129218
Position 12978: 0.0045583634272979645
Position 191: 0.004364884038961261
Position 11625: 0.004196301075288291
Position 13316: 0.0032758054089712424
Position 12684: 0.0027128707007746185
Position 555: 0.0022059680632968326
Position 12692: 0.0020302665873998854
Position 12735: 0.001518992912303099
Position 12013: 0.001365061461469514
Position 694: 0.0011725214700420714
Position 13656: 0.001118472470236465
Position 11459: 0.0008138875026762261
Position 13627: 0.0007973635185823878
Position 939: 0.0007671760475960494
Position 3276: 0.000729385433336904
Position 13367: 0.0007229063957713215
Position 13694: 0.0006554727424579179
Position 13211: 0.0006539761282503501
Position 6003: 0.0006295378922376276
Position 13301: 0.0006039911552674653
Position 1134: 0.0005551684239314464
Position 11345: 0.0005343155233101558
Position 13006: 0.0005298205685578259
Position 5945: 0.0004538620593297091
Position 12434: 0.0004515014706360637
Position 11716: 0.00043211735208885903
Position 13214: 0.0004159345737973486
Position 13642: 0.0003891157792368816
Position 13328: 0.00032761022764548535
Position 12064: 0.00029685193482083483
Position 11622: 0.0002836033279439091
Position 3193: 0.0002767544495318862
Position 155: 0.00027588921293115624
Position 708: 0.0002745970275597218
