Gene = Cand1
index = 1052
Annotated 5SS: [ 245  694 1042 1286 2705 3997 4206]
Annotated 3SS: [ 309  751 1122 1345 2768 4058 4269]
SMsplice 5SS: [ 245  694 1042 1286 1496 2705 3997 4206]
SMsplice 3SS: [ 309  751 1122 1345 2182 2768 4058 4269]
top_k =  500
Partition function (log Z): 29.183370346628866

Sorted 5' Splice Sites (High to Low Probability):
Position 1042: 0.9997628672959331
Position 4206: 0.9979524850847765
Position 1286: 0.9954231729877872
Position 2705: 0.9943960386556435
Position 3997: 0.9938200674944975
Position 694: 0.9932408486015355
Position 245: 0.9773037109490925
Position 1496: 0.5775349969923758
Position 2096: 0.1293014083029655
Position 92: 0.06113933329876064
Position 1447: 0.05636222432444516
Position 1712: 0.04217892010562429
Position 3639: 0.027539596812050007
Position 2090: 0.02736921808506905
Position 2327: 0.019599068823810264
Position 3088: 0.014567067780783366
Position 249: 0.010119777353763171
Position 1458: 0.009752640145772165
Position 2439: 0.00896011762512229
Position 4383: 0.006695131207394545
Position 4366: 0.005903893940803929
Position 3540: 0.005188299248940752
Position 2128: 0.004036075247210974
Position 2709: 0.003982468413366875
Position 3987: 0.0038212933829852177
Position 3261: 0.003816369079016816
Position 1608: 0.0030135105216131997
Position 1719: 0.0029370240991413426
Position 3049: 0.0024444668961068235
Position 502: 0.0022801212942328342
Position 1851: 0.0017746012012220278
Position 4210: 0.001483904360857159
Position 4001: 0.0014445711129550559
Position 1465: 0.001365949659129371
Position 3747: 0.0013160726249529112
Position 104: 0.0012701832102025535
Position 3525: 0.0012411478355015843
Position 3003: 0.0010701490734344211
Position 1619: 0.0010175290606555128
Position 4462: 0.0010034708016927706
Position 2928: 0.0009143784690340041
Position 4413: 0.0008681836334665045
Position 2213: 0.000814783585337459
Position 2021: 0.0008051872239729305
Position 2288: 0.0007208635518388769
Position 517: 0.0006859485221124377
Position 1757: 0.0006265759033970628
Position 2923: 0.0005993035997398677
Position 2086: 0.0005559561404160926
Position 3675: 0.0004729393650823923
Position 3278: 0.0004656701349207064
Position 1624: 0.000450000157503344
Position 1293: 0.0004076077263353168
Position 4396: 0.00038002444780836685
Position 2024: 0.0003762239573145732
Position 2543: 0.0003729154828096684
Position 412: 0.00037222948222627304
Position 415: 0.00034239955596071525
Position 1732: 0.0003078394433871091
Position 15: 0.00029659686060535786
Position 3771: 0.00028839709951350754
Position 2033: 0.0002800452643894322
Position 3324: 0.0002746176178864093
Position 1470: 0.0002629616173047871
Position 51: 0.00026145830999557245
