Gene = EMC3
index = 1144
Annotated 5SS: [238]
Annotated 3SS: [297]
SMsplice 5SS: [238]
SMsplice 3SS: [297]
top_k =  500
Partition function (log Z): -6.0172571968469

Sorted 5' Splice Sites (High to Low Probability):
Position 238: 0.9867494706866434
Position 244: 0.012145467632229916
Position 646: 0.0027869808567029895
Position 369: 0.002614372954309556
Position 161: 0.0008865360106270428
Position 551: 0.0008808240418388339
Position 170: 0.00024748910096494895
Position 124: 0.00023680116969454498
Position 661: 0.00018979699467632652
Position 464: 0.00012756120502615918
Position 629: 8.08984522958e-05
Position 507: 7.44863539001216e-05
Position 659: 6.057825428541352e-05
Position 796: 5.1893153924753504e-05
Position 689: 2.7738884499419803e-05
Position 253: 2.7216644947316695e-05
Position 12: 2.718314630886682e-05
Position 340: 1.774524947853579e-05
Position 41: 1.723091963276261e-05
Position 485: 1.3867524554163303e-05
Position 902: 1.2438881093678537e-05
Position 897: 8.77924412366826e-06
Position 820: 6.585913457043098e-06
Position 143: 3.125411567327906e-06
Position 497: 2.7139357337661874e-06
Position 36: 2.6867674554815497e-06
Position 154: 2.5502111029250294e-06
Position 128: 1.6853071866043832e-06
Position 923: 1.012205360194861e-06
Position 526: 6.978072444185912e-07
Position 428: 6.33546824045363e-07
Position 122: 4.97563267232945e-07
Position 870: 3.7848806118590097e-07
Position 130: 1.1513594968194519e-07
Position 182: 6.239819987495518e-08
Position 500: 1.9565227005894305e-09
Position 599: 1.243285944195316e-10
Position 273: 1.4232160999087957e-11
Position 539: 1.233866711172976e-11
Position 290: 3.891992119557141e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 297: 0.9694269300912699
Position 301: 0.02772825289355993
Position 718: 0.003446954142483841
Position 724: 0.0016894977968057174
Position 431: 0.0011229808517174234
Position 769: 0.0009916132111847677
Position 910: 0.0005820466157554582
Position 580: 0.0005124658379366553
Position 205: 0.0003560971234455987
Position 232: 0.0002755632636670304
Position 778: 0.00018375197564670935
Position 592: 0.00017104737062546623
Position 730: 0.00015697146873537782
Position 550: 0.00010968720523844925
Position 237: 0.00010260324611997071
Position 790: 7.23114167299303e-05
Position 373: 6.900532428464591e-05
Position 208: 3.5547554312529034e-05
Position 638: 3.408449305366015e-05
Position 934: 3.1578357692162214e-05
Position 76: 2.4951046706363402e-05
Position 211: 2.4812406455445844e-05
Position 415: 2.4287351928613198e-05
Position 348: 1.8512130232622722e-05
Position 968: 1.8394084984242734e-05
Position 951: 1.6803172264549808e-05
Position 469: 1.271331335967594e-05
Position 355: 1.2253317068069673e-05
Position 947: 1.1367052627715489e-05
Position 97: 1.0015380261995037e-05
Position 931: 9.47077014812089e-06
Position 409: 9.043950677722901e-06
Position 331: 6.913781410193798e-06
Position 604: 2.411301446914216e-06
Position 63: 2.226163952149865e-06
Position 391: 1.4480638025316397e-06
Position 972: 1.2796740196206093e-06
Position 870: 1.1565934394594206e-06
Position 273: 5.646971927551355e-07
Position 838: 4.792521216141997e-07
Position 217: 8.431616000714671e-09
Position 258: 1.3082032584832396e-09
Position 340: 4.025604924679287e-10
Position 394: 2.460454437145176e-10
Position 253: 1.9680656182142587e-11
Position 242: 1.0939957673925197e-11
Position 357: 9.403046526105188e-13
Position 262: 1.3099558360767858e-13
Position 244: 2.1811053292083246e-19
Position 248: 2.0803927837051097e-19
