Gene = Tif-IA
index = 1560
Annotated 5SS: [ 439  978 3810 4046 8027]
Annotated 3SS: [ 495 3317 3869 7776 8083]
SMsplice 5SS: [ 439 3810 4046 8027]
SMsplice 3SS: [3317 3869 7776 8083]
top_k =  500
Partition function (log Z): -0.3643470752426561

Sorted 5' Splice Sites (High to Low Probability):
Position 439: 0.9964934054197658
Position 3810: 0.9395834994533053
Position 8027: 0.9043935434699235
Position 4046: 0.8896332335714172
Position 978: 0.6086942367101074
Position 3457: 0.25474062182139107
Position 2426: 0.22607055207858798
Position 67: 0.18517566142403416
Position 1493: 0.06496785512486984
Position 4821: 0.05959235161817541
Position 1522: 0.033798465782478825
Position 1507: 0.032691556371611585
Position 793: 0.03267096408379151
Position 900: 0.022196145388135222
Position 608: 0.021210060472118354
Position 5097: 0.015255052090756973
Position 1195: 0.01191770122084912
Position 4810: 0.011590173937899684
Position 4117: 0.010940800872319786
Position 2357: 0.008631059643359973
Position 239: 0.008593081790829075
Position 4946: 0.007867321500459693
Position 4919: 0.007374946011325476
Position 5779: 0.0071669180304099744
Position 4568: 0.004791559998223618
Position 5541: 0.004551721537468208
Position 763: 0.003880493697044866
Position 8024: 0.0034768572385258196
Position 8016: 0.003177260621804435
Position 4880: 0.003065845477191571
Position 921: 0.003009106343649388
Position 53: 0.0024416829261416553
Position 655: 0.0018216256253033405
Position 1477: 0.001719142451711496
Position 3903: 0.0015765923465045106
Position 4442: 0.0015598006478089183
Position 159: 0.0013087036369153126
Position 2685: 0.001229410419613241
Position 146: 0.0012147648662792462
Position 505: 0.0010458787366434106
Position 3064: 0.0010075022331838756
Position 4416: 0.0007956960936780257
Position 8031: 0.0007402361094886872
Position 1868: 0.000515179452882967
Position 189: 0.0002527423094658055
Position 85: 0.00016039802272358063
Position 460: 0.0001494332116961718
Position 4216: 0.00013469577377886812
Position 579: 0.00011934485160971081
Position 280: 0.00011700374032207956
Position 4325: 8.902711678680798e-05
Position 913: 7.403790336202213e-05
Position 508: 7.329562298281531e-05
Position 3679: 5.462392155559798e-05
Position 906: 5.186312510329619e-05
Position 1289: 4.826717610081225e-05
Position 562: 4.163168172381685e-05
Position 3487: 4.024883487877833e-05
Position 464: 3.906225448621667e-05
Position 774: 3.81955316349279e-05
Position 641: 2.9736126497904566e-05
Position 443: 2.9423864929763058e-05
Position 982: 2.7933567504678303e-05
Position 3421: 2.581100167404728e-05
Position 3675: 2.4058927448574122e-05
Position 817: 2.0184007831120808e-05
Position 163: 1.884108294145077e-05
Position 1221: 1.5840945227447468e-05
Position 568: 1.5830379462419917e-05
Position 250: 1.1687819459018132e-05
Position 165: 1.1186698256232332e-05
Position 1155: 1.1033425450673622e-05
Position 3760: 8.829636784154625e-06
Position 889: 7.936843104802085e-06
Position 476: 7.3487828571670576e-06
Position 967: 6.411969335970817e-06
Position 882: 6.2955159392979544e-06
Position 319: 4.78262110198146e-06
Position 4080: 4.2440307364213515e-06
Position 1330: 1.7022165806462118e-06
Position 270: 1.497112154364155e-06
Position 538: 1.3807039335485995e-06
Position 3436: 1.2088022125971198e-06
Position 225: 1.8358955379081456e-07
Position 361: 1.086785493504798e-07
Position 397: 1.0184525683831033e-07
Position 405: 3.752089888758963e-08
Position 571: 3.375253015469467e-08
Position 585: 1.3039321294509164e-08
Position 367: 4.826123272711461e-09
Position 304: 3.94632754256241e-09
Position 739: 2.507064985607723e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 7776: 0.9624303768515811
Position 3869: 0.9058032224802579
Position 3317: 0.8518797996639255
Position 8083: 0.8228334319774259
Position 495: 0.5080126697536966
Position 2271: 0.19539778297598906
Position 3510: 0.10780603474838381
Position 556: 0.1025942263782635
Position 3668: 0.08860526705137321
Position 136: 0.08782154182890697
Position 8123: 0.08728515917245906
Position 668: 0.08431672618868306
Position 267: 0.08058899550290288
Position 1038: 0.07627302575036056
Position 4498: 0.07551799981416993
Position 3063: 0.05102829046003462
Position 1078: 0.04080671215302222
Position 1340: 0.025262249071817868
Position 3203: 0.025184137020125816
Position 4083: 0.02185921299868804
Position 1055: 0.021055318495738797
Position 7851: 0.0206546763292748
Position 3585: 0.016482784506195267
Position 2115: 0.013285324564826456
Position 3892: 0.011768991717590976
Position 844: 0.011187099677221741
Position 163: 0.01117542177836524
Position 7411: 0.010141002821948231
Position 3545: 0.008690913416064084
Position 294: 0.00820394726904466
Position 189: 0.007469405928671113
Position 3331: 0.0069050328030972
Position 1434: 0.006344993272370903
Position 2170: 0.005780314610821193
Position 504: 0.0050159731031217585
Position 5540: 0.004551947415812484
Position 2288: 0.004099151112372574
Position 8176: 0.004073709905843035
Position 340: 0.0029664686148131686
Position 4672: 0.002715050540531928
Position 3548: 0.002590107203817335
Position 879: 0.002420787290906399
Position 523: 0.0024161200662381477
Position 2480: 0.0016748502271104267
Position 2708: 0.0015449039727073505
Position 4760: 0.001542165427462654
Position 5367: 0.0012651349517041725
Position 793: 0.001033104609519489
Position 1403: 0.000991145524297925
Position 1721: 0.0009314105328632397
Position 1650: 0.0005190758191532633
Position 198: 0.0005156804810599086
Position 4682: 0.0004982815507308014
Position 6545: 0.00047551866814160744
Position 8125: 0.00042128673612839163
Position 5712: 0.0004158718495479604
Position 4141: 0.00040800856228385637
Position 4652: 0.00033920532035321236
Position 928: 0.00032275518336134806
Position 600: 0.00025520383880335654
Position 1556: 0.00024385147477685507
Position 967: 0.00024268734522442135
Position 2193: 0.00018083776833988758
Position 685: 0.00017571030853129183
Position 243: 0.00012014156804060639
Position 345: 9.156249697682996e-05
Position 319: 8.133837954446426e-05
Position 6554: 5.1106007194184506e-05
Position 576: 4.1880825516349817e-05
Position 5973: 3.394693715945737e-05
Position 6219: 3.1795342224989696e-05
Position 6264: 3.07793057873884e-05
Position 5896: 2.5700888478203015e-05
Position 5518: 2.270065525576182e-05
Position 239: 1.3735458651817404e-05
Position 3922: 1.3229478279736997e-05
Position 718: 1.1960435898715942e-05
Position 355: 1.1953013804737891e-05
Position 376: 1.1546013988103006e-05
Position 949: 1.0883364507886369e-05
Position 342: 8.330346681805593e-06
Position 361: 7.0669310153586545e-06
Position 4754: 6.1526804691753525e-06
Position 206: 5.0847510745280964e-06
Position 379: 4.6447972471098685e-06
Position 898: 4.282271732548712e-06
Position 4361: 3.0981009341247216e-06
Position 605: 2.8007830975474936e-06
Position 4319: 2.7390814002403363e-06
Position 402: 1.5899193417991366e-06
Position 4322: 1.3043073917983946e-06
Position 1935: 1.290466372894712e-06
Position 608: 1.2723611148792923e-06
Position 1012: 1.2358931828493286e-06
Position 625: 5.548636159697545e-07
Position 430: 5.266897186465351e-07
Position 759: 3.9803764270218375e-07
Position 4658: 3.380077110176754e-07
Position 1125: 2.568434481731493e-07
Position 1194: 2.5291359049386135e-07
Position 405: 1.374697567487117e-07
Position 427: 1.2296720320000376e-07
Position 437: 1.1933994902106652e-10
