Gene = snRNP-U1-70K
index = 1883
Annotated 5SS: [149]
Annotated 3SS: [227]
SMsplice 5SS: [149]
SMsplice 3SS: [227]
top_k =  500
Partition function (log Z): -6.4151634790836605

Sorted 5' Splice Sites (High to Low Probability):
Position 149: 0.9912900650100663
Position 693: 0.2533982058547633
Position 2276: 0.20513644440772327
Position 633: 0.11465096630162379
Position 1671: 0.09064237002189851
Position 2413: 0.0815328369191349
Position 768: 0.08025305193560085
Position 522: 0.035109507251283235
Position 2032: 0.03210380538554879
Position 1896: 0.02862634671937359
Position 1837: 0.024937018073204413
Position 1644: 0.01422390033427478
Position 248: 0.009036795425950902
Position 2521: 0.006331765879965128
Position 2035: 0.00569906467764257
Position 2016: 0.004712926737976292
Position 1614: 0.003007422394866368
Position 1763: 0.002712604056226282
Position 2474: 0.002635434427075633
Position 1168: 0.002092872859153404
Position 2726: 0.0017373207844269105
Position 1943: 0.0013743733618465522
Position 2531: 0.00132367756567583
Position 1233: 0.0012655292616224406
Position 721: 0.0011224306974017386
Position 1029: 0.0011135683132834173
Position 535: 0.0010924678950411677
Position 1371: 0.0009581836563710141
Position 1605: 0.000930340847230129
Position 2769: 0.0008985282171800174
Position 2460: 0.0007678697745103275
Position 2760: 0.0006578738653868675
Position 1835: 0.0006298322807004182
Position 1618: 0.0006161995259843339
Position 1455: 0.0006037347500221544
Position 1785: 0.0005740520946535022
Position 95: 0.0005084642667073956
Position 1867: 0.0001771399925673366
Position 400: 0.0001642072581932257
Position 183: 0.00016215490851304666
Position 449: 0.00015716976693588633
Position 1660: 0.00015135019092452987
Position 108: 0.00013992118461542792
Position 153: 0.00011475533606982864
Position 957: 9.324752158854202e-05
Position 373: 6.36753481051327e-05
Position 503: 5.783138404550537e-05
Position 2006: 3.912386557281657e-05
Position 1215: 1.4241764182416868e-05
Position 72: 1.276617322021837e-05
Position 637: 5.982091557117606e-06
Position 613: 5.682813715520779e-06
Position 178: 3.2009537010741234e-06
Position 619: 1.5800118237243361e-06
Position 142: 4.211513930032012e-07
Position 347: 2.571137286582552e-07
Position 16: 2.1137494985693418e-07
Position 216: 1.9438390442564475e-07
Position 459: 1.72823048176701e-07
Position 643: 1.4166921329502425e-07
Position 574: 2.444715337419122e-08
Position 586: 2.3094226142189304e-08
Position 392: 2.142784482256665e-08
Position 1071: 6.961279999276631e-09
Position 310: 3.6956187509576528e-09
Position 334: 2.2018485003701755e-09
Position 1023: 2.1124332805136685e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 227: 0.926162814950177
Position 2129: 0.546580379077994
Position 2326: 0.20384917786090626
Position 1751: 0.04985273967858078
Position 2864: 0.03744150767167082
Position 685: 0.03574877000762754
Position 2464: 0.031449063627875924
Position 2675: 0.028693147193225594
Position 757: 0.023386971114943877
Position 1438: 0.02073995873401741
Position 1947: 0.015377093413685594
Position 1957: 0.014315205300015016
Position 2383: 0.012650075776520765
Position 2222: 0.011015181574091771
Position 2478: 0.010145784378578177
Position 266: 0.007328052166098265
Position 2275: 0.006858160221169779
Position 1281: 0.004406280290294258
Position 2201: 0.00257438576545564
Position 2331: 0.0020472613585988233
Position 1762: 0.001984508281734942
Position 2868: 0.0017106647835821109
Position 1140: 0.0016923079682927195
Position 2929: 0.0011958652836582158
Position 247: 0.001111479629548946
Position 2240: 0.001008453250421888
Position 1896: 0.0008379692623214946
Position 2337: 0.0006223456908607446
Position 1734: 0.0006001023421175113
Position 2702: 0.0005918775125435078
Position 2725: 0.0005894693402069473
Position 2711: 0.0005495284701578973
Position 1660: 0.000388425837003726
Position 1518: 0.00024605706891268203
Position 427: 0.00019941998322594472
Position 1056: 0.00018854870821767363
Position 2231: 0.00016219868307289673
Position 898: 0.00015311354384371832
Position 1914: 0.0001485232162115933
Position 703: 0.00012724527629417496
Position 1657: 0.00012564612688972904
Position 2252: 0.00012377767288342578
Position 772: 0.00012368419820634713
Position 826: 8.762363807213552e-05
Position 241: 7.67399316048353e-05
Position 1588: 7.625136028931723e-05
Position 2162: 6.524096929040469e-05
Position 548: 5.0629168956732834e-05
Position 1390: 4.2162987878976146e-05
Position 1122: 4.007605848727654e-05
Position 1585: 3.437305257676806e-05
Position 1453: 3.154181184973096e-05
Position 1823: 2.228154633511601e-05
Position 568: 1.302195613216362e-05
Position 692: 1.2100570010573994e-05
Position 783: 4.534475971800555e-06
Position 775: 4.298076641959516e-06
Position 463: 1.5241966082841899e-06
Position 355: 1.4196659934599642e-06
Position 148: 1.3122809457271798e-06
Position 1704: 1.2026088180044077e-06
Position 418: 7.47987319548265e-07
Position 664: 6.68822384459019e-07
Position 370: 5.271919326455784e-07
Position 400: 3.396750739919667e-07
Position 392: 3.213165613151695e-07
Position 625: 2.3958794308286464e-07
Position 619: 2.3448218737590175e-07
Position 661: 2.1548652383018964e-07
Position 116: 1.9134208608353972e-07
Position 132: 7.594036012128797e-08
Position 727: 6.557502569561354e-08
Position 367: 5.293422434665836e-08
Position 162: 4.554014013111876e-08
Position 514: 2.4377089445355487e-08
Position 373: 2.372510121809417e-08
Position 493: 1.4265847620995877e-08
Position 550: 1.1203402831010155e-08
Position 733: 2.232463437367608e-09
Position 643: 1.5492699095947615e-09
Position 153: 1.4271647450958686e-09
Position 530: 1.4186734839541911e-09
Position 526: 1.128989811316135e-09
Position 466: 4.709086308198404e-10
Position 108: 3.5131005317674606e-10
Position 490: 1.7310315555695918e-10
Position 183: 7.830577657766696e-14
Position 232: 4.5324698654129475e-15
Position 325: 1.5962430046094006e-16
