Gene = Lce1m
index = 628
Annotated 5SS: [44]
Annotated 3SS: [420]
SMsplice 5SS: [184]
SMsplice 3SS: [420]
Partition function (log Z): -10.087585063703399

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.7262760413803826
Position 44: 0.22216500522525237
Position 119: 0.03470697254457331
Position 151: 0.00979041668954658
Position 106: 0.002394502182651354
Position 339: 0.001070874974370982
Position 491: 0.0008529897379274728
Position 514: 0.0008309792024483178
Position 203: 0.00081220457481476
Position 970: 0.0005199212192356945
Position 222: 0.0004978347933485527
Position 177: 0.0004676447944814182
Position 245: 0.0004066585195423068
Position 850: 0.0002930385445720841
Position 266: 0.00021008314760471728
Position 886: 0.00016235410049841363
Position 862: 0.00014967893996390932
Position 18: 0.00012890654280923425
Position 523: 0.00012510882783588908
Position 302: 0.0001153165497921363
Position 619: 0.00010394712201371204
Position 197: 9.990768837126311e-05
Position 165: 9.652454138170085e-05
Position 823: 9.303394764519989e-05
Position 793: 8.559130841838609e-05
Position 754: 8.353126297591251e-05
Position 1128: 5.757194434148633e-05
Position 439: 5.454699784524362e-05
Position 784: 4.988228719601266e-05
Position 691: 4.6408067706348036e-05
Position 814: 4.363291864991427e-05
Position 745: 3.5421005196955955e-05
Position 664: 3.525230981785394e-05
Position 772: 3.441996077917449e-05
Position 646: 3.230093955145072e-05
Position 350: 3.20305778673609e-05
Position 574: 2.7970630406651693e-05
Position 733: 2.7398549809829037e-05
Position 682: 2.688212262689787e-05
Position 31: 2.622725719237214e-05
Position 1080: 2.1459027179708576e-05
Position 655: 1.981966335857158e-05
Position 856: 1.9051887978886213e-05
Position 628: 1.8849593675844608e-05
Position 721: 1.8635042605280483e-05
Position 434: 1.7079173203678064e-05
Position 868: 1.5653065144324214e-05
Position 841: 1.4842731294987744e-05
Position 1120: 1.4158912389111397e-05
Position 709: 1.2965542519727519e-05
Position 81: 1.2658931957107782e-05
Position 458: 1.0814351200124773e-05
Position 577: 1.0740840530871967e-05
Position 355: 9.884084523813896e-06
Position 541: 9.694924778967733e-06
Position 844: 7.859859012304423e-06
Position 397: 7.691653860357419e-06
Position 538: 7.07755493786228e-06
Position 1035: 6.99152956933945e-06
Position 892: 6.9175102785139166e-06
Position 883: 3.466876287925624e-06
Position 378: 2.5596791976847716e-06
Position 1064: 1.3944547798884619e-06
Position 829: 1.365566839740857e-06
Position 904: 1.1063929368261791e-06
Position 586: 9.945105523655033e-07
Position 760: 9.851503207606035e-07
Position 799: 9.766823477786246e-07
Position 697: 8.931662477792473e-07
Position 941: 7.651548389399523e-07
Position 907: 6.43473047993819e-07
Position 420: 6.155878967900979e-07
Position 670: 5.697773050993854e-07
Position 919: 1.493875039425589e-07
Position 1050: 6.78886814584176e-08
Position 1084: 2.898391769756467e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 420: 0.4226661189766847
Position 1061: 0.18779306870218215
Position 517: 0.1277613617477603
Position 222: 0.05765701810137471
Position 634: 0.05434340493457919
Position 547: 0.039444583980235745
Position 565: 0.02640033668968639
Position 1104: 0.021295502345612262
Position 326: 0.008822242086650332
Position 649: 0.007430977952408185
Position 446: 0.00528296169168778
Position 482: 0.005239688177021534
Position 1064: 0.004863938983121928
Position 443: 0.003267343126839815
Position 652: 0.0028938977286560425
Position 955: 0.0025760207697134584
Position 350: 0.002448292020683895
Position 706: 0.002149060571097737
Position 294: 0.0019267607929496309
Position 679: 0.0015144037532927898
Position 969: 0.0013283595874879213
Position 602: 0.0013000550285676995
Position 769: 0.0012661881698675277
Position 431: 0.0009879268030024034
Position 1237: 0.0008460799475437783
Position 1127: 0.0008272369883153447
Position 355: 0.0006848970640865419
Position 892: 0.0006054720599768517
Position 238: 0.00048503169037388
Position 688: 0.00044768894260847295
Position 715: 0.0004244044271027374
Position 1204: 0.00041435679386721134
Position 328: 0.0004004351481241419
Position 364: 0.0003973995099620942
Position 703: 0.00037596167194139105
Position 375: 0.00032863893145627205
Position 727: 0.00028652803407791446
Position 811: 0.0002857513405560245
Position 676: 0.00027739214194761794
Position 183: 0.0002745936679750013
Position 808: 0.00025407430346358246
Position 778: 0.0002475563460876362
Position 766: 0.00024289807950043815
Position 739: 0.00024040123942745112
Position 661: 0.0002371899333351664
Position 993: 0.0002307493792295159
Position 1119: 0.00023036252365166835
Position 730: 0.00021992381291912987
Position 838: 0.0002081273394135355
Position 919: 0.00018767693290135492
Position 751: 0.00018709095163981832
Position 592: 0.00018268911715553783
Position 742: 0.00015367204053420616
Position 841: 0.00015129958557453185
Position 718: 0.0001400728112641754
Position 130: 0.00012730312431545674
Position 931: 0.00011792420566464241
Position 491: 0.00010514801823862543
Position 805: 0.00010113173985991124
Position 941: 9.9998856200876e-05
Position 925: 9.364988140439337e-05
Position 913: 9.20774770748585e-05
Position 664: 8.952572094126026e-05
Position 452: 8.708807149217862e-05
Position 242: 7.821088133084351e-05
Position 916: 7.758047012246248e-05
Position 296: 7.684637864639499e-05
Position 177: 6.692177199315609e-05
Position 889: 6.506772101804727e-05
Position 790: 6.47687484340115e-05
Position 781: 6.432359218582218e-05
Position 117: 6.301836946898728e-05
Position 448: 6.248146099759477e-05
Position 938: 5.994613120936606e-05
Position 754: 5.8960029302382926e-05
Position 691: 5.8922978587360236e-05
Position 245: 5.604555682422548e-05
Position 835: 5.113783676575063e-05
Position 256: 3.308299272624098e-05
Position 1007: 3.0650696839837724e-05
Position 458: 2.3707973028502852e-05
Position 1189: 2.3509848734800473e-05
Position 1134: 2.0628238889691716e-05
Position 1071: 2.025059272952379e-05
Position 874: 1.990313065185825e-05
Position 793: 1.9423169514772475e-05
Position 901: 1.8448762036967023e-05
Position 823: 1.7356855721547967e-05
Position 1033: 1.6914732148124033e-05
Position 862: 1.609184123813933e-05
Position 904: 1.534266509630157e-05
Position 464: 1.4705454586162569e-05
Position 203: 1.3970773559977132e-05
Position 820: 1.0709056056704451e-05
Position 1028: 1.0416339362688412e-05
Position 853: 1.0200292050820846e-05
Position 139: 9.332619300065536e-06
Position 877: 7.957587099442631e-06
Position 333: 7.822077492265372e-06
Position 163: 6.623089398354562e-06
Position 155: 6.496126791699507e-06
Position 850: 5.318252133619646e-06
Position 1019: 4.034502787656025e-06
Position 865: 3.903198992697515e-06
Position 193: 2.871771435238155e-06
Position 1141: 2.1061267180487812e-06
Position 1183: 1.2434593272981179e-06
Position 1004: 8.440668369922595e-07
Position 147: 7.804568900590769e-07
Position 149: 2.3415541504541824e-07
Position 93: 1.9953544730063526e-07
Position 158: 6.238762517556418e-08
Position 81: 3.4509750594462356e-08
Position 97: 2.07064792376081e-08
