Gene = Tssc4
index = 1150
Annotated 5SS: [265 602]
Annotated 3SS: [505 686]
SMsplice 5SS: [265]
SMsplice 3SS: [686]
Partition function (log Z): -7.938658145953932

Sorted 5' Splice Sites (High to Low Probability):
Position 265: 0.9052672597127157
Position 572: 0.21866454844158853
Position 687: 0.03432208005081485
Position 17: 0.027974111032740577
Position 236: 0.026086669924066216
Position 445: 0.02340330223439744
Position 248: 0.023169788683526312
Position 602: 0.019658099884073698
Position 1044: 0.01598636920297584
Position 40: 0.0067377242527254695
Position 1618: 0.006153979349199514
Position 58: 0.0044890612316966
Position 828: 0.004220479441128229
Position 820: 0.003961453672826415
Position 29: 0.002755699873480574
Position 777: 0.002168890704290855
Position 703: 0.001179257374008405
Position 1709: 0.0010113169011872346
Position 576: 0.0007810402547109936
Position 1143: 0.00076996688856649
Position 1272: 0.0007504448938367168
Position 1087: 0.0005405955129278163
Position 564: 0.00043701886945472383
Position 1414: 0.0004088090199453109
Position 834: 0.0003305656668294975
Position 817: 0.00029840479349737826
Position 1219: 0.0002952046201177422
Position 1500: 0.0002786458712547861
Position 1506: 0.0002347962891001972
Position 458: 0.00019413201277410105
Position 1725: 0.0001850871355996079
Position 65: 0.00018396662073233048
Position 1363: 0.00015468193332390258
Position 955: 0.0001289927017573553
Position 1353: 0.00010054514316224587
Position 27: 9.255221227543516e-05
Position 383: 9.172861589752054e-05
Position 52: 8.19532928808992e-05
Position 706: 8.145158355450545e-05
Position 472: 8.030023528077876e-05
Position 432: 6.849356343001722e-05
Position 1423: 6.412418143465709e-05
Position 1701: 5.38728004769133e-05
Position 21: 5.063560262471949e-05
Position 836: 5.051835110293228e-05
Position 341: 4.9286370127972815e-05
Position 822: 4.629356884836427e-05
Position 449: 4.501814549145586e-05
Position 1234: 4.2885385799347425e-05
Position 329: 3.933990846179933e-05
Position 1552: 3.6799995503911054e-05
Position 158: 3.520494589394534e-05
Position 1074: 3.277800189212989e-05
Position 511: 2.6887910879171022e-05
Position 517: 2.5217496994682777e-05
Position 350: 2.4233811743680015e-05
Position 415: 2.3315270457406944e-05
Position 696: 2.3290523736282816e-05
Position 1637: 2.1964209650939253e-05
Position 6: 2.1734732290154526e-05
Position 1048: 2.0707523640295767e-05
Position 839: 1.7367620623505575e-05
Position 106: 1.4141539564222619e-05
Position 1116: 1.3719214085850947e-05
Position 927: 1.0552504193872054e-05
Position 596: 9.61643068753885e-06
Position 1022: 9.317885292768322e-06
Position 1042: 7.4735213930922085e-06
Position 1003: 7.059647056177926e-06
Position 1409: 5.922263918962187e-06
Position 112: 4.182992919604391e-06
Position 306: 3.7575331637255216e-06
Position 1503: 3.475702989265666e-06
Position 1274: 3.057777830292428e-06
