Gene = Igflr1
index = 564
Annotated 5SS: [  40  955 1510 2074]
Annotated 3SS: [ 736 1321 1715 2153]
SMsplice 5SS: [40]
SMsplice 3SS: [1321]
Partition function (log Z): -5.7692485976403844

Sorted 5' Splice Sites (High to Low Probability):
Position 40: 0.7238147926349265
Position 1190: 0.44007650539622084
Position 955: 0.2999570004106709
Position 2008: 0.26376103811391083
Position 571: 0.19681808894710304
Position 2019: 0.1841024973448326
Position 1526: 0.1821053986820052
Position 1510: 0.15118249739036993
Position 1401: 0.06620585308439053
Position 179: 0.06263967324307376
Position 2074: 0.0545645619891878
Position 1834: 0.04435142565380417
Position 192: 0.03697788824490255
Position 1484: 0.0369620716047224
Position 1558: 0.02833650952385099
Position 173: 0.022917523084512215
Position 206: 0.018341782699784225
Position 297: 0.018265757460780078
Position 1765: 0.014626275983389662
Position 1076: 0.01067249274097237
Position 908: 0.008706306825139731
Position 1818: 0.007305705014440276
Position 196: 0.005478568341830175
Position 1787: 0.004780509146195853
Position 641: 0.0027432883889082897
Position 165: 0.0026307890706738822
Position 575: 0.0025001694025718452
Position 970: 0.0023462127612220367
Position 106: 0.0017511773699802702
Position 2271: 0.0017345472136683297
Position 1206: 0.001612939630234239
Position 1017: 0.0013861070029005922
Position 1430: 0.0013531010241486158
Position 1471: 0.001229638207013187
Position 2029: 0.0011814903911256285
Position 1569: 0.0011130431546828962
Position 1389: 0.0008235741575715358
Position 363: 0.0008209256275404955
Position 1884: 0.0008032112607979341
Position 89: 0.0007932660038455612
Position 1369: 0.0007580245769608789
Position 522: 0.0007394387597828491
Position 668: 0.0007115488860591661
Position 744: 0.0006247819535166598
Position 1242: 0.0006222670492610077
Position 472: 0.0006115347983946495
Position 580: 0.0005661246970400635
Position 887: 0.0005641246330267529
Position 1502: 0.0005487099214321917
Position 1532: 0.0004343156287835208
Position 1222: 0.0003870311072832255
Position 65: 0.00035602187674596054
Position 30: 0.0003245569772372045
Position 460: 0.0003037398483099546
Position 1052: 0.00028828411049125425
Position 595: 0.00026793681466080705
Position 2078: 0.00022594029427239654
Position 1851: 0.00022546927399167096
Position 394: 0.0002197303957938941
Position 962: 0.0002131890888123925
Position 1839: 0.0002054619619080075
Position 150: 0.0001991449293539505
Position 1439: 0.00019434164723481747
Position 1056: 0.00016967965620679707
Position 24: 0.00016180538872735648
Position 728: 0.00016156592181544924
Position 677: 0.00015407371208655976
Position 1391: 0.0001540401291697155
Position 949: 0.00013046842613054747
Position 1593: 0.00013032502334859005
Position 1035: 8.751929722588308e-05
Position 1935: 8.724273603990004e-05
Position 1868: 8.55511250478088e-05
Position 984: 8.515201703742514e-05
Position 442: 7.74533459785769e-05
Position 986: 5.581785737237305e-05
Position 426: 5.092047587630474e-05
Position 1009: 4.685187517794879e-05
Position 754: 4.379703354174483e-05
Position 1546: 3.8185658907615625e-05
Position 1549: 3.7387193144936114e-05
Position 681: 3.662113860464734e-05
Position 417: 3.5926956905017905e-05
Position 531: 3.456394769096921e-05
Position 972: 3.3277423432537514e-05
Position 185: 3.168858598669749e-05
Position 1428: 3.117384393820284e-05
Position 874: 2.928597290448676e-05
Position 1100: 2.7959118619040125e-05
Position 1877: 2.596395581502832e-05
Position 2106: 2.4302282188437174e-05
Position 1598: 2.3551354845973326e-05
Position 1227: 2.2310314414160894e-05
Position 1500: 2.1047308922253918e-05
Position 440: 2.055106099507111e-05
Position 281: 1.8569672250299567e-05
Position 742: 1.2590436288976995e-05
Position 816: 1.2422647684561935e-05
Position 1945: 1.1747139267642552e-05
Position 748: 1.1376601559253895e-05
Position 2317: 1.1369756842396184e-05
Position 822: 1.1046674608785062e-05
Position 1437: 1.0829906476778662e-05
Position 609: 1.0566407986573626e-05
Position 374: 1.0354599332325472e-05
Position 44: 9.601204769571394e-06
Position 1020: 9.304155035308262e-06
Position 2378: 8.483763463311075e-06
Position 302: 8.150912739248333e-06
Position 1162: 7.860300716560232e-06
Position 625: 7.664439655496125e-06
Position 828: 6.646525002182948e-06
Position 112: 6.219784681714988e-06
Position 1737: 6.161642973401686e-06
Position 851: 5.825666423430929e-06
Position 2346: 5.26857944495778e-06
Position 1329: 4.986457012104796e-06
Position 1866: 4.975189359549449e-06
Position 305: 4.9084535704543455e-06
Position 339: 4.693905918819603e-06
Position 1741: 4.2969133631108484e-06
Position 316: 4.251743405869765e-06
Position 383: 3.492658854904545e-06
Position 1951: 3.3573754901261576e-06
Position 757: 3.2599985624157286e-06
Position 2459: 3.045038725693729e-06
Position 355: 2.722962198715077e-06
Position 1681: 2.685640730320852e-06
Position 1247: 2.4979051701387535e-06
Position 1908: 2.387393148534424e-06
Position 2163: 1.6929432811140226e-06
Position 1922: 1.6398023450993562e-06
Position 2207: 1.193366933887742e-06
Position 636: 1.1532672595225543e-06
Position 2409: 1.1434621936580126e-06
Position 369: 6.322442152283797e-07
Position 1939: 6.102648983870429e-07
Position 325: 5.767405326839417e-07
Position 1905: 5.66547554700784e-07
Position 1722: 4.6246676320914053e-07
Position 1259: 4.010427926322646e-07
Position 307: 3.6030315940079734e-07
Position 116: 3.405806708078372e-07
Position 2439: 3.3300661601039616e-07
Position 1058: 2.9996622945936686e-07
Position 320: 2.938579711127983e-07
Position 1310: 2.4623859644158507e-07
Position 1065: 2.239601163221781e-07
Position 1689: 1.1391166150289792e-07
Position 1274: 1.0676056203970001e-07
Position 1708: 8.909417642359306e-08
Position 1124: 8.386476877522817e-08
Position 1090: 7.699595093023457e-08
Position 1084: 3.8012202438297564e-08
Position 1109: 1.9987234397882994e-08
Position 1279: 1.7611882267015187e-08
Position 2381: 1.0648154719781662e-08
Position 1288: 6.881642944785616e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1321: 0.7326004353960645
Position 2153: 0.5676622152751623
Position 1099: 0.3088378128561666
Position 1928: 0.25328816664654613
Position 1957: 0.21854038607317497
Position 816: 0.15074314029654615
Position 1715: 0.12672958259141437
Position 736: 0.07694725528305754
Position 1071: 0.041284341636335986
Position 337: 0.03988542806646117
Position 777: 0.039207745212199066
Position 1075: 0.03790540649956166
Position 377: 0.03688661059291513
Position 1905: 0.03479713144350644
Position 393: 0.032460316848501834
Position 334: 0.01994967090695831
Position 1758: 0.01622290703637195
Position 2176: 0.01393012999849473
Position 122: 0.013711052849332585
Position 2200: 0.012690194300779428
Position 1733: 0.010738433425032766
Position 1930: 0.010513121752725021
