Gene = Pth2
index = 874
Annotated 5SS: [197 427]
Annotated 3SS: [295 602]
SMsplice 5SS: [197]
SMsplice 3SS: [295]
Partition function (log Z): -6.134647539243671

Sorted 5' Splice Sites (High to Low Probability):
Position 197: 0.7502152251952394
Position 427: 0.5760380943404695
Position 152: 0.11513975272385553
Position 146: 0.07618556654372656
Position 167: 0.048719105273605214
Position 396: 0.02344494611775578
Position 417: 0.01036933432610273
Position 431: 0.0031767298797672084
Position 209: 0.0027677153596303017
Position 296: 0.0009690712530802478
Position 97: 0.0008611190535007969
Position 204: 0.0008490315388682653
Position 438: 0.0008363680155264529
Position 433: 0.00039778027622447583
Position 92: 0.00022701565410508364
Position 228: 0.00020293398277186208
Position 87: 0.00015349331076286766
Position 398: 0.00013789388239330113
Position 525: 0.0001189290764234063
Position 18: 0.00010344550902672679
Position 368: 0.00010144175521431417
Position 340: 7.424343375153962e-05
Position 286: 4.3795258425829445e-05
Position 125: 3.431368216882954e-05
Position 421: 2.908300000435178e-05
Position 316: 2.4492951992514627e-05
Position 8: 2.144759912706883e-05
Position 220: 1.878809228036064e-05
Position 22: 1.3226118003531226e-05
Position 558: 9.515857488177323e-06
Position 509: 6.726452712060855e-06
Position 565: 5.419360558170972e-06
Position 419: 4.965882831203485e-06
Position 534: 4.516977192711277e-06
Position 24: 1.2498429442396714e-06
Position 545: 1.1840164237780167e-06
Position 236: 1.6776386298696527e-07
Position 617: 2.4427930844758227e-08
Position 638: 2.3761528301064265e-08
Position 620: 1.345837235928838e-09
Position 648: 6.700994297005257e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 295: 0.9897091438849424
Position 602: 0.40102116248817193
Position 659: 0.20933418733139342
Position 246: 0.0023777943085546227
Position 575: 0.001911344732908387
Position 426: 0.001525707682493819
Position 545: 0.0014658275595410442
Position 693: 0.0011993190885206456
Position 483: 0.0009485098229482618
Position 670: 0.0006964177475623697
Position 641: 0.00033513195948795346
Position 750: 0.0002142765601438309
Position 720: 0.00012662107275411368
Position 487: 8.719446970946855e-05
Position 395: 6.0875959002740205e-05
Position 313: 5.5277777868702617e-05
Position 430: 4.969319940896421e-05
Position 492: 3.996207985159904e-05
Position 522: 3.633328165808034e-05
Position 273: 3.279876217217032e-05
Position 321: 2.5499066551823234e-05
Position 753: 1.1020774494329126e-05
Position 466: 8.726167284751385e-06
Position 461: 6.168005395596655e-06
Position 532: 4.573517167870308e-06
Position 464: 4.108586665198842e-06
Position 509: 3.6714263870990802e-06
Position 304: 3.060950126026617e-06
Position 454: 2.8819212271045657e-06
Position 212: 2.3432262627232235e-06
Position 324: 2.1854814891485435e-06
Position 226: 1.5406354833583362e-06
Position 517: 1.0794764289829841e-06
Position 457: 9.434047832000679e-07
Position 437: 9.039301618504507e-07
Position 114: 7.661598182227286e-07
Position 332: 7.436517774499164e-07
Position 334: 2.8931757581133394e-07
Position 200: 3.459618828664617e-08
Position 85: 2.7549536134299128e-08
Position 215: 2.700269478286302e-08
Position 97: 1.8622872307332001e-09
Position 162: 1.1353674261606403e-09
Position 176: 1.091430362921664e-09
Position 171: 4.701679291104865e-10
Position 150: 2.7002593207319225e-10
Position 185: 1.1733880161037743e-10
