Gene = Crct1
index = 295
Annotated 5SS: [72]
Annotated 3SS: [836]
SMsplice 5SS: [411]
SMsplice 3SS: [836]
Partition function (log Z): -7.626604847967718

Sorted 5' Splice Sites (High to Low Probability):
Position 411: 0.7033350421792156
Position 72: 0.36581235240073817
Position 44: 0.06217662432931248
Position 178: 0.0551962945805077
Position 243: 0.038779928814256896
Position 1113: 0.03102309330144113
Position 136: 0.004341925541175057
Position 354: 0.004286960256258077
Position 67: 0.004184573197515566
Position 255: 0.0029629802924489358
Position 269: 0.002655804924935362
Position 1157: 0.002475763260941053
Position 1139: 0.0022250988515158405
Position 942: 0.0017065041399255622
Position 1239: 0.0016584680381336637
Position 18: 0.0012444095460419316
Position 1242: 0.0009845177000780707
Position 558: 0.0008823971478411221
Position 76: 0.0007338293176911248
Position 494: 0.0006044425925729843
Position 603: 0.0005824523510593804
Position 905: 0.0005784837357617712
Position 154: 0.0005371079253270054
Position 499: 0.0004889020646632001
Position 294: 0.0004323165657605947
Position 278: 0.00037673006904265157
Position 1229: 0.0003232033763883632
Position 286: 0.00027038575286077605
Position 1004: 0.00016441446676241758
Position 894: 0.00015537206355221487
Position 420: 0.00013146397108733534
Position 1266: 0.00012789200990913515
Position 1271: 0.00011201131552027193
Position 48: 8.616807667962328e-05
Position 195: 7.800448830243632e-05
Position 962: 5.937074642096486e-05
Position 438: 5.38757844535557e-05
Position 25: 5.232769439432404e-05
Position 695: 4.4575878762029885e-05
Position 1001: 3.4696698351272726e-05
Position 89: 2.9510699190722315e-05
Position 683: 2.7554055201741247e-05
Position 641: 2.2576757816154913e-05
Position 331: 1.7042910589121552e-05
Position 607: 1.6602932666509695e-05
Position 160: 1.6505829810597594e-05
Position 299: 1.640237715569719e-05
Position 373: 1.6020971981008466e-05
Position 424: 1.3094138356786445e-05
Position 1209: 1.1532711801153308e-05
Position 56: 1.0985107255040353e-05
Position 595: 1.0917432139588657e-05
Position 31: 1.0413296163397433e-05
Position 861: 1.0117514379268607e-05
Position 536: 7.873070244117649e-06
Position 193: 7.795051341705675e-06
Position 488: 6.291480971194222e-06
Position 677: 4.965012872863912e-06
Position 485: 3.7999216910752083e-06
Position 687: 3.157716783202167e-06
Position 1028: 2.3409211856781595e-06
Position 422: 1.8208745410956197e-06
Position 653: 1.476619448169682e-06
Position 1365: 1.273597959076332e-06
Position 91: 1.237047104239567e-06
Position 775: 1.1625271494925194e-06
Position 809: 1.1065507264510337e-06
Position 1339: 6.75720802424912e-07
Position 371: 6.14635700650266e-07
Position 20: 2.4805234779220015e-07
Position 732: 2.3590592536653208e-07
Position 1299: 2.3104663835357895e-07
Position 1329: 1.9065062570840366e-07
Position 1372: 1.4880246751087033e-07
Position 780: 7.638326677750422e-08
Position 1317: 5.236783284588366e-08
Position 782: 4.717819886971582e-08
Position 824: 1.2023952776217069e-08
Position 1403: 1.1072595272104273e-08
Position 1406: 7.248081377068921e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 836: 0.41784611142818795
Position 1055: 0.38614275367345685
Position 178: 0.109065352211661
Position 336: 0.10631635359726119
Position 1355: 0.0850946021101188
Position 870: 0.039304228234295954
Position 1028: 0.0326675481160136
Position 793: 0.023961877033797225
Position 1058: 0.02359785107211645
Position 207: 0.01853084895003378
Position 285: 0.01775774350365855
Position 341: 0.004488448279282745
Position 1324: 0.003996068271507339
Position 242: 0.0024372748534160246
Position 980: 0.002051899601609605
Position 1304: 0.0019568087208360224
Position 740: 0.0018115400208325281
Position 903: 0.0017894000903483811
Position 970: 0.0012410612267621736
Position 1193: 0.0010922276193637667
Position 1071: 0.0010467581412901958
Position 251: 0.0010357784152401385
Position 1428: 0.0010124350486850572
Position 892: 0.000924430851569761
Position 1137: 0.0007252467550461637
Position 1229: 0.0007095386193102305
Position 299: 0.0006566795933524434
Position 396: 0.0005964793576297029
Position 1282: 0.00041245884471821507
Position 400: 0.00036053090128572457
Position 820: 0.00029378725360545846
Position 761: 0.0002833199874857108
Position 858: 0.00022499738416782692
Position 607: 0.00021949404713172483
Position 1399: 0.0002059527617815141
Position 186: 0.00019278606165570728
Position 499: 0.0001598106203143566
Position 1402: 0.00015569542366241
Position 478: 0.00015516030859693864
Position 1455: 0.00011605926740798091
Position 1383: 0.0001027271162596753
Position 1177: 9.883729992003591e-05
Position 1112: 7.726709706804626e-05
Position 157: 7.035043901331374e-05
Position 671: 6.988348091865463e-05
Position 182: 6.81180795175286e-05
Position 798: 6.768514845608224e-05
Position 544: 6.551039053411984e-05
Position 359: 6.24032560050585e-05
Position 1239: 6.044587491444194e-05
Position 555: 5.619892167366042e-05
Position 880: 5.2367838409396e-05
Position 1416: 5.115216025510201e-05
Position 744: 4.987388444162683e-05
Position 494: 4.972003076621181e-05
Position 139: 4.864869043421948e-05
Position 611: 4.375175134356397e-05
Position 402: 4.2059391017217355e-05
Position 584: 3.973411519907001e-05
Position 1106: 3.802735948160302e-05
Position 146: 3.572096054798085e-05
Position 1144: 3.2303506221276966e-05
Position 1207: 2.514277153428907e-05
Position 1365: 2.121659608747752e-05
Position 353: 1.9845333652001366e-05
Position 536: 1.8683638215996115e-05
Position 803: 1.8362435608090948e-05
Position 410: 1.3610423965780907e-05
Position 463: 1.2785419708192663e-05
Position 1248: 1.2240958471507343e-05
Position 1413: 1.2051618163035566e-05
Position 1242: 1.1736644265271052e-05
Position 1102: 1.0913706071133358e-05
Position 509: 9.914253711803301e-06
Position 215: 9.538096457949064e-06
Position 132: 9.181210129850163e-06
Position 503: 8.807872306031883e-06
Position 480: 8.58848285023711e-06
Position 775: 8.128475149844255e-06
Position 1170: 7.90433571972807e-06
Position 150: 7.309846862393082e-06
Position 748: 7.2745613423431105e-06
Position 346: 7.234233700021596e-06
