Gene = Utf1
index = 1173
Annotated 5SS: [641]
Annotated 3SS: [737]
SMsplice 5SS: [641 819]
SMsplice 3SS: [737 982]
Partition function (log Z): -3.8085069516891346

Sorted 5' Splice Sites (High to Low Probability):
Position 641: 0.9725652153148766
Position 819: 0.8235823052029367
Position 40: 0.06427476594416287
Position 1139: 0.046966475722998856
Position 175: 0.02616825954230512
Position 1110: 0.009687150231693257
Position 156: 0.003162800973305138
Position 983: 0.00233862112447267
Position 811: 0.001151583005159021
Position 631: 0.0009587765280694421
Position 1127: 0.0007621461232413357
Position 105: 0.0005988174766067314
Position 403: 0.0005521332413252858
Position 655: 0.0005001370751463172
Position 609: 0.0004272166344636452
Position 1144: 0.0004263376232428967
Position 241: 0.000393046587407166
Position 547: 0.00034866353016255663
Position 275: 0.00034058277772269595
Position 324: 0.0002909056437550003
Position 480: 0.00028014272234705255
Position 243: 0.0002615858774682706
Position 926: 0.00022802584158202678
Position 378: 0.00022388091872803067
Position 126: 0.0002020825530232209
Position 5: 0.0001966125469541209
Position 1094: 0.00016963490717403446
Position 395: 0.00012629288349345577
Position 668: 0.00011584988590042673
Position 169: 0.0001002306092107794
Position 376: 9.205815596257694e-05
Position 183: 8.980459563085326e-05
Position 795: 7.146579614125658e-05
Position 966: 4.858420644721683e-05
Position 712: 3.9355862200084154e-05
Position 95: 3.419065907251977e-05
Position 441: 3.329970133736907e-05
Position 1075: 1.7365335075042542e-05
Position 1158: 1.4666093301905539e-05
Position 423: 1.415821020580373e-05
Position 7: 9.939403463938487e-06
Position 597: 8.964796330800937e-06
Position 575: 8.2795019433456e-06
Position 431: 7.905417211882348e-06
Position 9: 7.472395841518812e-06
Position 58: 5.565924939307835e-06
Position 1215: 4.6386742055312596e-06
Position 1049: 4.004846577667645e-06
Position 674: 2.610598310215857e-06
Position 994: 1.0319895873712931e-06
Position 1208: 9.15171286553363e-07
Position 1009: 3.886353392269931e-07
Position 997: 6.672683215978327e-08
Position 725: 2.8902782174014003e-08
Position 1241: 2.7032210924981493e-08
Position 734: 1.5399042100544993e-08
Position 716: 3.273203375126527e-09
Position 701: 3.123758584877236e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 737: 0.9746433416105522
Position 982: 0.7157027149401782
Position 1049: 0.06219257888977695
Position 1287: 0.04293905410888532
Position 1018: 0.03682786888600647
Position 501: 0.020095456521605486
Position 1228: 0.018452131242845494
Position 582: 0.01263033276212212
Position 739: 0.010623657540823344
Position 961: 0.009979958635639241
Position 261: 0.00992067794928355
Position 133: 0.009083176601729985
Position 1072: 0.004656877880298184
Position 423: 0.004360269283988508
Position 350: 0.0037281062981584846
Position 471: 0.0036306969709175305
Position 399: 0.0033717059408742804
Position 994: 0.0032401604068611808
Position 1215: 0.002071952128941191
Position 441: 0.0019984899405185333
Position 613: 0.0013944524991842389
Position 315: 0.0007846149984257986
Position 789: 0.0007148886968904282
Position 1305: 0.0006320675065380221
Position 234: 0.0006307553814188619
Position 745: 0.0005716839410634362
Position 1090: 0.0005083151800275496
Position 354: 0.0003621180267206645
Position 1203: 0.0003583756858446594
Position 1241: 0.00024392839848260114
Position 137: 0.0002292009819978196
Position 477: 0.00020649876407787823
Position 450: 0.00019348714154815167
Position 104: 0.00014108196083959722
Position 403: 0.00013265709134830164
Position 818: 0.00010904337609539675
Position 545: 0.00010323111706013172
Position 1158: 8.74536785759486e-05
Position 837: 5.517649716575859e-05
Position 931: 5.198743537622226e-05
Position 877: 4.992844277897887e-05
Position 811: 3.928323837931437e-05
Position 285: 3.434280150012039e-05
Position 1163: 2.8341619439908996e-05
Position 150: 1.857395515244415e-05
Position 795: 1.718000745804849e-05
Position 855: 1.6902339267003304e-05
Position 463: 1.3855185908182895e-05
Position 283: 1.2376444867484574e-05
Position 275: 8.379682118122363e-06
Position 943: 5.441240502950954e-06
Position 1109: 2.990910110666471e-06
Position 1099: 2.9297918379312274e-06
Position 82: 2.7935544352125636e-06
Position 291: 1.4019111725356585e-06
Position 694: 1.0549301864872314e-06
Position 636: 5.870025602382563e-07
Position 686: 1.9748628139981013e-07
Position 1171: 1.848836771952209e-07
Position 701: 5.021392879478684e-08
Position 640: 4.8239984316424426e-08
Position 666: 1.60408066054994e-08
Position 663: 1.6727680918194143e-09
Position 647: 4.777800061342024e-10
Position 644: 3.152093914345771e-10
Position 650: 1.9037375915831285e-10
