Gene = Pvrig
index = 877
Annotated 5SS: [108 549 749 887]
Annotated 3SS: [ 194  624  828 1160]
SMsplice 5SS: [108 749 887]
SMsplice 3SS: [624 828 982]
Partition function (log Z): -2.692518819649872

Sorted 5' Splice Sites (High to Low Probability):
Position 108: 0.9503901969651889
Position 749: 0.7088700703912127
Position 887: 0.6706058868055097
Position 549: 0.5703878457396108
Position 669: 0.10781334688726249
Position 1315: 0.04990845837746014
Position 293: 0.046946672124259584
Position 299: 0.029220145287752065
Position 1068: 0.008436622976310336
Position 363: 0.004940256689800572
Position 206: 0.0039139222778185575
Position 764: 0.0029886382622031516
Position 875: 0.002106525086940011
Position 131: 0.0010240937716541087
Position 731: 0.001022390839378615
Position 1055: 0.0010012299951695821
Position 1214: 0.0009463444806550601
Position 487: 0.0008347106286778688
Position 724: 0.0007129496139281823
Position 1280: 0.0004918670898045588
Position 759: 0.0003106846338602023
Position 790: 0.0002776585849938401
Position 266: 0.00027526522062785476
Position 152: 0.00024693541371183025
Position 706: 0.00020583844222626715
Position 261: 0.00019558977850215518
Position 1078: 0.00018392487220728233
Position 373: 0.00018203515993332005
Position 952: 0.00015768884983776942
Position 1011: 0.00012312153879983083
Position 218: 0.00011744914854688725
Position 507: 0.00010764016947289109
Position 254: 9.686253316515495e-05
Position 701: 9.518291124490605e-05
Position 927: 9.503796204351869e-05
Position 785: 8.614738433384048e-05
Position 208: 7.480445586807182e-05
Position 522: 6.977655796560611e-05
Position 1081: 6.946249901903278e-05
Position 306: 5.54199667940111e-05
Position 212: 4.52437982207232e-05
Position 693: 4.1907768503052445e-05
Position 829: 3.4263910811809065e-05
Position 68: 2.9386135646243823e-05
Position 1303: 2.658249949644674e-05
Position 515: 2.615299979034951e-05
Position 1324: 2.3959380621634815e-05
Position 1230: 1.691921123814939e-05
Position 416: 1.6816012872574944e-05
Position 317: 1.5972292914496537e-05
Position 98: 1.543206384203877e-05
Position 837: 1.5361368395931152e-05
Position 491: 1.3823009347781475e-05
Position 112: 1.3254481382923771e-05
Position 906: 1.1638782163278455e-05
Position 1151: 1.1250686427776108e-05
Position 1504: 1.0416966820727288e-05
Position 422: 8.624743306116623e-06
Position 145: 8.602782481770916e-06
Position 1493: 7.862366364049055e-06
Position 1127: 6.2142466828438476e-06
Position 1481: 5.572009605279823e-06
Position 1268: 5.0073944689506e-06
Position 553: 5.005049829266515e-06
Position 244: 4.454053405237039e-06
Position 96: 3.674543012367746e-06
Position 180: 2.9424653346366397e-06
Position 344: 2.5670878787817947e-06
Position 619: 2.0525295374296953e-06
Position 346: 1.6469043325211759e-06
Position 129: 1.5742720804417e-06
Position 1360: 1.0283865227167307e-06
Position 1479: 3.519275007968098e-07
Position 1451: 3.1839584544533033e-07
Position 617: 3.181545536490859e-07
Position 1459: 1.310191896417444e-07
