Gene = Lipt2
index = 639
Annotated 5SS: [471]
Annotated 3SS: [896]
SMsplice 5SS: [471]
SMsplice 3SS: [896]
Partition function (log Z): -7.294280496625573

Sorted 5' Splice Sites (High to Low Probability):
Position 471: 0.6723357481992537
Position 242: 0.37595884767574667
Position 138: 0.06740360075426174
Position 1052: 0.014261038922679856
Position 964: 0.013343167579994685
Position 1017: 0.012688155683380133
Position 992: 0.01065419070726107
Position 770: 0.002978864129809097
Position 1099: 0.0026678342788197754
Position 149: 0.002307399545674508
Position 619: 0.0013486223829159358
Position 605: 0.001333960165113832
Position 44: 0.001110534956164785
Position 1093: 0.0010593909312103789
Position 121: 0.0009371543262023014
Position 308: 0.0005537946240704779
Position 787: 0.00047292191652115265
Position 1942: 0.0004096887559501252
Position 945: 0.0004065812874115478
Position 382: 0.00037095550000055644
Position 977: 0.0003135003031403374
Position 170: 0.0002693319261524948
Position 39: 0.0002474809020575706
Position 727: 0.0002457018331469665
Position 1004: 0.00018739623985044673
Position 367: 0.00018008257456126808
Position 1160: 0.0001683041815439522
Position 1399: 0.00016197799789139327
Position 1043: 0.00014699001554154285
Position 1735: 0.0001406799728843201
Position 20: 0.00013213214641228868
Position 140: 0.00012701747661937422
Position 800: 0.000112772921972886
Position 374: 0.0001012830641602532
Position 922: 9.890513987357109e-05
Position 600: 9.504004149341417e-05
Position 1192: 6.781574087238117e-05
Position 592: 6.481255072783641e-05
Position 984: 4.2828307616417545e-05
Position 292: 3.7673325049080585e-05
Position 1311: 3.406809519829897e-05
Position 192: 3.174088889299964e-05
Position 1601: 2.150646874490388e-05
Position 7: 2.071685022051521e-05
Position 1907: 2.040951313526897e-05
Position 350: 1.7064777053887535e-05
Position 776: 1.5714679120335053e-05
Position 774: 1.3930296432659232e-05
Position 67: 1.1607351360212766e-05
Position 725: 1.1514332629697027e-05
Position 899: 1.0487663158679925e-05
Position 629: 9.522504150062685e-06
Position 1419: 8.780209691008375e-06
Position 1037: 8.268727664373724e-06
Position 1182: 6.6706693559335525e-06
Position 1477: 6.095674617631159e-06
Position 860: 6.085475938854857e-06
Position 1255: 6.010270446129909e-06
Position 692: 5.697505649626999e-06
Position 1070: 5.555688164695414e-06
Position 1486: 3.3081203474696535e-06
Position 29: 2.805430935644253e-06
Position 17: 2.124707009288562e-06
Position 437: 1.6066002262005935e-06
Position 1358: 1.6002014950234096e-06
Position 1544: 1.4903007335810622e-06
Position 1911: 1.3938182889604915e-06
Position 1483: 1.3306593104931767e-06
Position 1698: 1.046461842597226e-06
Position 1245: 1.0301914322394623e-06
Position 1417: 7.09517297279282e-07
Position 1462: 6.90692075872293e-07
Position 1513: 6.192485363746862e-07
Position 1712: 5.83047792325534e-07
Position 1559: 5.281434301690363e-07
Position 1669: 3.3420230342531965e-07
Position 690: 3.2272874275660257e-07
Position 906: 2.2642269649456104e-07
Position 1567: 1.9717561189587298e-07
Position 1590: 1.3613950309146915e-07
Position 1662: 1.1968398537542885e-07
Position 1917: 1.1760651007345182e-07
Position 1835: 9.795021472044759e-08
Position 1655: 7.070221521428068e-08
Position 1782: 6.399926914953161e-08
Position 1640: 5.582858403902416e-08
Position 1807: 5.019562736991188e-08
Position 1522: 4.944294971063068e-08
Position 1946: 3.652292839976001e-08
Position 1527: 2.542530988992698e-08
Position 1799: 1.4247725803155024e-08
Position 888: 1.3172250722246003e-08
Position 1499: 1.2619297069271217e-08
Position 1801: 1.0940355673890702e-08
Position 1949: 1.909302925239798e-09
Position 2005: 1.4219472950060493e-09
Position 1976: 2.1156018325065126e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 896: 0.974569997712008
Position 329: 0.11508167942311137
Position 1512: 0.030110041602269728
Position 1331: 0.016272125734055856
Position 403: 0.009129601463779878
Position 1290: 0.007958201067361474
Position 1227: 0.0034053431713148
Position 1081: 0.0031327496969570795
Position 2026: 0.002824844842160894
Position 1462: 0.0026436536992189346
Position 824: 0.0022313917910677735
Position 364: 0.001808784245780132
Position 649: 0.0017047014551013755
Position 899: 0.0015091389844722745
Position 1811: 0.0013993108192584536
Position 1262: 0.0011398728280372378
Position 1941: 0.0009803459512245083
Position 241: 0.0008693844914959432
Position 1116: 0.0007332807381501773
Position 292: 0.0006537087583231446
Position 1554: 0.0006002051299156877
Position 1697: 0.0005562731456304536
Position 714: 0.0004220644946976399
Position 1794: 0.0004002855215587892
Position 757: 0.00039134978827661795
Position 1052: 0.000338181974483667
Position 736: 0.00030565176487190186
Position 1171: 0.00025574711865722284
Position 2061: 0.0002315407686382565
Position 1199: 0.00022843011643177138
Position 1580: 0.00022427623537355255
Position 618: 0.00022201987471651155
Position 1705: 0.00021276226119070748
Position 1601: 0.00020884594165485488
Position 1848: 0.00020039481513261438
Position 208: 0.00014431319827002504
Position 1364: 0.00014285634982238708
Position 764: 0.00012712445232887493
Position 605: 0.00011875483502388266
Position 1084: 0.00011856750210537321
Position 830: 0.00011384816324034247
Position 1496: 0.00011066440548451811
Position 1499: 0.00010911295560908537
Position 1757: 0.00010840146875671118
Position 1844: 0.00010802828654316496
Position 1548: 9.50460722195766e-05
Position 211: 9.094202150955749e-05
Position 1989: 7.813247627733474e-05
Position 1669: 7.509147302142906e-05
Position 1827: 7.036895880877263e-05
Position 1417: 6.49767413185211e-05
Position 578: 6.123359046848045e-05
Position 1093: 5.48968663041137e-05
Position 1471: 5.408966872454545e-05
Position 1122: 4.914641252861841e-05
Position 2074: 4.470583314621526e-05
Position 1959: 4.106535087605136e-05
Position 1111: 3.9878087271889524e-05
Position 457: 3.887773472626911e-05
Position 161: 3.764023380920284e-05
Position 1824: 3.617724823248588e-05
Position 134: 3.276521730580077e-05
Position 1606: 3.245240527333763e-05
Position 583: 3.219724326627327e-05
Position 1245: 3.168515899132826e-05
Position 1021: 3.0107369346375402e-05
Position 1946: 3.0094811509415242e-05
Position 1894: 2.690874741907121e-05
Position 787: 2.6666428526403234e-05
Position 1032: 2.523648263717336e-05
Position 807: 2.431587971995045e-05
Position 645: 2.315457692146622e-05
Position 794: 2.2536734854417723e-05
Position 1375: 2.158570643127344e-05
Position 1926: 2.0307159832692417e-05
Position 1483: 1.9633025108066135e-05
Position 855: 1.8040188958219473e-05
Position 852: 1.7495159860145145e-05
Position 1358: 1.7336801963361344e-05
Position 600: 1.72870240532077e-05
Position 1583: 1.5257040183609397e-05
Position 1640: 1.4965953614891518e-05
Position 557: 1.4058425816820836e-05
Position 1522: 1.3038528381250072e-05
Position 875: 1.2965928950143046e-05
Position 970: 1.2846405659717501e-05
Position 719: 1.2831046108118723e-05
Position 1298: 1.2678000083662879e-05
Position 1408: 1.2672606110467241e-05
Position 1782: 1.2566391727041107e-05
Position 2046: 1.1382646457182089e-05
Position 1734: 9.669461729462936e-06
Position 2040: 8.670554207849814e-06
Position 1128: 8.069288684389243e-06
Position 770: 7.670390060419551e-06
Position 1255: 7.263865124126426e-06
Position 912: 7.140409846787683e-06
Position 1821: 6.3499907285215805e-06
Position 1017: 5.942075746913217e-06
Position 157: 5.8708977792026345e-06
Position 97: 5.7753645357505275e-06
Position 225: 5.110191988899588e-06
Position 1235: 4.803630148038742e-06
Position 590: 4.424469491200765e-06
Position 1917: 3.824705220379147e-06
Position 451: 3.7472309371382313e-06
Position 1182: 3.678768617752089e-06
Position 1175: 3.616825548368801e-06
Position 73: 3.5764844806249875e-06
Position 1976: 3.426225466710041e-06
Position 1004: 2.7572136668410506e-06
Position 860: 2.2607303595829305e-06
Position 1762: 2.0973997497726777e-06
Position 1771: 2.0696733592728965e-06
Position 510: 1.6823490713345096e-06
Position 1707: 1.5940675300182706e-06
Position 1853: 1.5556448310460122e-06
Position 832: 1.4776977022605924e-06
Position 1559: 1.0419682542848152e-06
Position 1928: 9.348048203458641e-07
Position 1718: 9.016549601576642e-07
Position 842: 8.470645513745165e-07
Position 1192: 8.342224481538254e-07
Position 1613: 8.177352460383633e-07
Position 1764: 7.879240983165175e-07
Position 774: 6.331365299158487e-07
Position 1716: 6.316459941227283e-07
Position 1729: 6.0206701397645e-07
Position 592: 3.2399712020145755e-07
Position 475: 2.6342902039664723e-07
Position 1609: 1.8024793825338448e-07
Position 501: 8.021406120840523e-08
Position 76: 7.064774368970316e-08
Position 1766: 6.978452003810263e-08
Position 1567: 4.009175183927063e-08
Position 101: 3.6536693819298286e-08
Position 526: 3.2628023036591145e-08
