Gene = Ndufa3
index = 735
Annotated 5SS: [  35  319 2135]
Annotated 3SS: [ 243 2056 2627]
SMsplice 5SS: [ 127  319 2135]
SMsplice 3SS: [ 243 2056 2627]
Partition function (log Z): -2.1653179064166936

Sorted 5' Splice Sites (High to Low Probability):
Position 2135: 0.977368722217726
Position 319: 0.8809105573146658
Position 127: 0.4931272461289058
Position 35: 0.31285159314390903
Position 768: 0.20082773728782047
Position 967: 0.17658985584717068
Position 45: 0.0737198077151599
Position 1391: 0.03725106509210248
Position 599: 0.027727298219646507
Position 1905: 0.021997468086972737
Position 633: 0.01135584517997062
Position 67: 0.005518737987822056
Position 458: 0.00515753740414846
Position 1342: 0.004753179797017268
Position 178: 0.004319388859411659
Position 165: 0.002755177207535701
Position 959: 0.0025207665308555898
Position 1360: 0.0013697681343033945
Position 2091: 0.0012721336412331173
Position 1003: 0.0012079092196908376
Position 39: 0.0010955969666743958
Position 1490: 0.0009817892811263154
Position 1632: 0.0008995370789883837
Position 134: 0.0008614011853274419
Position 1395: 0.0007590038819868199
Position 103: 0.0007094580372494606
Position 854: 0.0006809109441192498
Position 1954: 0.000584634803153401
Position 83: 0.000527445507405485
Position 387: 0.0004678114164375184
Position 346: 0.00044028869708378663
Position 1560: 0.00038100546204566314
Position 2176: 0.00036377593574305617
Position 820: 0.00033390819997685447
Position 772: 0.00030230890869461456
Position 558: 0.0002996754422345615
Position 285: 0.00027861081573088425
Position 198: 0.0002657365999646917
Position 1364: 0.00025254893166752076
Position 662: 0.0002460839584630644
Position 430: 0.00024048834435589058
Position 1919: 0.00023833167745199814
Position 220: 0.00018300876380300952
Position 365: 0.00016320600762772974
Position 677: 0.0001548305499869827
Position 606: 0.00014162743925294336
Position 673: 0.000139592286117166
Position 95: 0.00013568482156500294
Position 484: 0.00011553275599310174
Position 1910: 0.00011298039539036466
Position 156: 0.0001125811272214344
Position 1083: 0.0001094367794156629
Position 706: 9.69157434117257e-05
Position 801: 9.44456662432228e-05
Position 323: 9.05024450434631e-05
Position 2399: 8.924234413099544e-05
Position 1855: 7.841436438401897e-05
Position 291: 7.330835645834045e-05
Position 2716: 7.15653206169941e-05
Position 568: 6.24788200637809e-05
Position 775: 6.235274449238543e-05
