Gene = 1810037I17Rik
index = 23
Annotated 5SS: [454]
Annotated 3SS: [1275]
SMsplice 5SS: [454]
SMsplice 3SS: [1275]
Partition function (log Z): -9.759071726041833

Sorted 5' Splice Sites (High to Low Probability):
Position 454: 0.7982040769290916
Position 263: 0.17691714812582024
Position 751: 0.019337897884625636
Position 282: 0.011680623804246745
Position 1412: 0.007365246797739142
Position 219: 0.004760839695199072
Position 458: 0.0032984741811003864
Position 1059: 0.0021245783628719302
Position 695: 0.0014868331783822466
Position 102: 0.0012013032500213024
Position 1451: 0.0010295974049879075
Position 656: 0.0009158376849925375
Position 427: 0.0008956731776946282
Position 939: 0.0006436245089220579
Position 352: 0.0004356990263772493
Position 663: 0.00038313681566829854
Position 1010: 0.00035089499476788875
Position 972: 0.0003321874748846878
Position 1528: 0.0003013449397612237
Position 1150: 0.00028976426558959456
Position 738: 0.00026479800812876514
Position 439: 0.00025308592336892354
Position 1079: 0.0002167369860357898
Position 291: 0.00019558602009918797
Position 779: 0.00016129510438419044
Position 906: 0.0001514612171502095
Position 1126: 0.00012229053664373634
Position 230: 0.00011978218467321432
Position 1280: 0.00010186203019104302
Position 948: 8.363706818696046e-05
Position 661: 8.164164532381529e-05
Position 1045: 7.527232650102092e-05
Position 634: 6.937695268263116e-05
Position 161: 6.162246434555968e-05
Position 1050: 5.99568389815059e-05
Position 1445: 5.511881781163169e-05
Position 603: 4.81198439961286e-05
Position 801: 4.556023037028935e-05
Position 1424: 3.9789411063290436e-05
Position 1460: 3.839105930442329e-05
Position 313: 3.69312313996439e-05
Position 431: 3.416374246080359e-05
Position 755: 3.391336186258479e-05
Position 630: 3.15422875822873e-05
Position 1179: 3.136715816657028e-05
Position 786: 2.678574449405626e-05
Position 241: 2.5472949141172724e-05
Position 1259: 2.4894233809504055e-05
Position 48: 2.096277712605221e-05
Position 1310: 1.9801130409833376e-05
Position 467: 1.7981079483284103e-05
Position 40: 1.755884240365775e-05
Position 174: 1.544144937267083e-05
Position 601: 1.5104344187613098e-05
Position 475: 1.472295796974515e-05
Position 1708: 1.4662130186407295e-05
Position 293: 1.3482231155875308e-05
Position 1509: 1.3197091833820166e-05
Position 188: 1.2639749172082137e-05
Position 891: 1.2249179641103619e-05
Position 1624: 1.1404502989672528e-05
Position 508: 1.0750782095425418e-05
Position 1094: 9.089166418365176e-06
Position 1188: 8.242781550076841e-06
Position 977: 7.390840167290925e-06
Position 815: 7.135051927654935e-06
Position 1728: 6.587044942674001e-06
Position 1435: 6.311982076128574e-06
Position 224: 5.413104874824383e-06
Position 211: 5.16214809733089e-06
Position 853: 4.808331117634584e-06
Position 1500: 4.773934250184948e-06
Position 1496: 2.9177284457916253e-06
Position 1027: 2.758099555611088e-06
Position 589: 2.691316888120174e-06
Position 926: 2.6026602542079755e-06
Position 1748: 1.942221613666527e-06
Position 1289: 1.6066151589411852e-06
Position 1205: 1.5991282535582919e-06
Position 437: 1.551767461459449e-06
Position 1532: 1.4591444631817078e-06
