Gene = DLEC1
index = 449
Annotated 5SS: [  432  6489 20648 23164 23597 24715 45041 46243 47173 49184 53676 54563
 55867 56742 57533 58071 58433 58698 61221 68533 69311 70358 71077 72543
 73157 75256 75849 77454 77685 77896 78098 78407 78820 81405 82577 82990]
Annotated 3SS: [ 6337 20536 22963 23375 24635 44952 46068 47035 49090 53584 54399 55673
 56682 57363 57976 58301 58538 61080 68378 69199 70226 70893 72471 73004
 75136 75777 77247 77567 77769 78002 78321 78600 81242 82422 82865 83083]
SMsplice 5SS: [  432 10120 12322 20648 23164 45041 47173 49184 53676 58071 58433 58698
 61221 68533 69669 73157 75849 77896 78820 82577 82990]
SMsplice 3SS: [10013 12188 20536 22963 44952 47035 49090 53584 57976 58301 58598 61080
 68378 69598 73066 75777 77769 78706 82422 82865 83083]
top_k =  1000
Partition function (log Z): -31.001525808362057

Sorted 5' Splice Sites (High to Low Probability):
Position 432: 0.9726077863108596
Position 20648: 0.9619103895566751
Position 10120: 0.8140312801344348
Position 12322: 0.7000698729731315
Position 23164: 0.6980944216366083
Position 15645: 0.4585253644646885
Position 20005: 0.37369560314533395
Position 6489: 0.32694294758140763
Position 20911: 0.3218237719236156
Position 10776: 0.3035752605198192
Position 6868: 0.2958773765138695
Position 23597: 0.29238104371363
Position 19990: 0.2034087177316001
Position 11360: 0.1582327345014953
Position 10115: 0.14020746359505126
Position 19994: 0.11673232697144331
Position 9341: 0.0777650921476636
Position 27458: 0.077222112095465
Position 8976: 0.07577657537292515
Position 7340: 0.06844457777431061
Position 9449: 0.06270961676303735
Position 10840: 0.06113449159549817
Position 22367: 0.05530830176911162
Position 15286: 0.04682439562744928
Position 24715: 0.045895158538256556
Position 15458: 0.0454607105398278
Position 6111: 0.04483862166058024
Position 6662: 0.04264739436358826
Position 28187: 0.030279619573308228
Position 8761: 0.02687952118661717
Position 12964: 0.023843139069067446
Position 11332: 0.02288808211042612
Position 506: 0.021747389600480962
Position 2429: 0.020789964689974808
Position 6290: 0.018705255240676504
Position 13443: 0.018039257237760814
Position 7150: 0.015527933530727444
Position 8791: 0.015317009943888793
Position 13407: 0.015252815151204418
Position 17939: 0.015224877674156222
Position 8803: 0.014639507133872095
Position 4122: 0.012606932797103863
Position 7870: 0.011893875207755205
Position 16500: 0.01187478783787957
Position 7874: 0.011836676341229728
Position 10092: 0.011692114783520002
Position 21096: 0.011121713749215093
Position 13519: 0.01096756219831198
Position 1249: 0.010220568903084514
Position 16256: 0.009872635945189966
Position 19746: 0.008145151327651264
Position 17850: 0.008101266796328808
Position 4133: 0.006622882754551041
Position 6899: 0.006365766995827527
Position 15486: 0.00614903749059984
Position 1778: 0.005911072737711388
Position 21086: 0.005736279909328723
Position 8713: 0.005619282314034187
Position 7200: 0.0055633538849861825
Position 2216: 0.005331125281477719
Position 9640: 0.00518835396342488
Position 6884: 0.004929244441740517
Position 6478: 0.004890419175880449
Position 9426: 0.004035552907859491
Position 116: 0.003121224945365541
Position 6264: 0.002908952611479724
Position 464: 0.002876031047170299
Position 22564: 0.0026594759065370712
Position 15607: 0.002503243809933414
Position 6668: 0.002437467505431169
Position 22838: 0.002227580367050459
Position 89: 0.0016792002549948777
Position 357: 0.0014783091579316416
Position 640: 0.0012732233363336274
Position 24513: 0.0012230179606126147
Position 1283: 0.0010104940912428547
Position 1000: 0.0009909187181165397
Position 4221: 0.0009823909915526185
Position 4652: 0.0009526794958340756
Position 25123: 0.0008024973717105212
Position 8527: 0.000732465591335878
Position 50: 0.0006589244279190859
Position 4478: 0.000583958947337957
Position 2530: 0.0005616285552657119
Position 5926: 0.0005444169402199986
Position 3630: 0.0005199804885377144
Position 3805: 0.0002437379728488942
Position 146: 0.00023144033432017971
Position 14829: 0.00020250440274306432
Position 5123: 0.0001894203861793178
Position 23088: 0.0001837112645813288
Position 8101: 0.0001371652946157606
Position 8626: 0.00013005627715459794
Position 7724: 0.00011425326063790163
Position 9000: 9.950903131472868e-05
Position 6927: 8.192306811454769e-05
Position 7196: 3.105545184761322e-05
Position 155: 2.1477780350040108e-05
Position 21069: 1.6618270079120325e-05
Position 7271: 1.076518634917417e-05
Position 6473: 1.0048653521590137e-05
Position 410: 9.146055070299526e-06
Position 4194: 8.980220023164154e-06
Position 7386: 8.61003510231605e-06
Position 491: 6.461079314954218e-06
