Gene = CYSRT1
index = 423
Annotated 5SS: [599]
Annotated 3SS: [978]
SMsplice 5SS: [190 599]
SMsplice 3SS: [506 978]
top_k =  1000
Partition function (log Z): -5.344786411027461

Sorted 5' Splice Sites (High to Low Probability):
Position 599: 0.9832344654760125
Position 190: 0.6315833388115211
Position 894: 0.11488925195958676
Position 831: 0.08565799222031754
Position 1080: 0.032197835113894395
Position 194: 0.03129318371534438
Position 338: 0.022768342497386757
Position 133: 0.004630548191387725
Position 1198: 0.0019713900045291223
Position 1173: 0.0018937923879039364
Position 357: 0.0018506622891989095
Position 1073: 0.001781682100579832
Position 647: 0.001522375243218164
Position 26: 0.0007219166118591099
Position 1125: 0.0003182062604570831
Position 1005: 0.00010205358652850367
Position 261: 5.254680253801662e-05
Position 192: 4.7447113835299383e-05
Position 1135: 4.531318721162323e-05
Position 20: 3.3992227383711424e-05
Position 436: 3.3438490099311694e-05
Position 425: 2.1812902923415137e-05
Position 747: 1.8121172837288174e-05
Position 365: 4.670216973738172e-06
Position 350: 3.6134938837020977e-06
Position 921: 2.345578199258857e-06
Position 428: 1.2041587194392648e-06
Position 1568: 6.191656999907836e-07
Position 586: 1.3160011296136553e-07
Position 952: 8.319277356267475e-09
Position 946: 3.680346514547382e-09
Position 584: 2.8410206751281232e-09
Position 527: 1.066416206259817e-09
Position 1093: 2.6288734500708855e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 978: 0.8622079606434795
Position 506: 0.5747235178235549
Position 695: 0.25980902287965507
Position 509: 0.0335560211419572
Position 294: 0.029681022715799588
Position 256: 0.020912864069033307
Position 674: 0.020874152006137018
Position 1223: 0.01805890757715932
Position 1163: 0.01599181571283742
Position 1540: 0.011094240391524528
Position 1396: 0.008809832059472675
Position 916: 0.006773604904431835
Position 375: 0.005651241547383951
Position 540: 0.005544683488355766
Position 1143: 0.0042570344909383965
Position 1421: 0.004110569100489598
Position 516: 0.003931352699953046
Position 810: 0.0035462416561964677
Position 706: 0.0033313472762239713
Position 1264: 0.003175595200315892
Position 1109: 0.002433003843299113
Position 1261: 0.0022305076305932626
Position 365: 0.002091903541565737
Position 1229: 0.0019235113740164052
Position 554: 0.001897894012378866
Position 1033: 0.001686947226855851
Position 1232: 0.001366598171190357
Position 436: 0.0011050742757914376
Position 1439: 0.0010697616214534872
Position 1115: 0.0007244728512903197
Position 721: 0.0004523719823139309
Position 1445: 0.0003344451054451559
Position 999: 0.00030658844927112773
Position 405: 0.00024392353401336597
Position 323: 0.00018997063057253283
Position 830: 0.0001852425398234229
Position 411: 0.00016663245802819052
Position 382: 0.00015550390347866304
Position 753: 0.00014803337002180627
Position 1642: 0.0001305622249192777
Position 258: 0.0001265365909245111
Position 1145: 0.00012465813311470276
Position 316: 0.00012415550580428155
Position 1070: 0.00010605386943864441
Position 1172: 0.00010336500089726507
Position 946: 0.0001022651249038061
Position 1426: 0.00010074800535748086
Position 1179: 9.870303365532838e-05
Position 1554: 8.908775164854998e-05
Position 598: 7.90308064222775e-05
Position 1073: 7.80583877192043e-05
Position 1477: 7.630571317811428e-05
Position 1244: 5.2385776434989654e-05
Position 1605: 5.135091934630532e-05
Position 1563: 4.945822052795246e-05
Position 1205: 4.894923004222209e-05
Position 527: 4.8873324113772426e-05
Position 1267: 4.0838167235434334e-05
Position 342: 3.893739491710259e-05
Position 928: 3.867087646753259e-05
Position 422: 3.0650266117605104e-05
Position 744: 2.9350739415771194e-05
Position 1196: 1.9407681782954514e-05
Position 299: 1.7944784726248533e-05
Position 305: 1.6604906826807034e-05
Position 1277: 1.6332795597286533e-05
Position 477: 1.3207791865041286e-05
Position 1125: 1.2763041440059993e-05
Position 556: 1.1544530772564067e-05
Position 1187: 1.0978828147068566e-05
Position 270: 1.0888018729065412e-05
Position 1001: 7.853784252103287e-06
Position 1241: 4.505283658094617e-06
Position 1567: 3.3939210077696276e-06
Position 377: 2.9148075714709017e-06
Position 869: 2.8646303907521957e-06
Position 1579: 2.13753310196746e-06
Position 732: 1.5332303358147674e-06
Position 1452: 1.0832232887116928e-06
Position 350: 1.0391056682020158e-06
Position 561: 1.010499373471685e-06
Position 634: 3.405110623080175e-07
Position 217: 2.8215008432091385e-07
Position 726: 2.642016403314563e-07
Position 577: 2.2247601586695785e-07
Position 564: 1.5354441427560775e-07
Position 645: 1.4321673384743806e-07
Position 189: 1.1340408315823483e-07
Position 144: 9.608783503634277e-08
Position 760: 7.326749321191529e-08
Position 570: 6.216775833654238e-08
Position 147: 4.703017407943454e-08
Position 93: 2.801729875280261e-08
Position 572: 1.3439451087112061e-08
Position 125: 1.1918369494688352e-08
Position 879: 1.0844467783487e-08
Position 603: 6.411539374818919e-09
Position 1013: 4.75804597823035e-09
Position 90: 4.60905266573946e-09
Position 149: 4.03703114069961e-09
Position 232: 3.444135647323214e-09
Position 651: 2.588518133465934e-09
Position 96: 1.7066096099102913e-09
Position 85: 9.595849483336863e-10
Position 100: 3.6448878452590476e-10
Position 155: 1.1637063028291775e-10
Position 110: 5.2954792895079096e-11
Position 163: 2.2208344282928085e-11
Position 108: 2.1094607889974344e-11
Position 166: 9.264682593553252e-12
Position 157: 2.484924564924161e-12
Position 198: 2.3876001599975785e-12
