Gene = GM2A
index = 601
Annotated 5SS: [  406  7025 14022]
Annotated 3SS: [ 6862 13838 14403]
SMsplice 5SS: [  406  7025 14022]
SMsplice 3SS: [ 6862 13838 14108]
top_k =  1000
Partition function (log Z): -6.717056738839636

Sorted 5' Splice Sites (High to Low Probability):
Position 406: 0.9988709911509072
Position 14022: 0.9030103234069987
Position 7025: 0.8860236369443688
Position 11070: 0.4050901039805442
Position 4977: 0.25522512665170605
Position 13773: 0.23470886372092095
Position 7242: 0.09986059501869324
Position 16075: 0.09679708768288854
Position 6186: 0.09653915551784559
Position 4981: 0.09136393614544033
Position 10679: 0.08673978656475186
Position 4500: 0.0856255264226507
Position 11766: 0.06922572378228667
Position 5527: 0.06833579187845353
Position 14674: 0.06612566971584107
Position 5455: 0.049076371299593816
Position 5283: 0.04464795025947041
Position 5899: 0.044382575135398186
Position 14312: 0.03312802269822363
Position 14600: 0.03077582504590114
Position 5073: 0.030219217124250436
Position 2003: 0.028212756321456037
Position 2018: 0.026140125458953882
Position 12291: 0.020664707884982297
Position 6573: 0.019015615808028633
Position 243: 0.01677619727119976
Position 2997: 0.015958951543385443
Position 14129: 0.014594547690525782
Position 14589: 0.011948732585221113
Position 14214: 0.011442446895037055
Position 6010: 0.006086606831522938
Position 3064: 0.00586466446185948
Position 14591: 0.005799526642875557
Position 15183: 0.004613944751095784
Position 7037: 0.003749947460021646
Position 14280: 0.0031382076226991193
Position 2313: 0.00269133302079067
Position 185: 0.0025262652761424776
Position 13935: 0.0019114297694311153
Position 12317: 0.0016684844276077604
Position 1405: 0.001654123591672796
Position 2134: 0.0016087151716250212
Position 4504: 0.001595634022817088
Position 1303: 0.0014526743085434156
Position 16095: 0.0012840149918417628
Position 809: 0.0011544326054424882
Position 165: 0.0010563139105276005
Position 2713: 0.0009076895465267626
Position 2940: 0.0008705789822804032
Position 4736: 0.0007267361259907422
Position 13912: 0.0007213595220788438
Position 220: 0.0005401892357125642
Position 14026: 0.0005335372395808579
Position 5859: 0.00033096669736714946
Position 5854: 0.00032939621761290223
Position 14177: 0.0002573252361620703
Position 5257: 0.00025166508582937023
Position 2103: 0.00024383705106474288
Position 459: 0.0002237015800546947
Position 7055: 0.00020719290865830895
Position 5370: 0.00017299393122664379
Position 13930: 9.380433692471341e-05
Position 15775: 9.376574315384603e-05
Position 4093: 9.109393049176372e-05
Position 3532: 8.00426513772475e-05
Position 1477: 7.64710501411497e-05
Position 3927: 6.619593985913767e-05
Position 3107: 6.372689313455964e-05
Position 13946: 6.055687060944407e-05
Position 1599: 4.922986556347289e-05
Position 830: 4.1085420582535315e-05
Position 467: 3.837238154432905e-05
Position 4326: 3.595821214593586e-05
Position 1280: 3.5022489477672666e-05
Position 3699: 3.446910145495082e-05
Position 2993: 2.895913662100648e-05
Position 557: 2.7142167345023403e-05
Position 536: 2.5920814810942912e-05
Position 875: 2.432252832338205e-05
Position 48: 2.414949308580526e-05
Position 4175: 1.6969773460644663e-05
Position 4442: 7.041548289086124e-06
Position 2229: 2.798655207326758e-06
Position 1664: 2.0676241498126156e-06
Position 1933: 2.033312520656643e-06
Position 4308: 1.4565389554140684e-06
Position 2815: 1.1936866506244521e-06
Position 1708: 1.0348384829800432e-06
Position 2552: 9.07475251793543e-07
Position 2396: 8.891639160998123e-07
Position 2667: 7.018939804121082e-07
Position 1948: 6.746157453117116e-07
Position 1987: 5.197889568401946e-07
Position 1464: 5.003996146361054e-07
Position 2709: 4.5297087190997586e-07
Position 1655: 3.6894622132612286e-07
Position 2583: 3.2518041767016424e-07
Position 461: 2.443424172391061e-07
Position 296: 2.4369502440432254e-07
Position 2843: 2.0358322374760202e-07
Position 1897: 1.5689331902892222e-07
Position 428: 1.4489027979670935e-07
Position 2077: 1.0320090266994504e-07
Position 1307: 9.737478033476331e-08
Position 1385: 8.28040576385359e-08
Position 1668: 8.224001551449361e-08
Position 1033: 6.123493485534858e-08
Position 511: 1.9440540247717463e-08
Position 410: 1.1623295076690536e-08
Position 1038: 1.1369165239538059e-08
Position 486: 7.83388932151492e-09
Position 2569: 7.168708203326137e-09
Position 912: 3.5463169867241326e-09
Position 561: 2.0173142983434964e-09
Position 1156: 1.3807151459467942e-09
Position 572: 1.287976964965105e-09
Position 1168: 1.2536294146068234e-09
Position 432: 9.90626269029025e-10
Position 627: 3.650587022796192e-10
Position 330: 9.521395304683798e-11
Position 662: 7.041039603430666e-11
Position 894: 1.6474105198955653e-11
Position 589: 9.289835257083465e-12
Position 17: 8.249853205611483e-12
Position 711: 7.822444520793227e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 13838: 0.9272367999323265
Position 6862: 0.8477359876549687
Position 14108: 0.4186319809625666
Position 14403: 0.3671516668726083
Position 10809: 0.2856971017134664
Position 16019: 0.24979830275560602
Position 4832: 0.2378329319437307
Position 13690: 0.2365116279371484
Position 4850: 0.09712901750929696
Position 7176: 0.08179763676837919
Position 5254: 0.0756010732526553
Position 5676: 0.062258947027604324
Position 5949: 0.06130322227576227
Position 10753: 0.05937925402535867
Position 17257: 0.05123509908324222
Position 10971: 0.04277397292050212
Position 10589: 0.041816170866818936
Position 11633: 0.036158780033993344
Position 5130: 0.03613710970480138
Position 10527: 0.03248692552957733
Position 16458: 0.03246347181751872
Position 1910: 0.031074518506588763
Position 4452: 0.03058562962421958
Position 16868: 0.029344994083104124
Position 11604: 0.027894619595529246
Position 4234: 0.024007586859504
Position 12213: 0.0226924047463803
Position 5229: 0.02061571362531192
Position 10806: 0.019539236200239528
Position 4759: 0.018861798260346226
Position 6461: 0.01849122282011637
Position 330: 0.017937319835497432
Position 16496: 0.015628004114472332
Position 6905: 0.015430738562882039
Position 4398: 0.015343615694440203
Position 4278: 0.014804869446262097
Position 2923: 0.013744660047025358
Position 14723: 0.013268032917887397
Position 10539: 0.012501203024396921
Position 5370: 0.012000622599704688
Position 6871: 0.011863021052821571
Position 1978: 0.011174577114708772
Position 15074: 0.00947857711996005
Position 6114: 0.009382984048848603
Position 17215: 0.008536188182295451
Position 7119: 0.008355521442324244
Position 5985: 0.008256089212411458
Position 15289: 0.007894302283981466
Position 2838: 0.007228068394620671
Position 4862: 0.006697663791050166
Position 5277: 0.00588065771579375
Position 6930: 0.005600934642277958
Position 4533: 0.005556407989761786
Position 15986: 0.005337753283428939
Position 15182: 0.005249393218310369
Position 16538: 0.0049401481533576375
Position 14835: 0.004793983364063235
Position 7135: 0.0045516133948920855
Position 4672: 0.004528294195781486
Position 1818: 0.004496165901082852
Position 15894: 0.0042681580549117195
Position 11515: 0.004008152821255758
Position 5069: 0.003979645418284302
Position 6910: 0.0039577751387509805
Position 1881: 0.0038912632044655155
Position 16197: 0.0034746297897957747
Position 5260: 0.0031881192758955353
Position 6807: 0.0031333192942949524
Position 6057: 0.0028376934123025828
Position 7111: 0.0026085558605880113
Position 5304: 0.0025195113440184833
Position 6104: 0.0024681828971862114
Position 5282: 0.0024354441538851483
Position 2161: 0.002042822430886919
Position 9338: 0.0020344941912622677
Position 17371: 0.002008265392318253
Position 16159: 0.0019205355535680685
Position 287: 0.0018744422713093737
Position 4736: 0.0018588128724506743
Position 6981: 0.001789543356480423
Position 8571: 0.0016202347329936483
Position 5336: 0.0013497253954923832
Position 16753: 0.0013435308905466025
Position 7192: 0.0013203039219423828
Position 2811: 0.0012629280191315706
Position 1755: 0.0012574254768266755
Position 2671: 0.0012082943798416338
Position 15613: 0.0011794738031650665
Position 4503: 0.0011295394220694763
Position 1864: 0.0010770523775308289
Position 1279: 0.0010669274463698485
Position 11435: 0.0010479285215778886
Position 1798: 0.0010320584777886762
Position 16395: 0.0009796214959313662
Position 600: 0.0009751201644202111
Position 15581: 0.0009466720713047237
Position 1839: 0.0009158543439346443
Position 14855: 0.0008848330821958054
Position 5002: 0.0008483104479568462
Position 7225: 0.0007721494905663575
Position 16767: 0.0007614845052372085
Position 1832: 0.0007542951062367902
Position 4425: 0.0007241495021079251
Position 14674: 0.0007039084846895165
Position 14451: 0.0006928889044051135
Position 16614: 0.0006803583669785004
Position 9638: 0.0006301871911226159
Position 1147: 0.0006206981908829976
Position 14224: 0.0005848506201387428
Position 7156: 0.0005829650210951169
Position 14257: 0.0005698504518633458
Position 2075: 0.0005413216382226985
Position 4646: 0.0005387314679028288
Position 14133: 0.0005377655404105242
