Gene = IL12B
index = 687
Annotated 5SS: [  456  4193  7834  8494 10582 12152 14203]
Annotated 3SS: [ 4104  7557  8375 10366 11993 14070 14786]
SMsplice 5SS: [  456  4193  8494 10582 12152 14203]
SMsplice 3SS: [ 4104  8375 10416 11993 14070 14786]
top_k =  1000
Partition function (log Z): 4.655939171408356

Sorted 5' Splice Sites (High to Low Probability):
Position 8494: 0.9877494908539641
Position 14203: 0.9297956570237056
Position 456: 0.8807286794821413
Position 4193: 0.8391910665729018
Position 12152: 0.830053837366899
Position 10582: 0.8147818557089018
Position 2980: 0.47456236154007975
Position 7925: 0.25004783790088747
Position 14470: 0.23166714167280283
Position 7834: 0.22686160012608034
Position 7122: 0.2259178981360729
Position 586: 0.19925815269027441
Position 13909: 0.19705785799204795
Position 4010: 0.19141506316191997
Position 3198: 0.19048992292028552
Position 7666: 0.15907587029582684
Position 7095: 0.14745788620948624
Position 5236: 0.13926414977145501
Position 9022: 0.08990483955686548
Position 2170: 0.06963254944782771
Position 6109: 0.06866396616717722
Position 10541: 0.05787782668355717
Position 3331: 0.047301432187787915
Position 11841: 0.04464285086668869
Position 12056: 0.04011719473763324
Position 3660: 0.03790577452091104
Position 8686: 0.036490615713025344
Position 11863: 0.03647189834140484
Position 9106: 0.032060588406049015
Position 810: 0.03130432444612112
Position 7639: 0.026897108287228598
Position 7671: 0.02645166573657176
Position 2025: 0.026082196789136144
Position 1094: 0.025192334739982312
Position 13785: 0.02355006954637145
Position 12741: 0.01922881221277936
Position 11822: 0.01772329972767144
Position 8297: 0.017285856695666978
Position 4362: 0.016630801909179874
Position 2522: 0.01618846358039063
Position 3295: 0.014809399104039634
Position 4260: 0.014440082055503083
Position 5342: 0.012726183424290315
Position 12168: 0.012497950409700146
Position 12844: 0.010587709122643445
Position 11150: 0.00990668989849804
Position 7273: 0.008450188707125031
Position 3448: 0.008226106144299009
Position 5327: 0.007773582847402831
Position 1788: 0.007715555352550594
Position 10662: 0.007676859322787908
Position 6432: 0.007094962675616498
Position 11919: 0.007090200196878407
Position 4410: 0.0070312776290067675
Position 12050: 0.006877085358892145
Position 6754: 0.006501502028797417
Position 11161: 0.0063696167745166486
Position 3561: 0.005967872814201319
Position 7283: 0.005921374967662477
Position 7755: 0.005625814122957542
Position 12212: 0.005160371150794321
Position 1198: 0.0050110264664572
Position 12456: 0.00460070497598081
Position 2754: 0.004481762321242274
Position 1202: 0.0044141195447153295
Position 12185: 0.004288892197053043
Position 14198: 0.004180250885145602
Position 15619: 0.003964957461373249
Position 13990: 0.003577043158062967
Position 11913: 0.003477272967505431
Position 2931: 0.0033706299972400496
Position 13406: 0.003254350581904195
Position 5587: 0.0030783595966197364
Position 1308: 0.0027078549388758213
Position 299: 0.0025050364270651645
Position 330: 0.002482631067562757
Position 4400: 0.0024383588576230475
Position 2991: 0.002419486451140735
Position 1149: 0.0023136137728418616
Position 12377: 0.0020990956127632707
Position 1794: 0.00208668949802379
Position 2838: 0.0019908211268922387
Position 15776: 0.001818110396897153
Position 130: 0.0017975114625842722
Position 12125: 0.0017305554532970192
Position 4439: 0.0017164286362010672
Position 13913: 0.0017063113962824605
Position 3368: 0.0016242416626743733
Position 2029: 0.0014978057076597993
Position 12662: 0.001485252681420582
Position 3440: 0.0014405580396464684
Position 14575: 0.0014199686488058038
Position 10177: 0.0013787061235827072
Position 7311: 0.001377083055996591
Position 1803: 0.0013133496948838075
Position 1691: 0.0012012396870092713
Position 2581: 0.0011162248511867915
Position 3712: 0.0010766199570771866
Position 15040: 0.0009707195765134545
Position 869: 0.0008677387019330881
Position 5098: 0.0008362002506941425
Position 14137: 0.0008120556183305617
Position 1798: 0.0006949360483068001
Position 12898: 0.000630781387364595
Position 13578: 0.000612147595157567
Position 4823: 0.0006089008000419436
Position 4764: 0.000599582969951918
Position 2571: 0.0005720683553036609
Position 1076: 0.0005713724784904723
Position 12347: 0.0005687670608952694
Position 12776: 0.0005514063790259723
Position 2475: 0.0005507297159626488
Position 12878: 0.0004973133629187096
Position 3520: 0.0004545110190182746
Position 3468: 0.00045367545780596074
Position 3505: 0.00036294685178836906
Position 5084: 0.00028618210952148835
Position 692: 0.0002685419800235016
Position 1056: 0.0002657627462163453
Position 4666: 0.0002580826953079356
Position 13717: 0.00025042109688845594
Position 5061: 0.00025041328436884765
Position 13374: 0.00023232064122194961
Position 3308: 0.00021780319587108126
Position 5679: 0.00020952490103192227
Position 9256: 0.00020405755472734403
Position 637: 0.00019654142119408373
Position 183: 0.00017989516646453512
Position 12848: 0.00016510084898373618
Position 3177: 0.00016319550990063375
Position 2545: 0.00015824766557837353
Position 7005: 0.00014012348462688612
Position 525: 0.00012281283836133595
