Gene = GBA
index = 576
Annotated 5SS: [ 149  605 1349 1619 2718 3101 3894 4990 5554 6040]
Annotated 3SS: [ 516 1156 1471 2583 2927 3655 4764 5389 5922 6133]
SMsplice 5SS: [ 149  605 1349 1619 2718 4990 5554 6040]
SMsplice 3SS: [ 516 1156 1471 2583 4764 5389 5922 6133]
top_k =  1000
Partition function (log Z): 11.248651203229542

Sorted 5' Splice Sites (High to Low Probability):
Position 2718: 0.9923510189218152
Position 149: 0.9695404489459176
Position 1619: 0.947126758472579
Position 1349: 0.8055521251403248
Position 6040: 0.7133942705767876
Position 4990: 0.7131974584358718
Position 605: 0.6549733479123846
Position 5554: 0.6282764125546954
Position 3894: 0.5539074369839495
Position 4765: 0.4790638386430489
Position 3101: 0.40693817089696876
Position 5462: 0.2954307589315154
Position 6052: 0.2581511667693113
Position 5772: 0.13460024052673875
Position 3027: 0.09559807657350722
Position 609: 0.08541412420908966
Position 1398: 0.026481570856624517
Position 5838: 0.02642364565574538
Position 3891: 0.022229515632819795
Position 1058: 0.018435076657506242
Position 630: 0.018419588738915905
Position 4133: 0.013174776124554522
Position 880: 0.013001047851894534
Position 6532: 0.012548842372197076
Position 1031: 0.011496566681060524
Position 28: 0.011348603849699341
Position 2439: 0.011246664562058039
Position 6057: 0.01120524207062715
Position 6358: 0.01085658426087557
Position 5272: 0.010042845354896772
Position 2278: 0.009986762450204904
Position 1313: 0.009068429740870175
Position 3584: 0.007082634907161036
Position 4294: 0.00696334644176077
Position 5842: 0.005925828161597464
Position 678: 0.005594741187026921
Position 5317: 0.0054632508990036886
Position 989: 0.0050188389963773715
Position 2781: 0.004547634125634797
Position 541: 0.004198882446264807
Position 5648: 0.00397669377940799
Position 746: 0.0037893919763784564
Position 4219: 0.003730662004240545
Position 382: 0.0033085204105813572
Position 2455: 0.003145723742582934
Position 4398: 0.0028803984796963106
Position 333: 0.0027210054091805136
Position 3914: 0.002624756092132509
Position 5718: 0.0024521619494348042
Position 5850: 0.002378727826256713
Position 6573: 0.002320058570437895
Position 1262: 0.0022561330885839865
Position 4736: 0.0018265286153989393
Position 299: 0.0016850451549844585
Position 3805: 0.0015844306708701495
Position 5466: 0.0014560348672646329
Position 4818: 0.0013839505519118204
Position 1201: 0.001092597983160602
Position 4571: 0.0010835728224875346
Position 2142: 0.0010597391688359373
Position 700: 0.0010220037442159142
Position 968: 0.0008597278151423285
Position 1157: 0.0007460241574089035
Position 2100: 0.0007019829765359064
Position 5846: 0.0006191710534834344
Position 6236: 0.0005772579660983479
Position 3656: 0.0005245385319696053
Position 311: 0.0004561906797761144
Position 1967: 0.00044803603555569377
Position 1033: 0.00044003939106975284
Position 704: 0.0004084297328643145
Position 6294: 0.00036453905840074386
Position 1513: 0.0003493415483893764
Position 3287: 0.0003291996730395185
Position 5152: 0.00028333800657675504
Position 4402: 0.00024964021072514434
Position 6342: 0.00020908353443475626
Position 135: 0.00019841018478643249
Position 6440: 0.00017657077372047538
Position 3120: 0.00017193709615296736
Position 5710: 0.0001679414474017746
Position 409: 0.00016707755641620986
Position 1283: 0.00015034603501870236
Position 3586: 0.00011395363902857547
Position 1292: 0.00010723412664454485
Position 667: 0.00010541587487374042
Position 5650: 8.685938864606694e-05
Position 2516: 8.157897081955009e-05
Position 689: 7.767517747612419e-05
Position 2607: 7.734935995263207e-05
Position 283: 7.329038268235869e-05
Position 6309: 6.528301863876924e-05
Position 6066: 6.30013204344386e-05
Position 3731: 5.256073163332476e-05
Position 3041: 5.022782947444525e-05
Position 2261: 3.857364358875969e-05
Position 1831: 3.849804354275026e-05
Position 1078: 3.7195031501712546e-05
Position 2776: 3.623916794313864e-05
Position 1407: 3.420310139563025e-05
Position 1437: 3.418025704519173e-05
Position 1198: 3.404295075438015e-05
Position 1203: 3.320955884960614e-05
Position 686: 2.7802236827491665e-05
Position 289: 2.706366105451632e-05
Position 388: 2.6862431665397767e-05
Position 6376: 2.5375998172442074e-05
Position 622: 2.2923214722150698e-05
Position 3392: 1.8477852894915164e-05
Position 3442: 1.7382148744318438e-05
Position 2878: 1.555966685575751e-05
