Gene = PFDN2
index = 1018
Annotated 5SS: [  160 15825 16064]
Annotated 3SS: [15735 15939 17251]
SMsplice 5SS: [  160 15825 16064]
SMsplice 3SS: [15735 15939 17251]
top_k =  1000
Partition function (log Z): 0.5542115557672619

Sorted 5' Splice Sites (High to Low Probability):
Position 160: 0.9975344622772644
Position 15825: 0.9973571497389999
Position 16064: 0.9732285256112916
Position 7548: 0.3117746816252928
Position 13975: 0.12047138424797246
Position 7498: 0.06364431248374433
Position 2494: 0.051453789099165245
Position 17151: 0.04884621986333947
Position 3853: 0.044627441978696794
Position 9007: 0.04153694472019002
Position 7515: 0.02682814091192242
Position 8469: 0.022234668139422625
Position 3640: 0.021580244895093477
Position 1460: 0.020960449494464316
Position 334: 0.02090756440700082
Position 7410: 0.017198159340111475
Position 11970: 0.015370845881101804
Position 7997: 0.014633861206158397
Position 3282: 0.014206158086378961
Position 4146: 0.01397442917220707
Position 367: 0.013967829142191534
Position 330: 0.012565855464097128
Position 8873: 0.01091897943343024
Position 4676: 0.00994141667811453
Position 2889: 0.008804681173252588
Position 338: 0.00473843627926789
Position 16092: 0.00466744472182283
Position 15978: 0.004398861629317277
Position 3705: 0.004371783892987722
Position 322: 0.004207958982240185
Position 3265: 0.004074141519330569
Position 6462: 0.0034731875047399213
Position 4804: 0.003434651756137489
Position 4846: 0.0031088037444674437
Position 2499: 0.002990294445563023
Position 7828: 0.002805949479746847
Position 2631: 0.0027795644267483073
Position 7591: 0.0027129293056810744
Position 4649: 0.0026715481695403806
Position 6489: 0.0024847185299738386
Position 17416: 0.002049838947011961
Position 16031: 0.0019442824130345736
Position 16229: 0.0014796548373192202
Position 17065: 0.001457195671464367
Position 17015: 0.001150062741656128
Position 15851: 0.0010114447163545107
Position 16221: 0.0008807554508423587
Position 16836: 0.0006966642123280828
Position 15833: 0.0004411459308079366
Position 3308: 0.0003259832553385138
Position 16712: 0.0003157922933734319
Position 17420: 0.00030823088973110785
Position 17156: 0.0002717046766187608
Position 16680: 0.00023988367614419056
Position 363: 0.00019676525343004334
Position 1327: 0.0001336480385465733
Position 17023: 9.728700065591076e-05
Position 16761: 9.630341392945772e-05
Position 16180: 6.605976175607738e-05
Position 15965: 6.002775505936619e-05
Position 16325: 5.981599218759877e-05
Position 15876: 5.805526101744909e-05
Position 16134: 5.640158698283899e-05
Position 186: 4.4495287446198964e-05
Position 3313: 3.2131782069405995e-05
Position 262: 2.5559311641520072e-05
Position 3051: 2.1965482901359566e-05
Position 16688: 1.540194264037315e-05
Position 355: 1.3333793195682419e-05
Position 17075: 1.1977809263368144e-05
Position 12: 1.0346587931596822e-05
Position 15995: 9.945218625983582e-06
Position 147: 8.996581954499477e-06
Position 16282: 8.063800794458258e-06
Position 2754: 7.435495250498726e-06
Position 145: 7.339988037276104e-06
Position 3758: 6.867725435973436e-06
Position 16454: 6.428148378118863e-06
Position 16103: 5.88114359308841e-06
Position 3346: 5.760611695603833e-06
Position 16468: 5.567972789835865e-06
Position 421: 5.3794051774543935e-06
Position 477: 4.8793116852887535e-06
Position 17039: 3.912256025015842e-06
Position 17337: 3.5306819019575523e-06
Position 17198: 2.7637121017150246e-06
Position 16010: 2.6643759373687936e-06
Position 1516: 1.7258028440969827e-06
Position 16226: 1.7187998837187617e-06
Position 1552: 1.4557980331069126e-06
Position 2107: 1.2258523015448445e-06
Position 1723: 1.2079273297413618e-06
Position 1391: 1.1383420035863551e-06
Position 101: 9.04008888611468e-07
Position 360: 7.530429736405962e-07
Position 198: 7.106439805552989e-07
Position 1139: 5.230302893377665e-07
Position 436: 1.3089486624777222e-07
Position 398: 1.1385434148248258e-07
Position 1122: 6.354141768854673e-08
Position 1179: 6.249649354485706e-08
Position 747: 5.0414127757062234e-08
Position 403: 3.911374235723404e-08
Position 597: 3.3846462019235575e-08
Position 5: 2.453075699312608e-08
Position 167: 1.678563685052462e-08
Position 30: 1.2547563956982387e-08
Position 287: 3.877429158541085e-13
Position 235: 6.038978896005601e-14
Position 228: 5.208708261596919e-14
Position 266: 3.1947998357909136e-23

Sorted 3' Splice Sites (High to Low Probability):
Position 15735: 0.9981662724556641
Position 17251: 0.9711953152711903
Position 15939: 0.9546240859427507
Position 7361: 0.30174587778611967
Position 13821: 0.11231117743196115
Position 7448: 0.1069494923378727
Position 16956: 0.04501159201190874
Position 240: 0.037609441809402046
Position 3561: 0.03020702745997441
Position 8811: 0.0299805564726168
Position 3704: 0.02408996524141291
Position 2356: 0.023555627682058235
Position 2396: 0.023073797270814277
Position 8808: 0.022475757202422206
Position 15914: 0.021563489044116205
Position 1256: 0.019550459224351932
Position 3091: 0.017412511522824897
Position 11850: 0.015370845881101804
Position 7382: 0.01345933065692109
Position 276: 0.012075093486518761
Position 8363: 0.011836802634152675
Position 4497: 0.008710565636239348
Position 16780: 0.00820927128409639
Position 13729: 0.008160206816011319
Position 8228: 0.008150484301143136
Position 17548: 0.007569591280196153
Position 15944: 0.007266043959467974
Position 7728: 0.007018197151362783
Position 4037: 0.006982511892250397
Position 3734: 0.006271791676531663
Position 3433: 0.005943643897752401
Position 4675: 0.005717850269195408
Position 2753: 0.005455562135694561
Position 6307: 0.005415615578666405
Position 17257: 0.004832181614115661
Position 253: 0.004556617700972891
Position 7827: 0.004403132575724644
Position 2189: 0.004279644880624862
