Gene = TAC1
index = 1369
Annotated 5SS: [ 288  828 1912 2385 2942 4445]
Annotated 3SS: [ 695 1814 2339 2917 4390 7965]
SMsplice 5SS: [ 288  828 1912 2942 8067]
SMsplice 3SS: [ 752 1814 2917 7965 8217]
top_k =  1000
Partition function (log Z): 0.4350211065671372

Sorted 5' Splice Sites (High to Low Probability):
Position 828: 0.9813839917207849
Position 1912: 0.9166770246041058
Position 288: 0.8981376573613017
Position 2942: 0.7514551275924594
Position 8067: 0.6823194972703053
Position 6452: 0.28086476968572777
Position 555: 0.17996113767771021
Position 4445: 0.15571722166929858
Position 2243: 0.05602674680209548
Position 1115: 0.05120530747655503
Position 2385: 0.04869595081823546
Position 7330: 0.038621379164606846
Position 6990: 0.03673879578922334
Position 120: 0.027192453954189625
Position 457: 0.019633021911138505
Position 3405: 0.01761997202480471
Position 2298: 0.016535606713187226
Position 1467: 0.01431929549634939
Position 6472: 0.01365178232235474
Position 7274: 0.013502733858138338
Position 6289: 0.011345382859687288
Position 549: 0.009410969137271049
Position 3183: 0.008864941277464358
Position 467: 0.008671210439382288
Position 5833: 0.008108713519706297
Position 3537: 0.008073562130005738
Position 806: 0.007126232854123964
Position 4707: 0.005853145142138534
Position 3448: 0.00550447089750981
Position 7217: 0.005284481317007078
Position 2689: 0.004440143196726978
Position 463: 0.003568857648052211
Position 1535: 0.0031101778750220674
Position 7319: 0.0030790723787801257
Position 1510: 0.002558991572940729
Position 5529: 0.0021501941256765657
Position 1935: 0.0020960226673059
Position 99: 0.0020805316493743096
Position 3104: 0.0016399764981065614
Position 235: 0.0015452903731616409
Position 7243: 0.00153100492343692
Position 278: 0.0012879333352768712
Position 7772: 0.0012829110233930747
Position 7546: 0.0010335295135830457
Position 2981: 0.0010314013255611199
Position 1383: 0.0008747828102902143
Position 350: 0.0008460905342303974
Position 4476: 0.0008379754604795287
Position 303: 0.0007912631201126314
Position 449: 0.0007586536510344608
Position 2631: 0.0007354980043790367
Position 1635: 0.0007007576497143162
Position 2430: 0.0006521828506099815
Position 471: 0.0006045783635708342
Position 124: 0.0005365339538286328
Position 104: 0.0005275999045491012
Position 8388: 0.00048772734612452187
Position 3635: 0.00038596305122626104
Position 8410: 0.000349911890352424
Position 3120: 0.0003316333424415951
Position 2186: 0.0003275124568122406
Position 459: 0.00022652073218375998
Position 1274: 0.00015724836135329312
Position 219: 0.00014628153719179038
Position 8396: 0.0001314583786444815
Position 1063: 9.500535940335011e-05
Position 952: 8.194844184142926e-05
Position 2027: 7.366969825418321e-05
Position 2207: 6.936437524562015e-05
Position 386: 6.928505157767055e-05
Position 1505: 5.859932457297681e-05
Position 1208: 5.7561992018351925e-05
Position 797: 5.726919705471611e-05
Position 33: 5.669097441553912e-05
Position 1731: 5.2410022561084885e-05
Position 3752: 5.230793807344435e-05
Position 947: 4.870430793508567e-05
Position 441: 4.078259150433301e-05
Position 3547: 3.8340726888979315e-05
Position 1987: 3.7034221128592845e-05
Position 1396: 3.1295557626500955e-05
Position 587: 3.0108520427668324e-05
Position 343: 2.7451635683219295e-05
Position 1157: 2.6255036226209825e-05
Position 1293: 2.553150951176195e-05
Position 2102: 2.1913951163344937e-05
Position 324: 2.1771503939876908e-05
Position 2249: 2.091716215379024e-05
Position 1977: 1.9235973659787332e-05
