Gene = TROVE2
index = 1491
Annotated 5SS: [  355 10213 16619 17226 17629 22059 22878 23287]
Annotated 3SS: [ 9611 16397 17078 17490 21941 22763 23139 25156]
SMsplice 5SS: [  355 17226 17629 21858 22059 22878 23287 24311]
SMsplice 3SS: [17078 17490 21770 21941 22763 23139 24161 25156]
top_k =  1000
Partition function (log Z): 6.718703371670597

Sorted 5' Splice Sites (High to Low Probability):
Position 22878: 0.9986792836474234
Position 22059: 0.9879623427429567
Position 23287: 0.89727007945151
Position 17629: 0.8775701866071686
Position 24311: 0.8134694768374235
Position 21858: 0.8071677281581433
Position 9760: 0.7875387979454415
Position 17226: 0.7822885363106213
Position 355: 0.6658990684761639
Position 10247: 0.3781011237739954
Position 801: 0.35101670573450694
Position 10213: 0.32764122164330306
Position 349: 0.2965297920049546
Position 6867: 0.26736626975094113
Position 16619: 0.15136453141153053
Position 24561: 0.13407315254553392
Position 13716: 0.0799369674899869
Position 22240: 0.05719412790638619
Position 18895: 0.05172490399641853
Position 841: 0.04687546288733394
Position 543: 0.039695540176289096
Position 23859: 0.037199908738851685
Position 23249: 0.029176559639275533
Position 4009: 0.027859490635759872
Position 23277: 0.02368205312711298
Position 17360: 0.02248005596710979
Position 17788: 0.022299276328041396
Position 761: 0.017881957645824537
Position 17187: 0.014515167355170864
Position 22317: 0.01230485406072744
Position 1263: 0.011754896212120216
Position 25066: 0.010998178496481485
Position 24494: 0.009929462021064416
Position 24041: 0.009854474211733294
Position 14369: 0.009736246691239422
Position 17313: 0.009646871580327327
Position 110: 0.009078765289845232
Position 21867: 0.008239969447683829
Position 24927: 0.007572140517886519
Position 3412: 0.00623425603761862
Position 11198: 0.005363599109148288
Position 5309: 0.005226604822383325
Position 5779: 0.004996729828087846
Position 24932: 0.00423363539220738
Position 24600: 0.003563512324530118
Position 25099: 0.0034229694274589095
Position 23910: 0.0022975905508033764
Position 23991: 0.0021898374964848294
Position 17701: 0.002116956065910017
Position 17855: 0.0018841370527140646
Position 24867: 0.0016665127398666209
Position 523: 0.001625238056700777
Position 22015: 0.001575983491249413
Position 22484: 0.0013929411184549498
Position 22656: 0.0012232128538168957
Position 22105: 0.0010023617181022563
Position 24767: 0.0009895691982366975
Position 337: 0.0008775897314189759
Position 18127: 0.0008580484808225405
Position 23307: 0.0008381780599495672
Position 22052: 0.0007824326357324922
Position 17766: 0.0007263270132018343
Position 22227: 0.0007129301977220361
Position 20899: 0.000588716679381875
Position 23827: 0.0005457253322063789
Position 22458: 0.0005054374156517335
Position 22857: 0.0004508540164183034
Position 22600: 0.0002964380022267611
Position 24001: 0.00021281377288739944
Position 22033: 0.00019851982263420444
Position 22262: 0.00017332693096035168
Position 21984: 0.00017327505126444776
Position 12171: 0.0001563100952946913
Position 10243: 9.447733699965772e-05
Position 24904: 8.009626353017328e-05
Position 24876: 7.855224961747306e-05
Position 585: 7.670864482275748e-05
Position 22209: 7.201865404691018e-05
Position 22018: 7.18350485519062e-05
Position 22222: 7.094594451887699e-05
Position 24477: 6.14103102727902e-05
Position 22628: 5.637226998021618e-05
Position 3619: 5.602701514394301e-05
Position 9751: 4.7878855560162136e-05
Position 25277: 3.8089695645050374e-05
Position 391: 3.069922339949179e-05
Position 1209: 3.056746344032184e-05
Position 22462: 2.9580019195569028e-05
Position 22818: 2.790754815957666e-05
Position 229: 2.6089545078685737e-05
Position 2909: 1.9847895194383195e-05
Position 1632: 1.9081857401256695e-05
Position 23058: 1.878145321978887e-05
