Gene = CLDND1
index = 378
Annotated 5SS: [ 195 1911 4159 5992]
Annotated 3SS: [1600 4047 5853 6163]
SMsplice 5SS: [ 195 5992]
SMsplice 3SS: [5895 6300]
top_k =  1000
Partition function (log Z): -6.937632477538084

Sorted 5' Splice Sites (High to Low Probability):
Position 5992: 0.9285823438268395
Position 195: 0.8684878613786118
Position 4159: 0.5256912152506401
Position 502: 0.17497856561023245
Position 1391: 0.07779980454938056
Position 4507: 0.07176014826610519
Position 1911: 0.056654064625177296
Position 6928: 0.04778352949458747
Position 5821: 0.04707817635148285
Position 3915: 0.03475441863851359
Position 114: 0.03282696908899132
Position 1714: 0.032740266849040606
Position 2433: 0.03229710872449759
Position 1264: 0.032292586733141254
Position 6184: 0.026884716091017564
Position 3911: 0.022566363132034126
Position 6251: 0.015158343775324741
Position 356: 0.015003197928223567
Position 4552: 0.01132823449697659
Position 4772: 0.011054008471345909
Position 4323: 0.00972967860199665
Position 3504: 0.00822268170571076
Position 3530: 0.008030116147382225
Position 7326: 0.006562037481759304
Position 3124: 0.004560109192912194
Position 7069: 0.004390718896755822
Position 6244: 0.004329468786751293
Position 6164: 0.004317694118607731
Position 3512: 0.0037622094085695197
Position 3484: 0.0034375572602040405
Position 256: 0.0031811905346829823
Position 2087: 0.0028297169934141356
Position 3009: 0.0028160260053600294
Position 6687: 0.002753571184247018
Position 1347: 0.002606436109213784
Position 1310: 0.0024162472094458698
Position 4074: 0.0022635382615350244
Position 1395: 0.0020847243893108926
Position 199: 0.0018750599723615753
Position 3521: 0.0016251721480185712
Position 3286: 0.0015812826318705908
Position 1513: 0.0015764956231126448
Position 3332: 0.0015537989196198444
Position 6726: 0.0011384434939072318
Position 846: 0.0009304521745873911
Position 1888: 0.0008861361229817035
Position 1998: 0.0008408039876264604
Position 5996: 0.0005757279256194709
Position 427: 0.00052725420940276
Position 674: 0.0003857880495308066
Position 5886: 0.00036944972680959937
Position 139: 0.0003443147428174535
Position 6351: 0.0003377342610735311
Position 7365: 0.0003239085084832631
Position 1491: 0.00027455009496048753
Position 1243: 0.00023316167643089552
Position 441: 0.00020872460294422702
Position 3632: 0.00019321583527750813
Position 2253: 0.00019017305421227128
Position 300: 0.00018038571886563832
Position 1410: 0.00016973549808532002
Position 2309: 0.00016838895849718408
Position 286: 0.0001407396445737626
Position 1255: 0.00013508036549614562
Position 1749: 0.00011760071775465373
Position 166: 0.00010706430207250041
