Gene = FYTTD1
index = 570
Annotated 5SS: [  325  6808 18838 20495 23750 24461 27252 28715]
Annotated 3SS: [ 6675 18688 20381 23652 24398 27176 28587 32060]
SMsplice 5SS: [  325  2595  6808 18838 20495 23750 24461 27252 28715]
SMsplice 3SS: [ 2517  6675 18688 20381 23652 24398 27176 28587 32060]
top_k =  1000
Partition function (log Z): 6.306878038495917

Sorted 5' Splice Sites (High to Low Probability):
Position 18838: 0.9974436763483773
Position 28715: 0.9956995380554315
Position 6808: 0.9384580114728145
Position 27252: 0.8152763411290326
Position 2595: 0.8124852982239346
Position 23750: 0.7936665482417249
Position 20495: 0.7889649353997578
Position 24461: 0.5841387809918301
Position 14241: 0.535387988853052
Position 23479: 0.5117203854644244
Position 325: 0.4836242830617895
Position 499: 0.37788816159832
Position 134: 0.3755190948357919
Position 32525: 0.3546771282375887
Position 1927: 0.34727509272830637
Position 1574: 0.2856010899992492
Position 27415: 0.2634461449026597
Position 32293: 0.23192721859055476
Position 1073: 0.23114938572016788
Position 27054: 0.1625870715549268
Position 3468: 0.15144575818812944
Position 16836: 0.14784464548754975
Position 7011: 0.1352436368308293
Position 7255: 0.11488868206617174
Position 1715: 0.08987989628555304
Position 18023: 0.08969529629899112
Position 3364: 0.08801345396890824
Position 32160: 0.07704649029708961
Position 32913: 0.06781751761095234
Position 8718: 0.0630288193831279
Position 6821: 0.061035522905672476
Position 28898: 0.0539399228962268
Position 2589: 0.052719260012508484
Position 1511: 0.05259195244012353
Position 13889: 0.048284870327108445
Position 29389: 0.0469762681752523
Position 242: 0.04211936206522649
Position 29144: 0.0420171714298487
Position 6085: 0.038916748644492315
Position 5401: 0.03713020057314795
Position 1545: 0.03564788518171553
Position 5425: 0.03554250666117099
Position 29359: 0.03489038680459657
Position 4421: 0.032709407891962076
Position 32774: 0.032142755968053396
Position 14479: 0.027072474764716477
Position 12210: 0.026327439411034867
Position 3108: 0.025276919795469636
Position 6593: 0.02284985851255174
Position 32551: 0.022791835354695884
Position 27082: 0.021875319157694917
Position 2093: 0.020127873003736772
Position 2720: 0.019450550620411025
Position 1589: 0.01926902078837032
Position 3771: 0.017887835132321735
Position 3231: 0.016524070189959106
Position 19032: 0.016429234673705745
Position 6122: 0.013702237133024316
