Gene = EIF2D
index = 492
Annotated 5SS: [  173  1276  3084  4224  7060  9508 10123 12196 12726 12996 13456 15363
 16746 18845]
Annotated 3SS: [ 1084  2999  4132  6951  9253 10004 12149 12621 12845 13365 15266 16624
 18669 20634]
SMsplice 5SS: [  173  1276  3084  4224 10123 12196 12726 12996 13456 15363 16746]
SMsplice 3SS: [ 1084  2999  4132 10004 12149 12621 12845 13365 15266 16624 18669]
top_k =  1000
Partition function (log Z): 13.379922883949053

Sorted 5' Splice Sites (High to Low Probability):
Position 12726: 0.9909019590557666
Position 16746: 0.9656777026422422
Position 12996: 0.9392290194199169
Position 3084: 0.8948797950953226
Position 13456: 0.860114254622819
Position 15363: 0.8564994553506966
Position 12196: 0.8458363442630309
Position 10123: 0.8271922146799459
Position 173: 0.78526867948533
Position 4224: 0.7582266255056792
Position 18845: 0.3731842687203206
Position 1276: 0.3721736825775604
Position 1221: 0.33240364285273805
Position 18796: 0.2720483949868822
Position 4180: 0.18394304761912608
Position 7060: 0.16117583692966167
Position 285: 0.13556779066729974
Position 5744: 0.07822655022108815
Position 1217: 0.0659033140247263
Position 338: 0.0572846090641042
Position 15216: 0.05718207303546678
Position 7064: 0.05458833452412197
Position 9508: 0.049732105698376064
Position 7607: 0.04830255379448455
Position 4684: 0.0477944661127657
Position 5160: 0.04554322094302038
Position 18817: 0.041925223414131
Position 11701: 0.039894918655664746
Position 16912: 0.03796496491324768
Position 10524: 0.03515687033434258
Position 18254: 0.03420404430144818
Position 9332: 0.032835084083194216
Position 9097: 0.031655067974919564
Position 5642: 0.029327590652831474
Position 15122: 0.02825316489424505
Position 18310: 0.026534979504594092
Position 13292: 0.02540274326190444
Position 13923: 0.024282272630203855
Position 3071: 0.02270000977982816
Position 1231: 0.021378643076177095
Position 5759: 0.020959149417798383
Position 18348: 0.018861771353234386
Position 317: 0.018659150141335314
Position 1312: 0.01853793488755288
Position 11766: 0.016069963421137135
Position 620: 0.01571055881986704
Position 18157: 0.013846796360431044
