Gene = AKNAD1
index = 49
Annotated 5SS: [  166  5423  7558  8183  8343 13961 19545 22166 22648 26536 29890 33529
 33725 36550 40047]
Annotated 3SS: [ 4326  7517  8033  8279 13826 19387 22037 22565 26443 29791 33405 33616
 36467 39916 40791]
SMsplice 5SS: [  166  8343 13961 19485 26536 26816 29890 33529 33777 39757 40086]
SMsplice 3SS: [ 8279 13826 19387 26443 26697 29791 33405 33616 39681 39916 40791]
top_k =  1000
Partition function (log Z): 5.329064730927586

Sorted 5' Splice Sites (High to Low Probability):
Position 29890: 0.9999876003115915
Position 8343: 0.9775476634598627
Position 13961: 0.9404150809288182
Position 166: 0.9140514336688628
Position 33529: 0.819630458715466
Position 19485: 0.6754848427832227
Position 26536: 0.6161852603811332
Position 40086: 0.6129342239456513
Position 33777: 0.6055714062694624
Position 26816: 0.549544870693466
Position 20999: 0.5440066227132614
Position 36550: 0.5138198024629932
Position 22166: 0.5101709368147094
Position 39757: 0.5020686619748209
Position 7192: 0.45908239000308393
Position 6047: 0.43201876812501216
Position 6752: 0.41063181477721195
Position 32185: 0.37346947712830597
Position 34299: 0.33608251690559965
Position 8183: 0.3215638822660032
Position 33725: 0.3055590797706981
Position 5423: 0.2996821105365462
Position 40047: 0.2901785877971895
Position 14875: 0.28391803126291254
Position 19545: 0.28100242960663463
Position 22648: 0.2711866316679561
Position 33982: 0.2549128217885315
Position 6732: 0.20112368960801444
Position 8682: 0.17675609404617243
Position 14765: 0.1736890710461298
Position 8666: 0.17317899223304203
Position 3559: 0.16789302685298424
Position 18677: 0.16725334127560068
Position 7558: 0.16643455517183744
Position 8893: 0.16616465604159614
Position 27220: 0.15792257090902406
Position 16485: 0.1413115421521283
Position 7874: 0.13314820127016652
Position 30523: 0.13034881789453678
Position 40221: 0.11856011762597593
Position 6269: 0.11070585393399245
Position 37061: 0.08917918168526275
Position 8974: 0.08801811837323295
Position 39772: 0.08190992871787353
Position 10017: 0.08090262956693767
Position 22931: 0.0775939505669781
Position 26845: 0.07226574116425563
Position 25833: 0.07194699413769526
Position 6589: 0.06879928987416523
Position 20476: 0.0681439824043988
Position 28040: 0.06792886282844984
Position 8672: 0.06577159038919811
Position 33986: 0.06508374617702013
Position 6747: 0.05715277569566161
Position 11230: 0.05246007700495403
Position 28369: 0.05037693465389266
Position 7741: 0.04925899484160081
Position 253: 0.04906931565098482
Position 6966: 0.04881238104955945
Position 34939: 0.0475880873024704
Position 29198: 0.04738609301366399
Position 31500: 0.04651711911404281
Position 7934: 0.04263142531093764
Position 26805: 0.042323849303676435
Position 36825: 0.039925596315339006
Position 11727: 0.03756750610721874
Position 6096: 0.031485824929078976
Position 6926: 0.031006403376799593
Position 7359: 0.02949941017823635
Position 10788: 0.028918418940531244
Position 19111: 0.026799395342953017
Position 12429: 0.026221534775453054
Position 38215: 0.025370759076723925
Position 37903: 0.024655134833120974
Position 6615: 0.022751779439488574
Position 27336: 0.01909129236742718
Position 14945: 0.018484911728582094
Position 38777: 0.01637232856317112
Position 297: 0.01622521446602819
Position 33957: 0.015654255565993935
