Gene = GPN2
index = 613
Annotated 5SS: [ 612 1329 4325 6138]
Annotated 3SS: [ 1171  4163  6006 10547]
SMsplice 5SS: [ 168 1329]
SMsplice 3SS: [1171 6006]
top_k =  1000
Partition function (log Z): -10.4640956299915

Sorted 5' Splice Sites (High to Low Probability):
Position 1329: 0.7438190253919148
Position 168: 0.6503586412073953
Position 4325: 0.4267645588534313
Position 6138: 0.3056141658781467
Position 612: 0.22234680594053785
Position 6173: 0.19158848575352713
Position 103: 0.18231233524830065
Position 1932: 0.05629821765370493
Position 1893: 0.052563431370638486
Position 1588: 0.03548541093788848
Position 289: 0.028883306997111762
Position 1661: 0.02781738636937936
Position 8190: 0.027753163095936048
Position 1401: 0.02543725799245845
Position 700: 0.02306276086754672
Position 1739: 0.013023109572164224
Position 2070: 0.011296164026592538
Position 5909: 0.010823257053023937
Position 5725: 0.010348519150150429
Position 2056: 0.008929706354412528
Position 543: 0.007855613559220143
Position 915: 0.006769128413321583
Position 4008: 0.006636730243525288
Position 390: 0.00593372841212045
Position 3228: 0.005817885068745705
Position 991: 0.0034309930809962004
Position 3821: 0.003259860867628567
Position 405: 0.0024299308995054236
Position 856: 0.001922010028205058
Position 359: 0.0014544847852040281
Position 783: 0.0012203647873320024
Position 5042: 0.0010972754063443744
Position 905: 0.0010618536612282258
Position 8989: 0.0010243919659974788
Position 4470: 0.0009989838843630337
Position 1786: 0.0009453164039894135
Position 240: 0.0009290303628585781
Position 1592: 0.0008997086358942799
Position 2022: 0.0007359187566348968
Position 4486: 0.0006716817493815869
Position 4886: 0.0005687176612921191
Position 819: 0.000547449552235481
Position 6206: 0.0004951808777983298
Position 135: 0.00042977763000173736
Position 1431: 0.000410941841639913
Position 378: 0.0003936422342519873
Position 5577: 0.00036964729936564
Position 828: 0.0003275627028721677
Position 11: 0.00031005378516102476
Position 130: 0.0002557664312420384
Position 867: 0.00022044316309892238
Position 109: 0.00018212906748506916
Position 20: 0.00017889715675791008
Position 897: 0.00016765338969940513
Position 650: 0.0001629120455639828
Position 1451: 0.00015225613062177723
Position 272: 9.00018225801259e-05
Position 807: 6.413708267490432e-05
Position 24: 5.201306865385233e-05
Position 1232: 4.948455104745137e-05
Position 365: 4.69631271844409e-05
Position 1414: 4.524615345270607e-05
Position 327: 4.4120027247782357e-05
Position 82: 4.190531434738597e-05
Position 1809: 3.53320180636225e-05
Position 599: 2.581184251883053e-05
Position 787: 2.5758516561541703e-05
