Gene = NREP
index = 961
Annotated 5SS: [   141 241695 262035]
Annotated 3SS: [241633 261956 266417]
SMsplice 5SS: [   141  35182  98605 104438 129958 146179 175333 250008 258925 262035
 262795]
SMsplice 3SS: [ 35074  98516 104212 129860 146112 175230 249957 258808 261956 262653
 266417]
top_k =  1000
Partition function (log Z): -117.73916840404884

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.732422560060731
Position 5445: 0.27821993978103293
Position 13330: 0.26298055596439135
Position 173: 0.2629156658067957
Position 13272: 0.17725092793024677
Position 6041: 0.1579318443079242
Position 19255: 0.04700154014645187
Position 13931: 0.04604851370334088
Position 9390: 0.043865573353572156
Position 10084: 0.030280311645512054
Position 687: 0.027315287535799527
Position 19618: 0.021066587301659
Position 5421: 0.015384618187226811
Position 4479: 0.013352394793506951
Position 1662: 0.01191632219338272
Position 1297: 0.010330480134509597
Position 7395: 0.005984509114602667
Position 8245: 0.005926310572398399
Position 6735: 0.00450931140263104
Position 4797: 0.00432223167831177
Position 3986: 0.004153893726205181
Position 8891: 0.003635875988698381
Position 1387: 0.003388204423285669
Position 227: 0.0032142462976349298
Position 2293: 0.002926261123262472
Position 9304: 0.002604490758095143
Position 4813: 0.002446412824030378
Position 5045: 0.002045748834672021
Position 2653: 0.0017293575786011465
Position 3991: 0.0015609655959700534
Position 2951: 0.0015029322359607776
Position 5180: 0.001471827061543354
Position 886: 0.0011663701610261394
Position 3948: 0.0010458397209828173
Position 9839: 0.0008767887819792341
Position 4758: 0.0008370105457521936
Position 847: 0.0007383778693257667
Position 4151: 0.000590022109845921
Position 4514: 0.0005309381855053145
Position 3579: 0.0004187718032252955
Position 5528: 0.00026886005141500425
Position 654: 0.0002604850240671419
Position 3952: 0.0002503089182657478
Position 5509: 0.00018313134226273763
Position 5344: 0.0001506860018870492
Position 231: 0.00010390175488224987
Position 6124: 8.439536458547687e-05
Position 177: 5.9146466846848484e-05
Position 180: 4.935182304032594e-05
Position 235: 3.669189504032418e-05
Position 939: 3.2886685997605336e-05
Position 248: 2.3006772136790188e-05
Position 650: 2.1263074229468495e-05
Position 1195: 2.017646046623572e-05
Position 3522: 1.168198902407251e-05
