Gene = GTF2E1
index = 628
Annotated 5SS: [   63  8269 28198 33933]
Annotated 3SS: [ 7790 27995 33690 38310]
SMsplice 5SS: [  240 28198 33933]
SMsplice 3SS: [27995 33690 38310]
top_k =  1000
Partition function (log Z): -15.453414374729892

Sorted 5' Splice Sites (High to Low Probability):
Position 28198: 0.9993198323868744
Position 240: 0.8183215439643655
Position 7877: 0.6511245955028658
Position 33933: 0.6134394288537623
Position 30632: 0.5048434047271679
Position 9230: 0.4033751866854555
Position 31351: 0.333876575823873
Position 38494: 0.29684720649979096
Position 31692: 0.17053202726115224
Position 31438: 0.14529065927019486
Position 31355: 0.11735736792420759
Position 5612: 0.06385897101877815
Position 3148: 0.060407400640300354
Position 436: 0.057066645012741835
Position 63: 0.05239966263413732
Position 387: 0.030910000876572752
Position 33735: 0.020945822166506197
Position 7220: 0.017835405606017783
Position 10: 0.016295266120385888
Position 3475: 0.01603917672353314
Position 5946: 0.015903073636994662
Position 7077: 0.013637798090923553
Position 1577: 0.012683352954187006
Position 1605: 0.011442205305541329
Position 379: 0.01045619825970747
Position 6242: 0.009271469602253776
Position 8269: 0.00788486424357616
Position 3395: 0.0075836636673554695
Position 228: 0.005912072383865206
Position 7297: 0.004490738025560195
Position 2313: 0.0044337996140558335
Position 4953: 0.003895234499907849
Position 7868: 0.003604618092672036
Position 6572: 0.0034868735794732248
Position 1217: 0.0032198184101432954
Position 5274: 0.0030834768924409097
Position 2448: 0.00294307299944993
Position 7224: 0.002217553308464758
Position 4474: 0.0020044090613810317
Position 5805: 0.0019512320030895367
Position 4569: 0.001904861102854073
Position 7322: 0.0015139025251597702
Position 371: 0.0009150262703576762
Position 892: 0.0008196432496337455
Position 8052: 0.0003968585288254776
Position 402: 0.0003067989338854804
Position 561: 0.0002699719143848739
Position 506: 0.0002274434714901418
Position 400: 0.00020779165680274447
Position 1094: 0.0001864484960424984
Position 1193: 7.750484530556569e-05
Position 86: 7.120110629150333e-05
Position 433: 5.378589034270543e-05
Position 764: 4.92775051899911e-05
Position 1068: 2.3240941158746983e-05
Position 1209: 1.9896630258177134e-05
Position 845: 1.9136218019386752e-05
Position 1269: 1.7703839627311484e-05
Position 452: 1.6269765978217885e-05
Position 9962: 1.6153289452780384e-05
Position 802: 1.4536180122788461e-05
Position 264: 1.3022647849763299e-05
Position 473: 1.2308015554158886e-05
Position 1882: 1.1431667396051817e-05
Position 226: 7.979806509033412e-06
Position 1562: 7.2282262129265205e-06
Position 34: 6.913652910675992e-06
Position 14618: 6.0044537443769e-06
Position 1077: 4.584273200508447e-06
Position 290: 3.924379474698966e-06
Position 307: 3.421413889630893e-06
Position 13711: 3.2784426755697755e-06
Position 1294: 2.605496752067665e-06
Position 876: 2.280447903861894e-06
Position 1279: 2.1838744387807753e-06
Position 1112: 1.937964031271587e-06
Position 685: 1.721083525276121e-06
Position 973: 1.6232394177831937e-06
Position 518: 1.6078874588400747e-06
Position 565: 1.5537351854708464e-06
Position 315: 1.3695259779553167e-06
Position 93: 1.3465059304573479e-06
Position 9265: 1.2304099588211476e-06
Position 406: 1.2120818696086622e-06
Position 9520: 9.887566669211952e-07
Position 13126: 9.04006048468588e-07
Position 404: 8.489051694235617e-07
Position 987: 7.430532661610538e-07
Position 1197: 3.9708398133797366e-07
Position 37: 2.6661664919368235e-07
Position 266: 1.7450888137125992e-07
Position 79: 1.649227815408537e-07
Position 13: 1.494712614958533e-07
Position 1734: 7.196907500869586e-08
Position 72: 6.637130308718306e-08
Position 183: 5.687814083133422e-08
Position 2304: 5.563593630036851e-08
Position 45: 5.3684128889730754e-08
Position 192: 5.173451987104566e-08
Position 8735: 5.08502753495829e-08
Position 300: 4.301980945333564e-08
Position 43: 3.9962653158195464e-08
Position 2956: 2.7539153762561367e-08
Position 2905: 2.148206267492846e-08
Position 4930: 2.144038432779049e-08
Position 9985: 1.771944662223708e-08
Position 3272: 1.7247318353195627e-08
Position 2526: 5.997153980959054e-09
Position 3102: 3.7918279417199724e-09
Position 3215: 2.109518593722376e-09
Position 3124: 1.9770014467631374e-09
Position 3114: 1.3738116147531663e-09
Position 2047: 9.410147583489278e-10
Position 174: 7.831908021698239e-10
Position 2933: 5.955968377859945e-10
Position 3390: 7.644605936102846e-12
Position 461: 2.3694196155590787e-12
Position 459: 9.579190549148789e-13
Position 421: 7.953850961732894e-13
Position 351: 5.92350011337939e-13
Position 390: 2.1750676079049682e-13
Position 333: 1.9624932027383487e-13
Position 1366: 1.3665547110488234e-13
Position 644: 1.3147164501685504e-13
Position 718: 1.160267525463827e-13
Position 490: 8.625085842692223e-14
Position 476: 7.178776054045072e-15
Position 651: 1.8766847423657527e-15
Position 414: 1.8592405032404168e-16
Position 356: 8.43764470640248e-22

Sorted 3' Splice Sites (High to Low Probability):
Position 27995: 0.9998339352774648
Position 38310: 0.7217280410007952
Position 33690: 0.6521725391328445
Position 7790: 0.6264629167261188
Position 31222: 0.5722476715208699
Position 30542: 0.5062617217334926
Position 9052: 0.3947830890831326
Position 39689: 0.3407614049859905
Position 31437: 0.18124962817518833
