Gene = IQCC
index = 713
Annotated 5SS: [  63  637 1101 1460]
Annotated 3SS: [ 492  847 1340 1578]
SMsplice 5SS: [  63  637 1101 1460]
SMsplice 3SS: [ 492  847 1340 1578]
top_k =  1000
Partition function (log Z): -1.9374806506781987

Sorted 5' Splice Sites (High to Low Probability):
Position 63: 0.9234138966146234
Position 1101: 0.92324082495804
Position 1460: 0.8217938227406782
Position 637: 0.7131844690254081
Position 1452: 0.15452751817177013
Position 48: 0.020579496144568533
Position 559: 0.018783557239739585
Position 568: 0.013957915145773164
Position 546: 0.008561274172079811
Position 389: 0.0069541568131161495
Position 39: 0.0028573214530761113
Position 927: 0.001639194082690386
Position 1670: 0.0016105735081611487
Position 965: 0.0009713900886128765
Position 887: 0.0009208984086361022
Position 514: 0.0007209583147429876
Position 82: 0.00023383436512865836
Position 1503: 0.00021894333266120732
Position 2174: 0.00020223450727447403
Position 976: 0.00016317110252699285
Position 2000: 0.00015254634260163222
Position 1509: 0.0001311590041471357
Position 152: 0.0001210294073506639
Position 455: 0.00010356091657500526
Position 1238: 9.087257793721148e-05
Position 1558: 8.235939316989913e-05
Position 1771: 7.512892917801874e-05
Position 1496: 6.635736091689627e-05
Position 789: 6.525183052872034e-05
Position 594: 5.853025318732076e-05
Position 50: 5.685548361738906e-05
Position 384: 5.1008502334115145e-05
Position 499: 5.0076674765026555e-05
Position 681: 3.064913585948508e-05
Position 1551: 2.2421847911328492e-05
Position 2707: 1.360672958871625e-05
Position 116: 1.2650346373617877e-05
Position 1143: 9.257997886622995e-06
Position 700: 8.749460836139972e-06
Position 729: 7.587622865266295e-06
Position 934: 6.342813758994239e-06
Position 1799: 6.287400495549146e-06
Position 809: 5.754799769581778e-06
Position 2448: 5.5137194108862355e-06
Position 428: 2.8969139604444416e-06
Position 774: 2.1846341705613748e-06
Position 1167: 2.1236152889863545e-06
Position 320: 1.504525454048071e-06
Position 157: 1.146482166358586e-06
Position 121: 1.0326429651233091e-06
Position 11: 7.06833887453592e-07
Position 247: 5.5146787144915e-07
Position 195: 5.030329549294214e-07
Position 1260: 3.6750616224806433e-07
Position 525: 1.0072539934847338e-07
Position 330: 7.946324724449152e-08
