Gene = CTNNBIP1
index = 420
Annotated 5SS: [  169 26559 32359 38295 39077]
Annotated 3SS: [26524 32273 38174 38985 59486]
SMsplice 5SS: [  169 16193 16445 17255 26559 32359 38295 39077 51059 51579]
SMsplice 3SS: [16156 16316 17170 26524 32273 38174 38985 50928 51367 59486]
top_k =  1000
Partition function (log Z): 2.8552689190264218

Sorted 5' Splice Sites (High to Low Probability):
Position 26559: 1.0000000000000013
Position 38295: 0.9983806138526216
Position 39077: 0.9966441567567711
Position 17255: 0.9961746224704392
Position 169: 0.9846275031190008
Position 32359: 0.9551248569639782
Position 16445: 0.9045681813748244
Position 51059: 0.8518642175586597
Position 47316: 0.6811411541775213
Position 16193: 0.6651931184877521
Position 49524: 0.6252463134685068
Position 51579: 0.5983865862745545
Position 39284: 0.5386140108124444
Position 38529: 0.5116444701690919
Position 19546: 0.3956782207521791
Position 39635: 0.35298339607898993
Position 54874: 0.25282254370241514
Position 34647: 0.2509927828722414
Position 59727: 0.23903858432524525
Position 59518: 0.22966687614001574
Position 16126: 0.21925807180505724
Position 40546: 0.18021551994627258
Position 57958: 0.17655899267072303
Position 35407: 0.13831145409259293
Position 26182: 0.13729495619460072
Position 20605: 0.13513247654336924
Position 51555: 0.1267273705150654
Position 26419: 0.113388069825299
Position 23650: 0.11125185272338971
Position 54660: 0.09002439475667921
Position 43496: 0.09001375481678897
Position 1553: 0.08480775380880613
Position 41832: 0.07927366099302449
Position 5327: 0.0785879694119695
Position 618: 0.07665803105512714
Position 25714: 0.06974844198061779
Position 19304: 0.06570648722400972
Position 37540: 0.06473034035039484
Position 21019: 0.06094566827375541
Position 4083: 0.05941836990607501
Position 51493: 0.057580618319489345
Position 20092: 0.05460883340646904
Position 25772: 0.05308254554635209
Position 19699: 0.04715887573080722
Position 16764: 0.04699572113685825
Position 60108: 0.04664654203082184
Position 48798: 0.04553759231057471
Position 21291: 0.04134735545272456
Position 19091: 0.03921413679483231
Position 19526: 0.03791825442078267
Position 9111: 0.03629862881084808
Position 20070: 0.03371927889004776
