Gene = MCIDAS
index = 821
Annotated 5SS: [ 297  481  740 4365 5140 6300]
Annotated 3SS: [ 383  647 4291 4915 6188 6508]
SMsplice 5SS: [ 297  481  740 4365 6300]
SMsplice 3SS: [ 383  647 4291 6188 6508]
top_k =  1000
Partition function (log Z): 1.7827901575016822

Sorted 5' Splice Sites (High to Low Probability):
Position 481: 0.9932588239750318
Position 6300: 0.9834843469795811
Position 297: 0.9709532945175419
Position 740: 0.7652753345353727
Position 3753: 0.322049852887216
Position 4059: 0.159953410712535
Position 4587: 0.1552722984724217
Position 4710: 0.15294219820241445
Position 5140: 0.10224277433270097
Position 4096: 0.08789740522704034
Position 3279: 0.08117668377571587
Position 4454: 0.06630102130915386
Position 2930: 0.06488805055891733
Position 1062: 0.05523736901347851
Position 3211: 0.051284179819676
Position 5232: 0.044262845220217506
Position 4346: 0.03880941111429117
Position 4451: 0.023934826679850443
Position 5086: 0.016307336775448128
Position 4369: 0.015485708242925859
Position 4585: 0.0143827723964241
Position 4038: 0.012318375548884996
Position 6810: 0.01107906649482212
Position 3965: 0.010230073529632355
Position 4654: 0.00919157518678316
Position 1256: 0.00883900384234481
Position 6291: 0.006988623186186048
Position 3162: 0.006701702200810646
Position 5652: 0.006596140990690849
Position 3525: 0.00610616178622959
Position 1516: 0.0053228365014840115
Position 857: 0.004376840133426651
Position 2233: 0.004191156863791623
Position 2851: 0.002689662363307548
Position 6599: 0.00265842520711046
Position 3608: 0.002445492301557757
Position 531: 0.002260154670760709
Position 6419: 0.002240449279488049
Position 4385: 0.0017506105957023985
Position 6041: 0.0016589313277410465
Position 6412: 0.0010844087112488751
Position 3203: 0.0010500937113163424
Position 3827: 0.0010368372402773981
Position 3252: 0.0009601258101854976
Position 4791: 0.0009491726115488484
Position 919: 0.0008317999783116086
Position 3035: 0.0007325391165175174
Position 2063: 0.0006675880885928588
Position 2262: 0.0005602470279116207
Position 110: 0.000550968780430049
Position 305: 0.000550421374810727
Position 6945: 0.0005498055625398343
Position 3600: 0.0005238452302736443
Position 1929: 0.0004931370377163669
Position 3044: 0.0003907751993587481
Position 700: 0.00035036714503559603
Position 1326: 0.00034405957546583066
Position 720: 0.00030420611013463503
Position 1066: 0.0002745491229359928
Position 2638: 0.0002569002322405798
Position 1895: 0.0002480995507559702
Position 4619: 0.000232244049753812
Position 3949: 0.00021165449338487376
Position 2217: 0.00021096752768722538
